@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

1,4,-0.046057,4.007411,0.593963,0
2,10,-0.440688,4.479066,1.095712,0
3,12,0.092127,4.476359,1.544315,2
4,3,0.906286,2.234771,1.74952,2
5,16,0.283345,5.282326,1.280604,1
1,2,-0.032875,4.185434,0.910634,0
2,8,-0.151472,3.717095,0.986751,0
3,12,0.170735,3.710519,1.360033,0
4,2,-0.28529,3.489355,0.915221,0
5,8,0.040973,3.744269,0.77891,0
1,2,-0.142526,3.201368,0.785934,0
2,8,-0.013152,3.451455,0.812514,0
3,5,-0.261522,3.226075,1.088591,0
4,2,0.75245,3.406319,0.896985,0
5,7,0.016583,3.373647,1.051268,0
1,2,-0.453439,4.374485,1.174799,0
2,10,0.063536,4.249956,1.66084,0
3,5,-0.189698,4.079849,0.602153,0
4,2,1.285321,2.899975,1.266265,0
5,7,-0.20941,7.094787,0.941978,1
1,2,0.080034,4.948661,1.284732,1
2,12,-0.160537,4.073898,1.645093,0
3,8,-0.205644,2.717923,1.404526,1
4,2,1.340593,2.743845,0.943715,0
5,7,0.121952,5.802987,0.962448,0
1,2,-0.163256,4.538522,0.828595,0
2,8,-0.006814,3.969727,1.16429,0
3,12,0.109875,4.502463,1.426441,1
4,2,0.89193,2.593907,1.139752,0
5,7,-0.155943,4.498704,0.914569,0
1,2,0.011422,4.491303,0.979546,0
2,12,-0.37783,3.764708,1.259536,0
3,8,0.353406,4.198062,1.866061,1
4,2,1.197869,2.095023,0.951693,0
5,7,0.084986,2.574422,0.917344,0
1,2,-0.232815,4.094864,1.261761,2
2,8,-0.255808,4.251957,1.426915,2
3,7,0.127097,4.352923,1.222735,2
4,2,0.854873,2.638,0.996144,0
5,7,0.009956,4.445478,1.00096,0
1,2,0.03638,4.433939,1.156751,2
2,11,-0.00104,5.38112,1.470348,1
3,9,-0.60243,3.762812,1.007905,1
4,2,1.09728,2.927803,0.751097,0
5,6,0.154677,4.589115,0.984653,0
1,3,0.175963,4.827151,1.624373,1
2,8,-0.008638,4.05231,0.919951,0
3,6,0.024367,4.063057,1.023677,0
4,2,0.287437,4.036506,0.976768,0
5,7,-0.123072,3.97339,0.873975,0
1,2,0.013547,4.870147,1.599762,0
2,8,-0.056102,4.162634,0.888965,0
3,3,0.307867,3.268091,0.739618,0
4,1,-0.23608,2.913419,1.031476,0
5,7,0.008568,4.193045,0.89167,0
1,2,0.077831,3.901367,1.158392,0
2,14,-0.292841,3.400645,1.244043,0
3,4,0.309557,3.462795,0.711228,0
4,2,0.992999,3.147476,0.988165,0
5,6,0.148549,3.393658,0.855934,0
1,2,0.268802,4.657121,0.936886,0
2,8,0.073706,4.515958,1.011642,0
3,7,-0.551595,3.946242,1.02733,0
4,2,1.116552,2.248583,1.029196,0
5,7,-0.001155,3.992876,1.164722,0
1,2,-0.127271,5.909694,1.0501,0
2,10,0.052281,4.665842,1.219152,0
3,9,0.065075,3.57853,1.816255,1
4,2,1.726038,4.217083,1.016659,0
5,7,0.349758,5.32793,1.052309,0
1,2,-0.282519,4.445331,1.077993,0
2,8,-0.195382,5.047678,0.980909,1
3,10,-0.149205,3.350088,1.713489,2
4,2,0.32809,2.916137,0.945994,0
5,7,-0.009528,4.917948,1.161252,0
1,2,-0.277818,3.406422,1.371693,1
2,8,-0.36116,3.649491,0.789401,0
3,7,-0.361721,4.131687,1.328323,1
4,2,0.665858,4.009388,1.028057,0
5,7,0.004748,3.817433,0.841709,1
1,2,0.042799,3.68073,0.991032,0
2,10,0.057469,3.258206,2.003726,0
3,5,-0.403206,2.917086,0.72285,0
4,2,0.62472,3.016237,1.085044,0
5,7,-0.019634,4.000689,1.139394,0
1,2,0.071029,3.670158,0.910634,0
2,8,-0.091109,3.442497,0.871439,0
3,7,-0.430852,3.438863,1.075807,0
4,1,1.023533,3.169606,0.915221,0
5,7,0.099571,3.850844,0.957938,0
1,2,0.414888,3.685902,0.992673,0
2,8,-0.031347,3.455159,0.705076,0
3,2,0.016333,3.377466,0.699275,0
4,2,0.442573,3.455691,0.901544,0
5,7,-0.113621,3.414336,0.951693,0
1,2,-0.145349,4.574408,0.98775,2
2,8,-0.053105,4.94207,0.943065,0
3,18,0.234595,4.223454,1.954383,1
4,2,0.607439,3.862416,1.237771,2
5,10,-0.096584,4.426974,2.07027,2
1,2,0.426579,3.953887,0.910634,0
2,8,0.103014,3.422389,0.855692,0
3,8,-0.55713,3.185894,0.755057,0
4,2,1.144368,1.627654,0.993864,0
5,7,-0.10043,3.561084,1.147027,0
1,2,-0.064363,3.706473,0.794138,0
2,8,-0.16526,3.358486,1.26995,0
3,5,-0.508232,2.965272,0.875422,0
4,2,0.615197,3.045249,0.931178,0
5,7,0.168932,4.206562,0.805625,0
1,2,-0.222063,3.909108,0.848284,0
2,8,-0.051539,3.368784,1.038565,0
3,3,-0.24317,3.104877,0.821631,0
4,2,0.38199,3.488715,1.175085,0
5,7,0.063883,3.58635,1.011716,0
1,2,0.07678,3.784312,1.706413,2
2,8,0.115364,4.840624,0.649198,0
3,5,-0.464484,2.41161,0.893684,0
4,2,0.467076,3.247011,0.894706,0
5,7,-0.074416,5.288506,0.805625,0
1,2,-0.664974,3.647504,0.705536,0
2,8,-0.181012,3.439014,0.688313,0
3,7,-0.49615,3.92146,1.04443,0
4,2,1.224945,2.781845,0.973349,0
5,7,0.233234,4.158115,0.781686,0
1,2,-0.17055,3.74833,0.785934,0
2,8,-0.293935,3.763955,0.640563,0
3,2,0.159708,3.395909,0.582563,0
4,2,0.196718,3.314387,0.882168,0
5,7,0.120104,3.773922,1.024553,1
1,2,-0.254526,4.972385,0.828595,2
2,9,-0.38151,4.623354,0.971003,1
3,5,0.518983,4.459865,0.943656,1
4,2,1.161504,1.857721,1.025777,0
5,7,-0.212385,4.915703,0.821585,0
1,2,-0.65602,4.892608,1.00744,0
2,8,-0.176254,5.179627,0.750794,0
3,2,-0.382317,1.596783,0.57393,0
4,2,0.698922,2.224549,0.995004,0
5,8,0.122661,4.657423,0.937815,0
1,2,-0.026514,3.659692,1.189566,1
