@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,4.479066,-0.447456,1.094099,0
3,12,4.476359,0.12688,1.519762,2
5,16,5.282326,0.338854,1.280276,1
1,2,4.185434,-0.201573,0.904297,0
2,8,3.717095,-0.109021,0.985297,0
3,12,3.710519,0.271544,1.33841,0
4,2,3.489355,-0.345577,0.913885,0
5,8,3.744269,-0.00617,0.77871,0
2,8,3.451455,-0.239044,0.811317,0
3,5,3.226075,-0.666828,1.071284,0
5,7,7.094787,-0.216343,0.941736,1
3,8,2.717923,-0.218529,1.382196,1
5,7,5.802987,-0.189029,0.962201,0
1,2,4.538522,-0.259879,0.822829,0
2,8,3.969727,-0.016925,1.162575,0
3,12,4.502463,-0.042897,1.403762,1
5,7,4.498704,-0.298175,0.914334,0
3,8,4.198062,0.154716,1.836393,1
1,2,4.094864,-0.306055,1.252982,2
2,8,4.251957,-0.248547,1.424813,2
3,7,4.352923,0.385003,1.203295,2
5,7,4.445478,0.003151,1.000703,0
2,11,5.38112,-0.093432,1.468182,1
3,9,3.762812,-0.940066,0.991881,1
5,6,4.589115,0.183944,0.984401,0
2,8,4.05231,0.02672,0.918596,0
3,6,4.063057,-0.015799,1.007402,0
4,2,4.036506,0.375358,0.975341,0
1,2,3.901367,0.026625,1.150332,0
2,14,3.400645,-0.394718,1.24221,0
5,6,3.393658,0.23785,0.855714,0
1,2,4.657121,0.412299,0.930367,0
2,8,4.515958,-0.017962,1.010152,0
3,7,3.946242,-0.917993,1.010996,0
3,12,4.301709,-0.114756,1.662556,2
3,9,3.57853,0.113313,1.787379,1
4,2,4.217083,2.05265,1.015175,0
5,7,5.32793,0.281586,1.052039,0
1,2,4.445331,-0.412515,1.070493,0
2,8,5.047678,-0.078119,0.979464,1
3,10,3.350088,-0.325789,1.686247,2
4,2,2.916137,0.126942,0.944613,0
5,7,4.917948,-0.24042,1.160955,0
1,2,3.406422,-0.305376,1.362149,1
2,8,3.649491,-0.495091,0.788238,0
3,7,4.131687,-0.509953,1.307205,1
4,2,4.009388,0.659977,1.026555,0
5,7,3.817433,-0.009045,0.841493,1
2,10,3.258206,0.083995,2.000775,0
3,5,2.917086,-0.308988,0.711357,0
4,2,3.016237,0.912988,1.08346,0
5,7,4.000689,0.061441,1.139102,0
1,2,3.670158,0.03558,0.904297,0
