@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,1.097966,0
3,12,1.519414,2
5,16,1.283956,1
1,2,0.90965,0
2,8,0.98878,0
3,12,1.338104,0
4,2,0.914015,0
5,8,0.780949,0
2,8,0.814185,0
3,5,1.071038,0
5,7,0.944444,1
3,8,1.381879,1
5,7,0.964967,0
1,2,0.827699,0
2,8,1.166684,0
3,12,1.403441,1
5,7,0.916963,0
3,8,1.835972,1
1,2,1.260397,2
2,8,1.42985,2
3,7,1.203019,2
5,7,1.00358,0
2,11,1.473372,1
3,9,0.991654,1
5,6,0.987231,0
2,8,0.921844,0
3,6,1.007171,0
4,2,0.97548,0
1,2,1.15714,0
2,14,1.246601,0
5,6,0.858174,0
1,2,0.935874,0
2,8,1.013722,0
3,7,1.010765,0
3,12,1.662175,2
3,9,1.786969,1
4,2,1.015319,0
5,7,1.055064,0
1,2,1.076829,0
2,8,0.982926,1
3,10,1.68586,2
4,2,0.944747,0
5,7,1.164292,0
1,2,1.370211,1
2,8,0.791024,0
3,7,1.306905,1
4,2,1.026701,0
5,7,0.843912,1
2,10,2.007847,0
3,5,0.711194,0
4,2,1.083614,0
5,7,1.142377,0
1,2,0.90965,0
3,7,1.058461,0
4,1,0.914015,0
5,7,0.960445,0
1,2,0.9916,0
2,8,0.706526,0
3,2,0.688,0
2,8,0.945004,0
3,18,1.92287,1
5,10,2.075689,2
1,2,0.90965,0
2,8,0.857452,0
3,8,0.742883,0
4,2,0.992554,0
5,7,1.15003,0
1,2,0.79328,0
2,8,1.272561,0
1,2,0.847367,0
2,8,1.040701,0
3,3,0.808383,0
4,2,1.173536,0
5,7,1.014364,0
1,2,1.704569,2
2,8,0.650533,0
3,5,0.879274,0
4,2,0.893526,0
1,2,0.704774,0
2,8,0.689728,0
3,7,1.027589,0
4,2,0.972065,0
2,9,0.973,1
3,5,0.92844,1
4,2,1.024425,0
5,7,0.823736,0
1,2,1.006351,0
2,8,0.752338,0
3,2,0.564676,0
4,2,0.993692,0
5,8,0.940269,0
2,10,1.056226,1
3,7,1.187338,0
1,2,0.967015,0
2,8,1.231585,0
3,7,1.322259,2
5,7,0.988274,0
1,2,0.876869,0
1,2,0.878509,0
3,7,0.736022,0
4,2,1.060849,0
5,7,0.791385,0
2,8,1.3255,0
1,2,1.027658,1
2,9,0.695073,0
3,10,1.088679,1
4,3,1.195162,0
1,2,1.048965,1
2,8,0.698636,0
3,6,1.072182,0
4,2,0.901494,0
2,8,0.919044,0
3,9,1.027099,0
5,7,0.9841,0
3,5,0.87715,0
5,7,0.889482,0
1,2,0.985044,0
2,8,0.783134,0
3,8,1.034123,0
1,2,1.066994,0
3,7,0.841868,0
2,8,0.853889,1
3,8,1.544732,2
4,3,1.08589,0
1,2,1.294817,0
2,8,0.611084,0
3,8,0.756767,0
5,7,0.922181,0
1,2,1.588199,1
2,8,0.718997,0
3,6,0.81998,0
1,2,0.965376,0
2,13,1.3283,0
3,7,0.862286,0
4,2,1.230448,0
5,7,1.041497,0
1,2,1.373489,1
2,11,1.0435,0
3,5,0.654514,0
4,2,1.055158,0
5,7,0.946183,0
1,2,0.988322,0
2,8,0.873741,0
3,5,0.774244,0
1,2,0.953903,0
2,8,0.679802,0
3,8,0.700087,0
5,7,1.116287,0
1,2,0.947347,0
2,8,0.655624,0
3,7,1.071038,0
5,7,0.937486,0
2,8,0.797642,0
5,7,1.001145,1
1,2,0.863757,0
2,12,1.405926,0
3,10,1.242058,1
5,9,1.35005,1
1,2,0.878509,0
2,8,0.740122,0
3,2,0.5717,0
1,2,0.948986,0
2,8,0.922098,0
3,7,0.884011,1
4,2,0.9106,0
5,7,0.895395,0
3,5,1.151566,0
4,2,1.077923,0
2,8,1.139961,0
3,4,0.749416,0
4,2,0.932227,0
5,7,0.975751,0
2,8,0.865596,0
1,2,0.844089,0
2,8,0.687947,0
5,7,0.96288,1
2,8,0.774226,0
3,3,0.69388,0
4,2,0.980033,0
5,7,1.208123,0
1,2,0.811309,0
2,8,1.083968,0
3,5,0.63377,0
4,2,1.005075,0
5,7,0.864088,0
5,7,0.951401,2
2,10,1.281469,0
3,7,1.053724,0
5,7,1.039758,0
3,6,0.935954,0
2,8,0.888757,0
3,4,1.222294,1
4,2,0.846858,0
5,7,0.991057,0
1,2,0.896538,0
2,8,0.75412,0
3,7,0.843665,0
4,2,0.920844,0
1,2,0.82606,0
2,8,0.675985,0
3,3,0.575783,0
4,2,0.995969,0
5,7,1.110721,1
1,2,0.999795,0
2,9,0.938132,1
3,5,0.790579,0
5,8,2.097952,0
2,10,1.276125,0
3,5,0.890054,1
2,8,0.687183,0
3,4,0.609595,0
5,7,0.90931,0
2,8,0.997688,2
3,8,1.296288,2
4,2,1.087029,0
5,7,1.01332,2
2,8,0.913699,0
3,7,0.97875,1
5,7,0.876959,1
