@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,4.479066,1.098759,0
3,12,4.476359,1.527762,2
5,16,5.282326,1.281104,1
1,2,4.185434,0.90853,0
2,8,3.717095,0.989495,0
3,12,3.710519,1.345456,0
4,2,3.489355,0.913951,0
5,8,3.744269,0.779214,0
2,8,3.451455,0.814773,0
3,5,3.226075,1.076923,0
5,7,7.094787,0.942345,1
3,8,2.717923,1.389472,1
5,7,5.802987,0.962823,0
1,2,4.538522,0.826681,0
2,8,3.969727,1.167527,0
3,12,4.502463,1.411152,1
5,7,4.498704,0.914925,0
3,8,4.198062,1.84606,1
1,2,4.094864,1.258846,2
2,8,4.251957,1.430883,2
3,7,4.352923,1.209629,2
5,7,4.445478,1.00135,0
2,11,5.38112,1.474436,1
3,9,3.762812,0.997102,1
5,6,4.589115,0.985037,0
2,8,4.05231,0.92251,0
3,6,4.063057,1.012705,0
4,2,4.036506,0.975412,0
1,2,3.901367,1.155716,0
2,14,3.400645,1.247502,0
5,6,3.393658,0.856267,0
1,2,4.657121,0.934722,0
2,8,4.515958,1.014455,0
3,7,3.946242,1.016318,0
3,12,4.301709,1.671308,2
3,9,3.57853,1.796788,1
4,2,4.217083,1.015248,0
5,7,5.32793,1.052719,0
1,2,4.445331,1.075503,0
2,8,5.047678,0.983637,1
3,10,3.350088,1.695123,2
4,2,2.916137,0.944682,0
5,7,4.917948,1.161705,0
1,2,3.406422,1.368525,1
2,8,3.649491,0.791596,0
3,7,4.131687,1.314086,1
4,2,4.009388,1.02663,0
5,7,3.817433,0.842037,1
2,10,3.258206,2.009298,0
3,5,2.917086,0.715102,0
4,2,3.016237,1.083539,0
5,7,4.000689,1.139839,0
1,2,3.670158,0.90853,0
3,7,3.438863,1.064276,0
4,1,3.169606,0.913951,0
5,7,3.850844,0.958311,0
1,2,3.685902,0.99038,0
2,8,3.455159,0.707037,0
3,2,3.377466,0.69178,0
2,8,4.94207,0.945687,0
3,18,4.223454,1.933435,1
5,10,4.426974,2.071077,2
1,2,3.953887,0.90853,0
2,8,3.422389,0.858071,0
3,8,3.185894,0.746964,0
4,2,1.627654,0.992485,0
5,7,3.561084,1.147475,0
1,2,3.706473,0.792304,0
2,8,3.358486,1.273481,0
1,2,3.909108,0.846325,0
2,8,3.368784,1.041453,0
3,3,3.104877,0.812825,0
4,2,3.488715,1.173454,0
5,7,3.58635,1.01211,0
1,2,3.784312,1.702471,2
2,8,4.840624,0.651003,0
3,5,2.41161,0.884105,0
4,2,3.247011,0.893464,0
1,2,3.647504,0.703906,0
2,8,3.439014,0.690227,0
3,7,3.92146,1.033235,0
4,2,2.781845,0.971998,0
2,9,4.623354,0.973703,1
3,5,4.459865,0.933541,1
4,2,1.857721,1.024354,0
5,7,4.915703,0.821906,0
1,2,4.892608,1.005113,0
2,8,5.179627,0.752882,0
3,2,1.596783,0.567778,0
4,2,2.224549,0.993623,0
5,8,4.657423,0.93818,0
2,8,4.360455,0.97625,1
3,6,5.654631,0.986262,2
2,10,3.864322,1.056989,1
3,7,3.093536,1.193862,0
1,2,3.066823,0.965825,0
2,8,3.570451,1.232475,0
3,7,3.586543,1.329524,2
5,7,4.149177,0.986078,0
1,2,3.176732,0.87579,0
1,2,3.995587,0.877427,0
3,7,3.620939,0.740066,0
4,2,3.050896,1.060775,0
5,7,3.83573,0.789626,0
2,8,3.797649,1.326458,0
1,2,6.251011,1.026394,1
2,9,4.564996,0.695575,0
3,10,4.219458,1.094661,1
4,3,3.188565,1.195079,0
1,2,4.541616,1.047675,1
2,8,3.995826,0.699141,0
3,6,3.931977,1.078073,0
4,2,3.601488,0.901431,0
2,8,3.765315,0.919708,0
3,9,3.667449,1.032742,0
5,7,4.448673,0.981913,0
3,5,3.758382,0.88197,0
5,7,3.635125,0.887505,0
1,2,5.252722,0.983832,0
2,8,3.371703,0.7837,0
3,8,3.417787,1.039805,0
1,2,5.794505,1.065681,0
3,7,3.754747,0.846494,0
2,8,4.783542,0.854506,1
3,8,4.19326,1.553219,2
4,3,3.476314,1.085815,0
1,2,5.853308,1.293223,0
2,8,3.704572,0.611526,0
3,8,3.672899,0.760925,0
5,7,5.855324,0.920132,0
1,2,5.325631,1.586245,1
2,8,3.483463,0.719517,0
3,6,4.185694,0.824486,0
1,2,5.18147,0.964188,0
2,13,6.312105,1.329259,0
3,7,4.034402,0.867024,0
4,2,2.99686,1.230363,0
5,7,5.47714,1.039183,0
1,2,5.537619,1.371799,1
2,11,5.832212,1.044254,0
3,5,4.701641,0.65811,0
4,2,3.289836,1.055084,0
5,7,5.590564,0.944081,0
1,2,4.727714,0.987106,0
2,8,4.337568,0.874372,0
3,5,4.048899,0.778498,0
1,2,5.945864,0.952729,0
2,8,3.852648,0.680293,0
3,8,3.339058,0.703933,0
5,7,4.668016,1.113807,0
1,2,5.612044,0.946181,0
2,8,5.015264,0.656097,0
3,7,3.981518,1.076923,0
5,7,4.225795,0.935404,0
2,8,4.533209,0.798218,0
5,7,3.879643,0.998921,1
1,2,4.485791,0.862695,0
2,12,4.290601,1.406942,0
3,10,4.128358,1.248882,1
5,9,4.150492,1.34705,1
1,2,3.64003,0.877427,0
2,8,3.250854,0.740656,0
3,2,3.13997,0.574841,0
3,5,3.006312,1.157893,0
4,2,6.408688,1.077848,0
2,8,5.013164,1.140784,0
3,4,3.506631,0.753534,0
4,2,3.513744,0.932162,0
5,7,4.205279,0.973583,0
2,8,4.629398,0.866222,0
1,2,5.306196,0.843051,0
2,8,3.733265,0.688444,0
5,7,4.985496,0.960741,1
2,8,3.260765,0.774786,0
3,3,4.067144,0.697692,0
4,2,3.791195,0.979965,0
5,7,6.652536,1.205438,0
1,2,4.096242,0.810311,0
2,8,3.18945,1.084751,0
3,5,3.7363,0.637252,0
4,2,3.996101,1.005005,0
5,7,3.730318,0.862168,0
5,7,5.149257,0.949287,2
2,10,4.04139,1.282395,0
3,7,3.437098,1.059513,0
5,7,5.123771,1.037448,0
3,6,3.295283,0.941096,0
2,8,4.702139,0.889399,0
3,4,4.769537,1.229009,1
4,2,3.006776,0.846799,0
5,7,3.703772,0.988855,0
1,2,4.426246,0.895434,0
2,8,3.059064,0.754665,0
3,7,3.351255,0.848301,0
4,2,3.523456,0.92078,0
1,2,4.660529,0.825044,0
2,8,3.968782,0.676473,0
3,3,3.815871,0.578947,0
4,2,2.739084,0.995899,0
5,7,4.289719,1.108254,1
1,2,2.488381,0.998565,0
2,9,3.687866,0.93881,1
3,5,3.541463,0.794923,0
5,8,3.781682,2.093291,0
2,10,4.093473,1.277047,0
3,5,3.879328,0.894945,1
2,8,3.890653,0.68768,0
3,4,4.0526,0.612944,0
5,7,4.804256,0.907289,0
2,8,4.543385,0.998409,2
3,8,4.473364,1.30341,2
4,2,3.152967,1.086953,0
5,7,4.429462,1.011069,2
2,8,3.485899,0.914359,0
3,7,3.585223,0.984127,1
5,7,3.652439,0.87501,1
