@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute child_feature1 numeric
@attribute child_feature2 numeric
@attribute child_feature3 numeric
@attribute child_feature4 numeric
@attribute child_feature5 numeric
@attribute child_feature6 numeric
@attribute child_feature7 numeric
@attribute child_feature8 numeric
@attribute child_feature9 numeric
@attribute child_feature10 numeric
@attribute child_feature11 numeric
@attribute child_feature12 numeric
@attribute child_feature13 numeric
@attribute child_feature14 numeric
@attribute child_feature15 numeric
@attribute child_feature16 numeric
@attribute child_feature17 numeric
@attribute child_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data

8,0.128883,-0.195127,1.188365,4.576371,-0.080265,-0.031835,0.978718,3.968844,0.188982,-0.064529,1.055046,4.004765,-0.442558,-0.008501,0.025647,0.831507,0.025063,1.095522,6,0
4,0.031284,0.415935,0.501675,2.928557,0.294785,0.000945,1.073741,4.641025,0.088412,-0.147617,0.337472,1.951675,0.083931,-0.047839,0.027629,1.107875,-0.007988,1.523649,0,2
2,0.015714,-0.283629,1.952218,3.906564,0.445538,1.078526,0.314945,2.910115,0.984666,1.175914,2.630404,3.91414,-0.152342,0.084441,0.002189,0.190164,0.07208,1.282134,1,1
1,0.061261,1.518189,0.000153,0.041669,1.518189,-0.542514,0.277083,1.830545,-0.663567,0.752455,0.256524,1.456568,0.892485,0.034382,0.095506,1.101173,0.007148,0.90906,0,0
7,0.077735,-0.19275,0.941813,3.275735,0.151005,0.221658,1.380456,4.995976,-0.081989,0.228511,1.536552,3.413732,-0.172544,-0.11067,0.02112,0.601326,-0.108261,0.986579,4,0
12,0.099487,-0.073865,0.918175,3.152508,0.176746,-0.019077,0.879003,5.041242,-0.222534,0.01537,0.894668,3.054112,-0.201803,0.022004,0.029823,0.852402,-0.027038,1.341833,1,0
1,0.032379,0.721421,0.089345,1.013624,0.718669,-0.768979,0.55036,3.701244,-0.944579,-0.565147,0.001136,0.137783,-0.553709,-0.068461,0.000765,0.07573,-0.079814,0.913823,0,0
1,0.04588,0.939687,0.20304,1.338684,0.715298,0.21471,0.790228,3.772253,0.128964,-0.808622,0.020135,0.408829,-0.747883,-0.038067,0.0014,0.179074,-0.041752,0.77984,1,0
1,0.02282,0.541843,1.223599,4.039668,0.087551,0.310222,0.851926,4.67937,0.097118,0.214723,0.344251,3.057795,-0.149841,0.090729,0.00486,0.608922,0.092089,0.812372,0,0
1,0.009608,-0.627849,0.006518,0.251367,-0.613765,-0.359464,0.93085,4.178146,-0.397455,-0.248808,1.644506,5.113996,0.327288,-0.142011,0.000289,0.11661,-0.13871,1.074023,0,0
1,0.058195,-0.213094,1.935235,5.643106,0.155626,-0.102013,1.181244,4.41937,-0.139316,0.000001,1,4.023519,0.230439,0,0.004974,0.215932,0.003481,0.943103,1,1
6,0.048818,0.200351,1.190545,4.217031,0.040935,-0.15917,0.869541,3.776796,-0.145182,-0.282049,0.61459,3.2668,-0.277589,-0.057087,0.045899,0.722157,0.031404,1.385731,1,1
2,0.060923,-0.489616,0.19653,2.180622,-0.483304,0.388978,1.105597,4.588786,0.31065,0.386245,1.269666,2.592471,-0.464637,0.077813,0.015283,1.23167,0.104235,0.963598,1,0
1,0.166337,0.323755,0.029381,0.789438,0.347217,-0.390549,0.222493,1.546246,-0.121959,-0.699365,0.01973,0.468117,-0.753945,-0.051765,0.0005,0.1229,-0.043131,0.827163,0,0
3,0.042103,-0.168066,1.813846,4.053502,-0.516376,0.804738,0.842661,3.335081,1.323933,0.61879,1.274356,4.311854,0.325783,0.124305,0.158194,1.511002,0.041478,1.164087,2,0
2,0.014548,0.343169,0.049352,0.695496,0.230144,-0.514126,0.382213,1.931888,-0.43208,-0.677136,0.030999,0.545745,-0.65397,-0.194397,0.012175,0.429547,-0.208657,1.407352,1,1
2,0.02352,-0.803823,1.498233,2.884808,-0.633642,-0.602765,0.484035,2.243855,-0.544566,0.263358,0.004633,0.283458,0.245803,0.148998,0.001514,0.139436,0.13885,0.915661,1,0
4,0.043238,0,1,3.010353,-0.075144,0.000001,1,5.910178,-0.043832,0,1,5.373507,-0.197954,0,0.031778,0.824889,0.00586,1.841089,1,1
2,0.795839,-0.091275,1.010217,3.438598,-0.105017,0.231424,1.228736,5.536044,-0.039652,0.42484,2.206809,7.16431,-0.380494,0.161412,0.168301,1.397788,-0.06101,1.259581,2,2
12,0.281951,-0.069374,0.835196,3.888483,-0.199095,0.043395,0.976472,5.282433,-0.119089,-0.179441,0.50937,4.544543,-0.307622,-0.057578,0.030922,1.966779,-0.099901,1.426667,3,2
2,0.020774,-0.967152,0.686345,2.083786,-1.476351,-0.554699,0.477257,3.494037,-0.602172,-0.50546,0,0,-0.50546,-0.151599,0,0,-0.151599,1.206372,0,2
2,0.015598,-0.178229,0.159907,1.13509,-0.485801,0.016,0.383666,2.348204,-0.127501,-0.458471,0.004051,0.321599,-0.447042,-0.151262,0.001029,0.156938,-0.159082,1.002156,1,0
1,0.024357,-0.886822,1.254479,4.175038,-1.313144,1.219584,0.178536,1.842278,1.322486,1.279973,0.396175,2.223623,1.428821,0.35215,0.005007,0.308911,0.366821,1.470092,1,1
1,0.009059,-0.111095,0.038654,0.621202,-0.027793,0.004715,0.520608,2.624264,0.221137,-0.681152,0.000618,0.134765,-0.6749,-0.280182,0.000004,0.011568,-0.279676,0.994417,0,1
2,0.020437,-0.747775,0.682681,1.847767,-0.167541,-0.452665,0.862733,2.573844,-0.686832,-0.388855,0.00024,0.066392,-0.385552,-0.147315,0.000367,0.062399,-0.139313,0.985829,1,0
4,0.086969,-0.108267,0.541055,4.462056,-0.058425,-0.223901,1.059446,4.715075,-0.355114,0.216158,0.936205,2.912171,0.302881,0.076325,0.019707,0.542431,0.049001,0.919791,1,0
10,0.143691,0.130635,1.051524,5.417426,0.075317,0.091797,1.020101,5.027961,0.079478,-0.039096,1.074545,4.684798,-0.093131,-0.02706,0.027853,0.743928,-0.007488,1.009978,0,0
2,0.091015,-1.066547,0.91305,3.041321,-0.750305,-0.16707,0.221922,1.986236,-0.007324,-0.435448,0.052541,0.871945,-0.519675,0.009249,0.013407,0.37068,0.057324,0.975276,0,0
1,0.111898,-0.448428,1.035404,3.729467,-0.368739,-0.247031,0.580798,3.553877,-0.326631,0.885151,0.107173,1.028967,0.775487,0.019476,0.004332,0.26492,0.040491,1.15639,0,0
1,0.028175,0.619415,0.311799,2.369135,0.71593,0.305507,0.693926,4.842593,0.240544,-0.88267,0.124176,0.972232,-0.809483,-0.086732,0.003749,0.25643,-0.077737,1.243826,1,0
1,0.047021,-0.572709,1.170276,3.050264,-0.37065,-0.522021,0.720809,4.087981,-0.537217,0.544599,1.366164,3.238022,0.653765,0.040313,0.009333,0.541275,0.080636,0.856956,0,0
1,0.115587,-0.175732,0.029197,0.637667,-0.264821,-0.41967,1.391514,3.823312,-0.474667,-0.372543,0.00019,0.073912,-0.364974,-0.484132,0.000365,0.079731,-0.496831,0.935267,0,0
3,0.061009,0.113974,1.451046,4.642393,-0.374707,0.235587,0.923575,4.138486,0.498099,-0.054784,0.319019,1.519021,-0.296159,0.032463,0.200957,1.260615,-0.094257,1.011466,0,0
2,0.016807,-0.798089,0.201512,1.541751,-0.638431,-0.435944,0.779949,2.920489,-0.063048,-0.344698,0.190742,1.705075,-0.604551,-0.143601,0.054166,0.980577,-0.277424,1.013582,0,0
5,0.021816,0,1,3.280109,0.463188,0,1,3.928151,-0.001709,0,1.000001,2.752255,-0.176419,0,0.018663,0.599279,0.053336,1.666808,0,2
2,0.673035,-0.305191,0.707666,5.128302,-0.40924,-0.117467,0.819152,5.059758,-0.531347,0.1947,1.247424,6.616946,-0.268202,0.075406,0.100713,3.026224,0.015899,1.79195,6,1
1,1,1.272234,0.804795,4.217083,1.497545,0.470305,1.690754,4.234968,0.185324,-0.1121,0.85079,4.889153,-0.555598,-0.097582,0.121414,2.891536,-0.162254,1.015106,2,0
2,0.964062,0.422377,0.942555,6.20624,0.324372,0.2076,1.126356,4.118901,-0.031934,-0.344101,0.356601,3.077702,-0.63015,-0.119726,0.144035,2.259042,-0.230153,1.053566,7,0
2,0.394216,0.694692,0.106222,2.08217,0.683423,0.107028,1.061752,4.051397,0.25025,-0.942236,0.195751,1.733431,-0.765908,-0.302012,0.066969,0.874595,-0.411381,1.076131,0,0
9,0.299586,-0.12541,1.094739,4.570261,0.017227,0.22112,1.214506,4.78008,0.346996,0.073222,0.65362,4.995147,-0.260931,0.03215,0.038783,1.148786,-0.005394,0.980738,8,1
19,0.140684,0.00416,1.009042,4.650897,0.018729,-0.154276,0.832796,3.718339,-0.084517,0.214962,1.380739,7.387719,0.244046,0.081364,0.059068,1.774155,0.090699,1.690559,0,2
1,0.175904,0.080024,0.752929,3.044893,-0.174722,0.163782,0.942343,3.631725,-0.224835,0.510968,0.213585,1.863317,0.460725,0.237559,0.013246,0.558355,0.291496,0.944549,1,0
5,0.345085,-0.135357,0.992849,4.38527,-0.013276,0.090569,0.907186,3.930873,0.291584,0.063953,0.634464,4.93688,-0.015726,-0.018527,0.047424,1.605749,-0.06906,1.162639,5,0
2,0.354067,0.294217,0.756648,3.462566,0.334529,-0.048756,0.890764,4.074633,0.020752,-0.394016,0.983926,5.825728,-0.71563,-0.090817,0.006452,0.490387,-0.083804,1.369323,0,1
9,0.423423,0.01734,0.925962,3.6451,0.122769,-0.00354,1.059174,5.454139,0.013831,-0.086592,1.004609,4.020089,-0.462414,0.01875,0.022205,0.708725,0.011181,0.789263,9,0
13,0.217348,-0.11005,1.208692,3.66883,0.099331,-0.064313,0.865221,5.572209,-0.153892,0.087272,0.975701,6.124498,-0.082887,-0.009714,0.023132,0.804807,0.003135,1.310547,1,1
1,0.094235,0.191069,0.437197,2.520412,0.479956,-0.123585,0.551639,2.724962,-0.032916,-0.45733,0.063772,0.882112,-0.373375,-0.059713,0.001061,0.113114,-0.07325,1.026486,1,0
3,0.474031,0.262602,0.557648,3.578907,0.255553,0.312376,0.959399,5.320114,0.342047,-0.098637,0.16619,2.273613,-0.100636,-0.01433,0.009024,0.447544,-0.014916,0.842714,5,1
4,0.048422,-0.034583,0.907395,3.088709,-0.273851,0.061061,1.186517,5.818018,-0.242716,-0.086644,1.317792,4.54641,-0.629571,-0.038841,0.051556,1.064296,-0.124467,2.003378,2,0
4,0.047772,-0.36972,1.228394,3.505805,-0.983765,-0.25183,0.484633,3.507468,-0.236227,0.443399,0.97193,3.194347,0.160929,0.051534,0.040955,0.844959,-0.007275,0.713176,0,0
3,0.192227,-0.281659,0.5499,2.693623,-0.131648,-0.411967,1.123867,5.029719,-0.721489,0.441956,0.949757,3.352483,0.716382,0.041228,0.013555,0.757536,0.066804,1.083387,0,0
3,0.045676,0.692812,0.888829,3.476562,0.815043,0.249366,0.560516,3.023896,0.34343,-0.545737,0.060746,1.067059,-0.520313,0.084068,0.005908,0.278647,0.106995,1.140755,3,0
1,0.086486,-0.18631,0.177849,1.494248,-0.05507,0.409714,1.213836,4.19072,0.168876,-0.527341,0.0981,1.096341,-0.421116,0.029424,0.009857,0.289194,0.039713,0.90906,1,0
13,0.193056,0.019013,1.010573,3.255188,0.127977,0.043093,1.082115,5.010346,-0.159453,0.144556,1.087862,3.605429,-0.212929,-0.006887,0.02283,1.189382,-0.057013,1.061411,0,0
1,0.136986,-0.003916,0.590304,2.336214,0.292832,-0.551401,0.225771,2.543883,-0.507966,-0.857461,0.049769,1.109072,-0.965514,0.123327,0.000603,0.127571,0.116307,0.913823,0,0
1,0.0431,-0.121107,1.566697,3.266849,-0.095488,-0.108576,0.386106,2.970531,-0.257801,-0.514341,0.042471,0.874243,-0.540181,-0.057001,0.007542,0.302133,-0.093343,0.959082,1,0
6,0.18718,-0.621974,0.914955,4.596149,-0.594344,-0.023392,0.698112,4.44659,0.050881,0.254972,0.793896,5.108715,0.234048,0.087491,0.022836,0.819164,0.088558,0.9429,3,0
3,0.029562,0.587888,0.389241,3.154174,0.541802,-1.041729,0.538296,3.451375,-1.117828,-0.208938,0.467881,3.485539,-0.301237,0.127899,0.01701,0.680458,0.158753,1.92823,1,1
3,0.116809,0.328207,0.713929,4.101456,0.351668,0.560505,0.69398,4.233631,0.607569,-0.217793,1.243927,10.04505,-0.591561,-0.130982,0.022102,0.671915,-0.118601,2.072743,3,2
1,0.138739,0.481445,1.312466,3.482202,0.957257,-0.231065,0.515885,3.255378,-0.153774,-0.109896,0.1122,1.47226,-0.125822,0.134218,0.008011,0.315309,0.145314,0.90906,0,0
3,0.04393,-0.797481,0.389354,1.859509,-0.528283,-0.556677,0.615638,3.522212,-0.786444,0.313564,0.346134,3.083939,0.120174,0.123476,0.024915,1.159181,0.073797,0.855543,1,0
11,0.245602,-0.075662,1.010075,3.705931,0.007094,-0.010711,0.966111,5.297769,-0.127361,-0.036287,1.288448,5.899575,-0.320388,-0.003,0.064013,1.668111,-0.093622,0.744953,2,0
1,0.204128,0.939846,0.143656,1.849191,1.001326,0.337797,1.56192,4.275046,0.446476,0.1931,0.833766,2.692948,-0.053944,-0.246431,0.00488,0.268202,-0.259067,0.992346,0,0
4,0.085904,0.040144,0.960081,3.561084,0.282056,0.434494,0.630929,4.022631,0.430066,0.243397,0.133473,1.727551,0.351919,0.030955,0.004951,0.327982,0.022769,1.148397,5,0
1,0.121901,1.120456,0.268867,1.89681,1.22163,1.119655,0.820258,3.607949,1.04724,0.31295,2.413519,3.223562,1.840314,-0.256872,0.012156,0.220537,-0.365272,0.792766,0,0
4,0.0574,-0.230338,0.839164,2.858428,-0.886155,-0.230172,0.726256,4.658032,-0.409125,-0.064335,0.685143,3.42591,-0.197868,0.063947,0.016097,0.838854,0.10374,1.269729,0,0
1,0.148936,-0.896061,0.058108,0.82427,-0.896061,0.352893,2.165983,5.559858,-0.137457,2.405635,1.692985,4.444873,3.331447,0.125748,0.007839,0.34838,0.115978,0.846818,1,0
5,0.125214,0.243833,0.967737,3.4278,0.494822,0.012779,0.916302,5.668402,-0.030228,0.170785,1.412328,4.294307,-0.009026,0.232408,0.054165,0.846819,0.204901,1.038384,0,0
5,0.130329,-0.149783,0.807726,3.380429,0.184207,-0.096996,1.211045,6.583502,-0.370986,-0.112802,0.900156,4.915999,-0.408418,-0.153432,0.066141,1.848425,-0.061284,0.810636,0,0
2,0.332687,-0.000127,0.900155,3.665834,0.123337,-0.017982,0.767642,4.770176,-0.071929,-0.287229,0.68912,3.359901,-0.526853,-0.027455,0.035544,1.004921,-0.078152,1.173289,1,0
3,0.098422,-0.072689,1.512435,4.67159,0.106121,0.123266,0.654109,4.103232,0.080378,0.328035,0.640502,2.605203,0.260349,-0.023299,0.004059,0.237031,-0.044221,1.012924,2,0
2,0.228846,0.487063,0.383714,2.048428,0.506303,0.237878,1.163803,5.008058,0.27371,-0.240555,0.25495,2.309811,-0.372627,0.052857,0.011696,0.354291,0.028393,1.703464,1,2
3,0.072379,-0.401111,1.444768,4.761513,-0.639128,0.061781,0.93839,3.749648,0.127338,-0.156189,0.426099,4.166389,-0.328982,-0.055645,0.016946,0.970909,-0.009793,0.649085,1,0
1,0.012261,-0.530131,1.074288,3.14866,-0.254504,-0.768965,0.19473,1.932679,-0.715952,2.184979,0.067468,1.120214,2.091619,-0.101781,0.000375,0.088597,-0.094107,0.881724,0,0
