@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,1.104064,0
3,1.527285,2
5,1.279571,1
1,0.906599,0
2,0.994271,0
3,1.345035,0
4,0.914193,0
5,0.778281,0
2,0.818706,0
3,1.076586,0
5,0.941218,1
3,1.389038,1
5,0.961671,0
1,0.824923,0
2,1.173164,0
3,1.410711,1
5,0.91383,0
3,1.845483,1
1,1.25617,2
2,1.437791,2
3,1.209251,2
5,1.000152,0
2,1.481554,1
3,0.99679,1
5,0.983858,0
2,0.926963,0
3,1.012388,0
4,0.975671,0
1,1.153259,0
2,1.253524,0
5,0.855243,0
1,0.932735,0
2,1.019352,0
3,1.016001,0
3,1.670786,2
3,1.796226,1
4,1.015518,0
5,1.05146,0
1,1.073217,0
2,0.988385,1
3,1.694593,2
4,0.944932,0
5,1.160315,0
1,1.365616,1
2,0.795417,0
3,1.313675,1
4,1.026902,0
5,0.841029,1
2,2.018998,0
3,0.714878,0
4,1.083826,0
5,1.138475,0
1,0.906599,0
3,1.063944,0
4,0.914193,0
5,0.957164,0
1,0.988275,0
2,0.71045,0
3,0.691563,0
2,0.950252,0
3,1.932831,1
5,2.068599,2
1,0.906599,0
2,0.862214,0
3,0.746731,0
4,0.992748,0
5,1.146101,0
1,0.844525,0
2,1.04648,0
3,0.812571,0
4,1.173765,0
5,1.010899,0
1,1.698852,2
2,0.654146,0
3,0.883829,0
4,0.893701,0
1,0.70241,0
2,0.693559,0
3,1.032912,0
4,0.972256,0
2,0.978404,1
3,0.933249,1
4,1.024625,0
5,0.820922,0
1,1.002976,0
2,0.756516,0
3,0.567601,0
4,0.993887,0
5,0.937057,0
2,0.980963,1
3,0.985954,2
2,1.062092,1
3,1.193489,0
1,0.963772,0
2,1.238425,0
3,1.329109,2
5,0.984898,0
1,0.873929,0
1,0.875562,0
3,0.739835,0
4,1.061056,0
5,0.788681,0
2,1.332861,0
1,1.024212,1
2,0.698933,0
3,1.094319,1
4,1.195396,0
1,1.045447,1
2,0.702516,0
3,1.077736,0
4,0.90167,0
2,0.924148,0
3,1.032419,0
5,0.980738,0
3,0.881694,0
5,0.886443,0
1,0.98174,0
2,0.787483,0
3,1.03948,0
1,1.063416,0
3,0.846229,0
2,0.858631,1
3,1.552734,2
4,1.086103,0
1,1.290474,0
2,0.614478,0
3,0.760687,0
5,0.91903,0
1,1.582873,1
2,0.72299,0
3,0.824228,0
1,0.962138,0
2,1.335676,0
3,0.866753,0
4,1.230689,0
5,1.037939,0
1,1.368883,1
2,1.049296,0
3,0.657905,0
4,1.055364,0
5,0.942951,0
1,0.985007,0
2,0.878593,0
3,0.778255,0
1,0.950704,0
2,0.683578,0
3,0.703713,0
5,1.112474,0
1,0.94417,0
2,0.659265,0
3,1.076586,0
5,0.934284,0
2,0.802071,0
5,0.997725,1
1,0.860861,0
2,1.413734,0
3,1.248492,1
5,1.345438,1
1,0.875562,0
2,0.744232,0
3,0.574661,0
1,0.945803,0
2,0.927219,0
3,0.88859,1
4,0.910778,0
5,0.892337,0
3,1.157531,0
4,1.078134,0
2,1.146291,0
3,0.753298,0
4,0.932409,0
5,0.972418,0
2,0.870403,0
1,0.841258,0
2,0.691767,0
5,0.959591,1
2,0.778526,0
3,0.697474,0
4,0.980225,0
5,1.203996,0
1,0.808588,0
2,1.089988,0
3,0.637053,0
4,1.005271,0
5,0.861136,0
5,0.948151,2
2,1.288586,0
3,1.059182,0
5,1.036206,0
3,0.940802,0
2,0.893693,0
3,1.228625,1
4,0.847024,0
5,0.987672,0
1,0.893531,0
2,0.758308,0
3,0.848035,0
4,0.921024,0
1,0.82329,0
2,0.679739,0
3,0.578766,0
4,0.996164,0
5,1.106927,1
1,0.996442,0
2,0.943342,1
3,0.794674,0
5,2.090786,0
2,1.283212,0
3,0.894665,1
2,0.690999,0
3,0.612753,0
5,0.906204,0
2,1.003229,2
3,1.303003,2
4,1.087241,0
5,1.009859,2
2,0.918773,0
3,0.98382,1
5,0.873963,1
