@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

1,4,-0.046057,4.007411,0.592897,0
2,10,-0.440688,4.479066,1.099104,0
3,12,0.092127,4.476359,1.549941,2
4,3,0.906286,2.234771,1.754918,2
5,16,0.283345,5.282326,1.30211,1
1,2,-0.032875,4.185434,0.908999,0
2,8,-0.151472,3.717095,0.989805,0
3,12,0.170735,3.710519,1.364987,0
4,2,-0.28529,3.489355,0.918045,0
5,8,0.040973,3.744269,0.79199,0
1,2,-0.142526,3.201368,0.784524,0
2,8,-0.013152,3.451455,0.815029,0
3,5,-0.261522,3.226075,1.092556,0
4,2,0.75245,3.406319,0.899753,0
5,7,0.016583,3.373647,1.068923,0
1,2,-0.453439,4.374485,1.172691,0
2,10,0.063536,4.249956,1.665981,0
3,5,-0.189698,4.079849,0.604347,0
4,2,1.285321,2.899975,1.270172,0
5,7,-0.20941,7.094787,0.957797,1
1,2,0.080034,4.948661,1.282426,1
2,12,-0.160537,4.073898,1.650185,0
3,8,-0.205644,2.717923,1.409643,1
4,2,1.340593,2.743845,0.946627,0
5,7,0.121952,5.802987,0.978611,0
1,2,-0.163256,4.538522,0.827107,0
2,8,-0.006814,3.969727,1.167894,0
3,12,0.109875,4.502463,1.431637,1
4,2,0.89193,2.593907,1.143269,0
5,7,-0.155943,4.498704,0.929927,0
1,2,0.011422,4.491303,0.977788,0
2,12,-0.37783,3.764708,1.263435,0
3,8,0.353406,4.198062,1.872859,1
4,2,1.197869,2.095023,0.954629,0
5,7,0.084986,2.574422,0.93275,0
1,2,-0.232815,4.094864,1.259496,2
2,8,-0.255808,4.251957,1.431333,2
3,7,0.127097,4.352923,1.227189,2
4,2,0.854873,2.638,0.999217,0
