@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

1,4,-0.046057,4.007411,0.62376,0.593321,0
2,10,-0.440688,4.479066,-0.447456,1.097966,0
3,12,0.092127,4.476359,0.12688,1.519414,2
4,3,0.906286,2.234771,1.094597,1.747214,2
5,16,0.283345,5.282326,0.338854,1.283956,1
1,2,-0.032875,4.185434,-0.201573,0.90965,0
2,8,-0.151472,3.717095,-0.109021,0.98878,0
3,12,0.170735,3.710519,0.271544,1.338104,0
4,2,-0.28529,3.489355,-0.345577,0.914015,0
5,8,0.040973,3.744269,-0.00617,0.780949,0
1,2,-0.142526,3.201368,-0.162511,0.785085,0
2,8,-0.013152,3.451455,-0.239044,0.814185,0
3,5,-0.261522,3.226075,-0.666828,1.071038,0
4,2,0.75245,3.406319,1.090498,0.895803,0
5,7,0.016583,3.373647,-0.336336,1.05402,0
1,2,-0.453439,4.374485,-0.485422,1.17353,0
2,10,0.063536,4.249956,0.14927,1.664256,0
3,5,-0.189698,4.079849,-0.351637,0.592444,0
4,2,1.285321,2.899975,1.303866,1.264596,0
5,7,-0.20941,7.094787,-0.216343,0.944444,1
1,2,0.080034,4.948661,0.151114,1.283344,1
2,12,-0.160537,4.073898,-0.372626,1.648476,0
3,8,-0.205644,2.717923,-0.218529,1.381879,1
4,2,1.340593,2.743845,1.355768,0.942471,0
5,7,0.121952,5.802987,-0.189029,0.964967,0
1,2,-0.163256,4.538522,-0.259879,0.827699,0
2,8,-0.006814,3.969727,-0.016925,1.166684,0
3,12,0.109875,4.502463,-0.042897,1.403441,1
4,2,0.89193,2.593907,1.15855,1.13825,0
5,7,-0.155943,4.498704,-0.298175,0.916963,0
1,2,0.011422,4.491303,0.143255,0.978488,0
2,12,-0.37783,3.764708,-0.364794,1.262126,0
3,8,0.353406,4.198062,0.154716,1.835972,1
4,2,1.197869,2.095023,1.240481,0.950439,0
5,7,0.084986,2.574422,0.055341,0.919745,0
1,2,-0.232815,4.094864,-0.306055,1.260397,2
2,8,-0.255808,4.251957,-0.248547,1.42985,2
3,7,0.127097,4.352923,0.385003,1.203019,2
4,2,0.854873,2.638,0.888558,0.99483,0
5,7,0.009956,4.445478,0.003151,1.00358,0
1,2,0.03638,4.433939,0.100736,1.155501,2
2,11,-0.00104,5.38112,-0.093432,1.473372,1
3,9,-0.60243,3.762812,-0.940066,0.991654,1
4,2,1.09728,2.927803,1.116517,0.750107,0
5,6,0.154677,4.589115,0.183944,0.987231,0
1,3,0.175963,4.827151,0.086828,1.622618,1
2,8,-0.008638,4.05231,0.02672,0.921844,0
3,6,0.024367,4.063057,-0.015799,1.007171,0
4,2,0.287437,4.036506,0.375358,0.97548,0
5,7,-0.123072,3.97339,-0.171707,0.876263,0
1,2,0.013547,4.870147,-0.471247,1.598033,0
2,8,-0.056102,4.162634,-0.238569,0.890793,0
3,3,0.307867,3.268091,0.255279,0.727692,0
4,1,-0.23608,2.913419,-0.46259,1.030116,0
5,7,0.008568,4.193045,-0.23811,0.894004,0
1,2,0.077831,3.901367,0.026625,1.15714,0
2,14,-0.292841,3.400645,-0.394718,1.246601,0
3,4,0.309557,3.462795,0.190525,0.69976,0
4,2,0.992999,3.147476,1.243182,0.986863,0
5,6,0.148549,3.393658,0.23785,0.858174,0
1,2,0.268802,4.657121,0.412299,0.935874,0
2,8,0.073706,4.515958,-0.017962,1.013722,0
3,7,-0.551595,3.946242,-0.917993,1.010765,0
4,2,1.116552,2.248583,1.233513,1.02784,0
5,7,-0.001155,3.992876,-0.097544,1.167771,0
1,2,-0.060947,5.127048,-0.116424,1.117804,0
2,8,-0.104149,3.657304,-0.225202,0.719252,0
3,12,0.103884,4.301709,-0.114756,1.662175,2
4,2,1.256537,2.805388,1.496536,1.011904,0
