@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data

4,0.422652,-0.046057,2.023764,4.007411,0.62376,-0.999459,0.833604,5.335614,-1.144373,-0.565479,0,0,-0.565479,-0.048489,0,0,-0.048489,0.591742,0,0
10,0.361382,-0.440688,0.692842,4.479066,-0.447456,-0.286285,0.892757,4.089869,-0.22083,-0.304294,1.191995,5.542439,-0.61665,-0.232282,1.071406,7.472742,-0.14167,1.095244,6,0
12,0.096861,0.092127,0.708491,4.476359,0.12688,0.150935,0.600449,3.556045,0.328681,0.255056,0.859795,3.925421,0.487516,-0.001564,0.621703,3.600179,-0.068749,1.522381,0,2
3,0.149837,0.906286,0.316996,2.234771,1.094597,-0.237567,0.836071,3.22563,-0.094028,-0.512345,0.377498,2.123048,-0.700799,-0.929603,0.215366,1.809255,-0.82223,1.746874,0,2
16,0.452723,0.283345,1.190172,5.282326,0.338854,0.401493,1.097248,4.823456,0.436534,0.193056,0.754479,3.924284,0.065636,0.181004,0.928469,4.322787,0.103622,1.282286,1,1
2,0.522523,-0.032875,0.860191,4.185434,-0.201573,-0.228495,1.854906,10.123798,-0.128368,0.077959,0.164386,2.52058,0.027925,0.82164,0.072745,1.475765,0.809209,0.907228,0,0
8,0.363707,-0.151472,1.049329,3.717095,-0.109021,0.161466,1.053274,5.413127,0.078146,-0.457233,0.924192,6.476442,-0.643505,-0.239191,0.888791,6.292186,-0.187767,0.986329,4,0
12,0.145264,0.170735,1.047578,3.710519,0.271544,-0.213669,0.848354,6.608263,-0.364814,0.300816,1.33493,6.017722,-0.014209,-0.051345,1.414747,15.159421,-0.196522,1.340717,1,0
2,0.332503,-0.28529,0.848808,3.489355,-0.345577,-0.015712,0.71641,4.17618,-0.176942,0.834047,0.515668,3.409476,0.697995,0.1165,0.244239,2.899646,0.076191,0.913837,0,0
8,0.751448,0.040973,0.874106,3.744269,-0.00617,0.096597,0.939647,5.080241,-0.043133,-0.016254,0.601232,3.967415,-0.181387,0.161881,0.743372,5.568085,0.224546,0.779933,1,0
2,0.574113,-0.142526,0.435419,3.201368,-0.162511,0.096469,1.75264,11.340633,0.19031,-0.468395,0.214639,1.90302,-0.400955,-0.247582,0.047721,0.893973,-0.253711,0.782995,0,0
8,0.389184,-0.013152,1.002736,3.451455,-0.239044,0.053189,0.901151,5.72992,0.003682,0.115185,1.534392,10.269846,-0.096372,-0.025261,0.666801,4.503462,-0.047425,0.812166,0,0
5,0.092725,-0.261522,0.878174,3.226075,-0.666828,-0.17728,0.913826,5.095427,-0.296594,0.031073,0.96974,6.375364,-0.275743,0.305969,2.781422,9.007128,-0.322746,1.07313,0,0
2,0.322745,0.75245,1.09357,3.406319,1.090498,-0.012092,0.640977,3.961706,-0.068244,0.073681,0.476476,2.67168,-0.13016,0.254675,0.217432,1.746566,0.380715,0.895629,0,0
7,0.594059,0.016583,1.005357,3.373647,-0.336336,0.008619,1.021728,7.088405,-0.167609,-0.05085,0.752159,4.233349,-0.203697,-0.083753,0.792278,4.449791,-0.212741,1.052649,0,0
2,0.360335,-0.453439,0.4633,4.374485,-0.485422,-0.050378,0.788616,6.078198,0.020613,-0.107061,0.37052,2.184017,-0.339036,0.529601,0.146143,1.719143,0.386888,1.170406,0,0
10,0.338584,0.063536,0.861831,4.249956,0.14927,0.174358,1.135724,5.261016,0.238525,-0.344055,0.606536,4.540385,-0.476278,-0.25297,1.214597,15.930892,-0.109977,1.66013,0,0
5,0.173973,-0.189698,1.398415,4.079849,-0.351637,-0.31778,0.916536,3.958018,-0.432665,1.568303,1.891886,5.646528,1.686765,1.014862,0.948807,4.369593,0.916978,0.593601,0,0
2,0.262826,1.285321,0.53188,2.899975,1.303866,0.087702,1.016611,4.090821,0.374301,-0.005519,0.112109,1.572128,-0.065464,-0.678119,0.460869,2.139741,-1.121327,1.26435,0,0
7,0.740331,-0.20941,0.759846,7.094787,-0.216343,-0.114315,0.847942,4.619546,-0.103823,-0.13126,0.447581,5.018119,-0.197691,-0.012841,0.441516,4.452656,-0.026411,0.943215,1,1
2,0.427842,0.080034,0.631861,4.948661,0.151114,0.428347,0.92629,6.826007,0.546976,0.162512,0.74132,3.041684,-0.330815,0.383325,0.460047,2.541706,0.442895,1.279927,0,1
12,0.352478,-0.160537,0.843432,4.073898,-0.372626,0.136372,1.244231,4.892095,0.2216,0.135695,1.143601,7.926697,-0.03524,0.385506,1.416126,11.850983,0.574662,1.644389,0,0
8,0.122577,-0.205644,0.494215,2.717923,-0.218529,-0.493532,0.665725,4.067259,-0.492156,0.149126,2.214111,6.405383,-0.52157,-0.158532,0.621417,6.850258,-0.402651,1.384578,1,1
2,0.300725,1.340593,0.275525,2.743845,1.355768,0.564676,1.069924,4.703928,0.770475,0.520632,0.281745,1.506205,0.184788,0.15341,0.037476,0.891424,0.203902,0.942288,0,0
7,0.693583,0.121952,1.3187,5.802987,-0.189029,-0.018019,0.679856,4.769557,0.033633,-0.372133,0.132995,2.620376,-0.434692,-0.518339,0.40273,9.190314,-0.407452,0.963712,1,0
2,0.558416,-0.163256,0.508693,4.538522,-0.259879,0.148537,0.768846,6.216591,0.268117,-0.614154,0.129671,1.39136,-0.809051,-0.955682,0.119514,1.515617,-1.057085,0.825496,0,0
8,0.312827,-0.006814,0.903421,3.969727,-0.016925,0.190993,1.247853,4.699921,0.412348,-0.096142,1.052744,4.678846,0.11596,0.140863,0.984855,4.934778,0.105895,1.163792,2,0
12,0.180982,0.109875,1.033373,4.502463,-0.042897,-0.224153,0.830359,4.61666,-0.187321,0.580571,1.586234,6.987534,0.332289,0.543596,1.116679,7.031618,0.470296,1.406181,1,1
2,0.258,0.89193,0.646854,2.593907,1.15855,-0.020359,0.987985,3.936262,0.299662,0.058169,0.208111,2.039164,0.074586,-0.043272,0.739304,3.205815,-0.311173,1.138029,0,0
7,0.668058,-0.155943,0.949045,4.498704,-0.298175,-0.035323,0.722466,4.109007,0.153392,-0.286676,0.177246,1.834656,-0.253453,-0.423774,0.424651,3.746667,-0.402073,0.91577,1,0
2,0.480737,0.011422,1.002206,4.491303,0.143255,0.808351,1.395671,8.770357,0.698818,0.545932,1.189447,3.183326,0.37893,0.445284,0.040403,0.867738,0.434748,0.975883,0,0
12,0.41218,-0.37783,1.268743,3.764708,-0.364794,0.386891,0.427182,4.345827,0.249111,0.152431,1.014889,5.728554,-0.211255,0.585096,0.360879,6.109507,0.575779,1.258997,0,0
8,0.093238,0.353406,0.975676,4.198062,0.154716,0.385095,0.506337,4.144403,0.209009,0.52884,0.773244,3.400503,0.207875,0.272588,0.472813,2.923894,0.203202,1.839558,1,1
