@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.133,0.832,0.034,0.301,0.573,0
0.004,0.357,0.639,0.18,0.38,2
0.063,0.514,0.423,0.134,0.533,1
0.368,0.59,0.042,0.742,0.247,0
0.386,0.307,0.307,0.4,0.332,0
0.052,0.274,0.675,0.114,0.505,0
0.111,0.452,0.438,0.854,0.129,0
0.751,0.211,0.038,0.874,0.111,0
0.739,0.119,0.141,0.703,0.251,0
0.167,0.517,0.316,0.327,0.268,0
0.218,0.704,0.077,0.34,0.416,1
0.121,0.7,0.179,0.149,0.556,1
0.196,0.297,0.508,0.549,0.272,0
0.47,0.27,0.26,0.781,0.207,0
0.121,0.482,0.397,0.124,0.507,0
0.018,0.781,0.201,0.447,0.437,1
0.366,0.43,0.204,0.715,0.255,0
0.002,0.363,0.636,0.016,0.189,1
0.056,0.429,0.515,0.023,0.357,2
0.022,0.089,0.889,0.07,0.679,2
0.093,0.483,0.425,0.548,0.318,2
0.345,0.608,0.047,0.742,0.228,0
0.015,0.515,0.47,0.243,0.692,1
0.103,0.848,0.05,0.714,0.219,1
0.534,0.247,0.219,0.703,0.237,0
0.598,0.288,0.114,0.577,0.323,0
0.104,0.367,0.529,0.199,0.543,0
0.241,0.24,0.519,0.482,0.476,0
0.193,0.57,0.237,0.577,0.363,0
0.467,0.11,0.422,0.533,0.323,0
0.734,0.215,0.051,0.531,0.347,0
0.495,0.279,0.226,0.746,0.127,0
0.38,0.431,0.189,0.21,0.527,0
0.042,0.895,0.064,0.415,0.399,0
0.003,0.196,0.801,0.061,0.311,2
0.003,0.627,0.371,0.028,0.809,1
0.096,0.011,0.893,0.064,0.821,0
0.256,0.625,0.119,0.082,0.897,0
0.174,0.486,0.339,0.3,0.466,0
0.193,0.717,0.09,0.291,0.642,1
0.004,0.823,0.173,0.008,0.4,2
0.155,0.433,0.412,0.709,0.263,0
0.16,0.588,0.253,0.144,0.781,0
0.063,0.624,0.313,0.097,0.549,1
0.183,0.805,0.012,0.567,0.394,0
0.011,0.829,0.16,0.053,0.618,1
0.411,0.19,0.399,0.669,0.292,0
0.575,0.386,0.04,0.675,0.306,1
0.004,0.188,0.808,0.005,0.086,0
0.428,0.534,0.038,0.563,0.379,0
0.248,0.035,0.716,0.385,0.406,0
0.4,0.43,0.17,0.599,0.358,0
0.777,0.212,0.012,0.654,0.312,0
0.801,0.08,0.119,0.785,0.188,0
0.185,0.153,0.662,0.226,0.502,0
0.128,0.742,0.13,0.312,0.625,0
0.002,0.813,0.185,0.085,0.628,1
0.002,0.089,0.909,0.011,0.236,2
0.751,0.224,0.024,0.62,0.33,0
