@RELATION rabc_features

@ATTRIBUTE task_id NUMERIC
@ATTRIBUTE psy_feature1 NUMERIC
@ATTRIBUTE psy_feature2 NUMERIC
@ATTRIBUTE psy_feature3 NUMERIC
@ATTRIBUTE psy_feature4 NUMERIC
@ATTRIBUTE psy_feature5 NUMERIC
@ATTRIBUTE psy_feature6 NUMERIC
@ATTRIBUTE psy_feature7 NUMERIC
@ATTRIBUTE psy_feature8 NUMERIC
@ATTRIBUTE psy_feature9 NUMERIC
@ATTRIBUTE psy_feature10 NUMERIC
@ATTRIBUTE psy_feature11 NUMERIC
@ATTRIBUTE psy_feature12 NUMERIC
@ATTRIBUTE psy_feature13 NUMERIC
@ATTRIBUTE psy_feature14 NUMERIC
@ATTRIBUTE psy_feature15 NUMERIC
@ATTRIBUTE psy_feature16 NUMERIC
@ATTRIBUTE psy_feature17 NUMERIC
@ATTRIBUTE psy_feature18 NUMERIC
@ATTRIBUTE joint_feature1 NUMERIC
@ATTRIBUTE joint_feature2 NUMERIC
@ATTRIBUTE proj1 NUMERIC
@ATTRIBUTE proj2 NUMERIC
@ATTRIBUTE proj3 NUMERIC
@ATTRIBUTE class {0,1,2}

@DATA
1.000000000000000000e+00,4.000000000000000000e+00,4.226519337016574340e-01,-4.605667966810483155e-02,2.023763882205717568e+00,4.007410853499999703e+00,6.237603662999999798e-01,-9.994585611383330903e-01,8.336037446664049666e-01,5.335613504000000340e+00,-1.144372533000000081e+00,-5.654789047000001734e-01,4.930380657631323784e-32,0.000000000000000000e+00,-5.654789046999999513e-01,-4.848905056999997659e-02,4.333342374871280669e-34,0.000000000000000000e+00,-4.848905056999999741e-02,5.927903272841472671e-01,0.000000000000000000e+00,0.471937,1.010440,1.216089,0
2.000000000000000000e+00,1.000000000000000000e+01,3.613815484469170003e-01,-4.406875806148277119e-01,6.928420122265950276e-01,4.479065795000000350e+00,-4.474557658000000160e-01,-2.862847648466227968e-01,8.927570459080279575e-01,4.089869132999999657e+00,-2.208297298999999936e-01,-3.042940210020682601e-01,1.191995328447948088e+00,5.542439232999999632e+00,-6.166503789999999707e-01,-2.322820113407742249e-01,1.071406099215910013e+00,7.472742194000000282e+00,-1.416700683000000072e-01,1.100783322672315157e+00,6.000000000000000000e+00,0.548789,1.045196,1.251599,0
3.000000000000000000e+00,1.200000000000000000e+01,9.686089013115459223e-02,9.212709793491700994e-02,7.084908375685549098e-01,4.476359347000000710e+00,1.268797134000000104e-01,1.509353201136813816e-01,6.004487594389499305e-01,3.556045287999999971e+00,3.286811117999999809e-01,2.550555901102197209e-01,8.597951399693499752e-01,3.925420647000000152e+00,4.875163209000000220e-01,-1.563603360390888354e-03,6.217025392128272543e-01,3.600178545999999979e+00,-6.874909954999999795e-02,1.534171987329817854e+00,0.000000000000000000e+00,0.788711,1.067685,1.284686,2
4.000000000000000000e+00,3.000000000000000000e+00,1.498371335504886104e-01,9.062857550151308672e-01,3.169956168022243781e-01,2.234770528899999942e+00,1.094597446999999946e+00,-2.375673328388174244e-01,8.360709494363388616e-01,3.225629928000000035e+00,-9.402815702000000275e-02,-5.123446212683915313e-01,3.774975485963264488e-01,2.123047609499999933e+00,-7.007990254999999502e-01,-9.296026357382597416e-01,2.153655191259110369e-01,1.809254533499999873e+00,-8.222299688999999967e-01,1.746629257267555024e+00,0.000000000000000000e+00,0.770643,1.057554,1.273137,2
5.000000000000000000e+00,1.600000000000000000e+01,4.527228393389325367e-01,2.833451858521636169e-01,1.190172401226730070e+00,5.282326047999999830e+00,3.388543567000000256e-01,4.014932176859244417e-01,1.097247860959052357e+00,4.823456397000000173e+00,4.365338590000000241e-01,1.930560983078277448e-01,7.544793127713365077e-01,3.924283502999999840e+00,6.563594429999999869e-02,1.810040850493939424e-01,9.284686368403334278e-01,4.322786960000000178e+00,1.036221108999999946e-01,1.282414590730393211e+00,1.000000000000000000e+00,0.488682,1.002865,1.206218,1
1.000000000000000000e+00,2.000000000000000000e+00,5.225225225225225145e-01,-3.287508151142218976e-02,8.601909965108021083e-01,4.185433944999999767e+00,-2.015725292000000168e-01,-2.284948344039931523e-01,1.854906343913695466e+00,1.012379808600000075e+01,-1.283677763000000138e-01,7.795923443761461347e-02,1.643857786645301633e-01,2.520579523099999886e+00,2.792481347000000044e-02,8.216397925969580740e-01,7.274510487893098842e-02,1.475764674929999964e+00,8.092093422999999675e-01,9.088359990129881716e-01,0.000000000000000000e+00,0.371853,0.960509,1.154078,0
2.000000000000000000e+00,8.000000000000000000e+00,3.637065637065636792e-01,-1.514724931310265088e-01,1.049328999117953076e+00,3.717094813000000109e+00,-1.090205172999999944e-01,1.614660650864126745e-01,1.053274351238422391e+00,5.413127373000000020e+00,7.814562750999999585e-02,-4.572327399954402294e-01,9.241921588946937494e-01,6.476441858000000273e+00,-6.435048356000000469e-01,-2.391906078160110916e-01,8.887912357291597454e-01,6.292185840000000141e+00,-1.877668155999999977e-01,9.913173872466259917e-01,4.000000000000000000e+00,0.528608,1.027675,1.233927,0
3.000000000000000000e+00,1.200000000000000000e+01,1.452636718750000000e-01,1.707346157766211903e-01,1.047577653247995899e+00,3.710518878999999881e+00,2.715438934499999624e-01,-2.136692646909857107e-01,8.483539237059071203e-01,6.608262984999999645e+00,-3.648140180000000177e-01,3.008159676155299223e-01,1.334930398065824919e+00,6.017722209000000433e+00,-1.420943575999999986e-02,-5.134489540443532701e-02,1.414746862412286310e+00,1.515942052200000134e+01,-1.965221762000000094e-01,1.351100507439891185e+00,1.000000000000000000e+00,0.680839,1.060999,1.274520,0
4.000000000000000000e+00,2.000000000000000000e+00,3.325031133250311299e-01,-2.852901239556031032e-01,8.488075432870534343e-01,3.489355242000000246e+00,-3.455774691999999870e-01,-1.571215876112362630e-02,7.164095311638010166e-01,4.176179827000000344e+00,-1.769424824999999979e-01,8.340471249854696234e-01,5.156681291782824195e-01,3.409476264800000322e+00,6.979952931999999777e-01,1.165004875773258536e-01,2.442390579313883092e-01,2.899645731700000173e+00,7.619109385000000234e-02,9.137089860494115312e-01,0.000000000000000000e+00,0.567954,1.032023,1.240825,0
5.000000000000000000e+00,8.000000000000000000e+00,7.514476614699331369e-01,4.097268745660367917e-02,8.741058103889012276e-01,3.744269100999999988e+00,-6.170030427999999983e-03,9.659716421774465489e-02,9.396472118161529608e-01,5.080241465000000289e+00,-4.313293622000000105e-02,-1.625371067840669995e-02,6.012315563486408942e-01,3.967415273999999936e+00,-1.813872633499999942e-01,1.618805555008938080e-01,7.433718960391846320e-01,5.568085089000000210e+00,2.245458157000000121e-01,7.800110420454438032e-01,1.000000000000000000e+00,0.245311,0.836829,0.999951,0
