@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0.010753,0,0,0.003765,0,0.787994,0.845617,0.983915,2
0,0.003268,0,0,0.009836,0,0.769992,0.823409,0.957562,2
0.026144,0.045752,0,0,0.006579,0,0.058741,0.066532,0.058681,2
0.008905,0.09528,0,0,0.000891,0,0.372059,0.396260,0.456019,2
0.001359,0.004076,0,0,0.00136,0,0.761603,0.816838,0.948785,2
0,0.1,0,0,0,0,0.488588,0.514506,0.593824,2
0.001966,0.010319,0,0,0.00295,0,0.773038,0.829578,0.964459,2
0.016473,0.010659,0,0,0.002908,0,0.678131,0.728283,0.845452,2
0,0.066667,0,0,0.008403,0,0.452917,0.476549,0.551024,2
0,0.041475,0,0,0.023148,0,0.544588,0.576086,0.669173,2
0.030176,0.06119,0,0,0.006711,0,0.364250,0.383002,0.437354,2
0.038647,0.043478,0,0,0.009709,0,0.498467,0.532925,0.615296,2
0,0.08,0,0,0,0,0.425659,0.450915,0.514670,2
0,0.049858,0,0,0.007133,0,0.596724,0.635880,0.735745,2
0,0.078652,0,0,0.017685,0,0.297372,0.304392,0.339407,2
0,0.005833,0,0,0.00417,0,0.816453,0.875719,1.018968,2
0,0.127119,0,0,0.008547,0,0.375608,0.393082,0.454953,2
0,0.13465,0,0,0.017986,0,0.309860,0.317544,0.357681,2
0.00309,0.004326,0,0,0.004329,0,0.763323,0.818942,0.952185,2
0.012163,0.004231,0,0,0.004233,0,0.712254,0.764635,0.888670,2
0,0.051178,0,0,0.006065,0,0.665733,0.710989,0.825421,2
0,0.030318,0,0,0.005382,0,0.738404,0.790237,0.918823,2
0,0.007746,0,0,0.002326,0,0.806763,0.865202,1.006506,2
0,0.128205,0,0,0.020183,0,0.282890,0.292523,0.327561,2
0.003831,0.066411,0,0,0.002558,0,0.535421,0.568684,0.658569,2
0.00252,0.006931,0,0,0.001261,0,0.791767,0.849670,0.988380,2
0,0.041237,0,0,0.013769,0,0.276353,0.291476,0.325884,2
0,0.005549,0,0,0.003333,0,0.747861,0.801823,0.931125,0
0,0.00463,0,0,0.046512,0,0.565107,0.596047,0.690557,0
0,0.050633,0,0,0.038217,0,0.543580,0.570759,0.661882,0
0,0,0,0,0.006289,0,0.563849,0.600514,0.695859,0
0.003448,0,0,0,0.001151,0,0.760706,0.816885,0.949071,0
0,0.048077,0,0,0.019417,0,0.312653,0.320441,0.362038,0
0,0.118304,0,0,0.008949,0,0.245137,0.251456,0.279746,0
0.044004,0.0044,0,0,0.001101,0,0.511491,0.549187,0.633241,0
0,0.0375,0,0,0.006289,0,0.567409,0.605442,0.698786,0
0,0.043732,0,0,0.00292,0,0.614663,0.656284,0.759277,0
0,0.069343,0,0,0.010969,0,0.273252,0.281831,0.314860,0
0,0.108772,0,0,0.010545,0,0.467512,0.493713,0.569824,0
0,0.01005,0,0,0.015152,0,0.677540,0.722725,0.838812,0
0.024845,0,0,0,0,0,0.031278,0.039966,0.030062,0
0.010033,0.128763,0,0,0.01005,0,0.234650,0.245742,0.270087,0
0,0.06308,0,0,0.01487,0,0.388112,0.407131,0.467442,0
0.003049,0.047256,0,0,0.015267,0,0.289297,0.298670,0.332842,0
0.004794,0.078619,0,0,0.004798,0,0.397589,0.421603,0.483938,0
0.017493,0.049563,0,0,0.00292,0,0.449885,0.479503,0.551424,0
0.038835,0,0,0,0.009756,0,0.371603,0.395498,0.451949,0
0.017391,0.026087,0,0,0.026316,0,0.148404,0.147071,0.158576,0
0,0.008539,0,0,0.00095,0,0.820053,0.881031,1.024217,0
0.005291,0,0,0,0.037234,0,0.494432,0.520000,0.600411,0
0.018868,0.160377,0,0,0,0,0.338884,0.360532,0.406584,0
0,0.012121,0,0,0.02439,0,0.563778,0.595407,0.690945,0
0,0.149912,0,0,0.022968,0,0.278537,0.286226,0.320972,1
0.012012,0.005255,0,0.000751,0.001503,0,0.640834,0.687931,0.797277,1
0,0.004942,0,0,0.000824,0,0.736653,0.790400,0.915680,1
0,0.024,0,0,0.008065,0,0.301506,0.322660,0.362976,1
0.040706,0.02578,0.001359,0,0.006793,0,0.266373,0.283108,0.319124,1
0,0.005641,0,0,0.003226,0,0.791711,0.849013,0.987194,1
