@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature788 numeric
@attribute bi_feature809 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.473720,0.492104,0.603696,0
0.00348,0,0,0,0,0,0.551318,0.579357,0.704530,0
0.006989,0,0,0,0,0.000538,0.792562,0.831877,1.028204,2
0,0,0,0,0,0,0.774229,0.810243,1.000972,2
0.004065,0,0,0.001357,0,0,0.490610,0.508015,0.620669,1
0,0,0,0,0,0,0.373195,0.387144,0.464445,0
0.002577,0,0,0,0,0,0.530918,0.554540,0.677744,0
0.013431,0,0,0,0,0,0.684090,0.717525,0.884068,0
0,0,0,0,0,0,0.570476,0.595992,0.729830,0
0,0,0,0,0,0,0.245705,0.248701,0.290481,0
0,0,0,0,0,0,0.389235,0.403416,0.487342,0
0.00313,0,0,0,0,0,0.538789,0.561311,0.685686,0
0,0,0,0,0,0,0.823353,0.864660,1.068284,0
0,0,0,0,0,0,0.620229,0.646643,0.796043,0
0,0,0,0,0,0,0.391462,0.404061,0.485950,0
0,0,0,0,0,0,0.593145,0.621644,0.759788,0
0,0,0,0,0,0,0.618764,0.644416,0.792269,0
0,0,0,0,0,0,0.757382,0.794513,0.980098,0
0,0,0,0,0,0,0.688776,0.717873,0.884790,0
0,0,0,0,0,0,0.272399,0.276579,0.319471,1
0,0,0,0,0,0,0.538553,0.556917,0.684032,1
0,0,0,0,0,0,0.602301,0.628345,0.771302,0
0.00414,0,0,0,0,0,0.761191,0.799480,0.985474,1
0,0,0,0,0,0,0.650492,0.675073,0.831613,0
0,0,0,0,0,0,0.265541,0.267767,0.309808,0
0,0,0,0,0,0,0.254838,0.263558,0.309466,0
0,0,0,0,0,0,0.625347,0.653926,0.803266,0
0,0,0,0,0,0,0.741249,0.777242,0.958349,1
0,0,0,0,0,0,0.681196,0.711282,0.876557,0
0,0,0,0,0,0,0.322062,0.329595,0.391300,0
0,0,0,0,0,0,0.487651,0.503952,0.618096,0
0,0,0,0,0,0,0.550222,0.572190,0.699670,0
0.00534,0,0,0,0,0,0.798440,0.838115,1.035171,1
0,0,0,0,0,0,0.673332,0.699522,0.861621,0
0,0,0,0,0,0,0.322152,0.328636,0.388881,0
0,0,0,0,0,0,0.411605,0.422909,0.514367,1
0.005525,0,0,0,0,0,0.461924,0.479216,0.584573,0
0.021898,0,0,0,0,0,0.644945,0.676282,0.832237,0
0,0,0,0,0,0,0.469379,0.484658,0.590063,0
0,0,0,0,0,0,0.302430,0.308869,0.365920,0
0,0,0,0,0,0,0.607967,0.635478,0.782942,0
0,0,0,0,0,0,0.569265,0.592964,0.725213,0
0,0,0,0,0,0,0.839870,0.881812,1.090092,0
0,0,0,0,0,0,0.683257,0.716494,0.882922,0
0,0,0,0,0,0,0.282405,0.286969,0.336356,0
0,0,0,0,0,0,0.349483,0.360667,0.435957,0
0.008172,0,0,0,0,0,0.413329,0.427583,0.515864,0
0,0,0,0,0,0,0.810925,0.850951,1.051336,0
0,0,0,0,0,0,0.586674,0.606384,0.746133,0
0.002028,0,0,0,0,0,0.241341,0.241957,0.280568,0
0,0,0,0,0,0,0.334621,0.342804,0.414501,0
