@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0,0,0.003765,0,0,0.788728,0.845617,0.983915,2
0,0,0,0.009836,0,0,0.770634,0.823409,0.957562,2
0.026144,0,0,0.006579,0,0,0.058662,0.066532,0.058681,2
0.008905,0,0,0.000891,0,0,0.372278,0.396260,0.456019,2
0.001359,0,0,0.00136,0,0,0.762317,0.816838,0.948785,2
0,0,0,0,0,0,0.488899,0.514506,0.593824,2
0.001966,0,0,0.00295,0,0,0.773777,0.829578,0.964459,2
0.016473,0,0,0.002908,0,0,0.678773,0.728283,0.845452,2
0,0,0,0.008403,0,0,0.453148,0.476549,0.551024,2
0,0,0,0.023148,0,0,0.544919,0.576086,0.669173,2
0.030176,0,0,0.006711,0,0,0.364464,0.383002,0.437354,2
0.038647,0,0,0.009709,0,0,0.498888,0.532925,0.615296,2
0,0,0,0,0,0,0.426102,0.450915,0.514670,2
0,0,0,0.007133,0,0,0.597226,0.635880,0.735745,2
0,0,0,0.017685,0,0,0.297470,0.304392,0.339407,2
0,0,0,0.00417,0,0,0.817200,0.875719,1.018968,2
0,0,0,0.008547,0,0,0.375742,0.393082,0.454953,2
0,0,0,0.017986,0,0,0.309851,0.317544,0.357681,2
0.00309,0,0,0.004329,0,0,0.764025,0.818942,0.952185,2
0.012163,0,0,0.004233,0,0,0.712907,0.764635,0.888670,2
0,0,0,0.006065,0,0,0.666313,0.710989,0.825421,2
0,0,0,0.005382,0,0,0.739048,0.790237,0.918823,2
0,0,0,0.002326,0,0,0.807511,0.865202,1.006506,2
0,0,0,0.020183,0,0,0.283022,0.292523,0.327561,2
0.003831,0,0,0.002558,0,0,0.535824,0.568684,0.658569,2
0.00252,0,0,0.001261,0,0,0.792520,0.849670,0.988380,2
0,0,0,0.013769,0,0,0.276544,0.291476,0.325884,2
0,0,0,0.008991,0,0,0.546075,0.580709,0.669310,0
0.010033,0,0,0.01005,0,0,0.234853,0.245742,0.270087,0
0.057143,0,0,0.009615,0,0,0.217764,0.229368,0.252105,0
0.007491,0,0,0.005629,0,0,0.445052,0.470059,0.542838,0
0,0,0,0.024074,0,0,0.216967,0.219716,0.238660,0
0.038835,0,0,0.009756,0,0,0.371861,0.395498,0.451949,0
0,0,0,0.029557,0,0,0.623151,0.659303,0.764608,0
0.011494,0,0,0.034682,0,0,0.405850,0.424680,0.485637,0
0,0,0,0.003333,0,0,0.748575,0.801823,0.931125,0
0,0,0,0.008547,0,0,0.380571,0.397340,0.451978,0
0.005525,0,0,0.006916,0,0,0.459976,0.486595,0.560927,0
0.056202,0,0,0,0,0,0.020211,0.026190,0.017526,0
0.005979,0,0,0.022455,0,0,0.164690,0.170173,0.179502,0
0.017493,0,0,0.00292,0,0,0.450283,0.479503,0.551424,0
0,0,0,0.030457,0,0,0.632590,0.670809,0.778723,0
0,0,0,0.005455,0,0,0.487785,0.516937,0.597356,0
0.002375,0,0,0.001189,0,0,0.818703,0.878878,1.023004,0
0,0,0,0,0,0,0.829863,0.890499,1.035801,0
0,0,0,0.02454,0,0,0.615295,0.649893,0.751429,0
0.007207,0,0,0.005415,0,0,0.424605,0.448031,0.513415,0
0,0,0,0.012658,0,0,0.265063,0.270585,0.297906,0
0.00313,0,0,0.009404,0,0,0.536448,0.570129,0.656802,0
0,0,0,0.008596,0,0,0.566802,0.602307,0.694445,0
0,0,0,0.014469,0,0,0.267167,0.276343,0.309748,0
0.024845,0,0,0,0,0,0.031256,0.039966,0.030062,0
0,0,0,0.006897,0,0.000766,0.771152,0.825416,0.959575,1
0.029375,0.000625,0,0.001251,0,0,0.615788,0.661044,0.766123,1
0.013356,0,0,0.004177,0,0.000835,0.701627,0.751570,0.872532,1
0.003866,0,0,0.009032,0,0,0.252813,0.264575,0.293437,1
0,0,0,0.018182,0,0,0.419604,0.437186,0.502237,1
0,0,0,0.004608,0,0,0.800848,0.857828,0.998044,1
0,0,0,0,0,0,0.526381,0.559565,0.645264,1
0,0,0,0.014787,0,0,0.271869,0.279786,0.308082,1
0,0,0,0.022968,0,0,0.278666,0.286226,0.320972,1
0,0,0,0.001208,0,0,0.427875,0.453647,0.523005,1
0,0,0,0,0,0,0.472387,0.502895,0.579573,1
0.047927,0,0.001297,0.003891,0,0,0.348990,0.371307,0.424280,1
0,0,0,0.002595,0,0,0.566922,0.602814,0.697924,1
0,0,0,0.012903,0,0,0.536184,0.565661,0.656071,1
0,0,0,0.007143,0,0,0.421537,0.447060,0.509489,1
0.007042,0,0,0.002643,0,0,0.643760,0.690251,0.801737,1
0,0,0,0.02381,0,0,0.234313,0.234997,0.264395,1
0,0,0,0.00299,0,0,0.511601,0.544286,0.628217,1
0.004702,0,0,0.012559,0.00157,0.00157,0.253767,0.267631,0.292516,1
0.040695,0,0,0.001372,0,0,0.274967,0.298639,0.337944,1
0.035813,0,0,0.001838,0.000919,0,0.643944,0.690958,0.801527,1
0,0,0,0,0,0,0.853379,0.915975,1.066118,1
0.00414,0,0,0.001775,0,0,0.757548,0.812664,0.943286,1
0.08982,0.006024,0,0,0,0,0.208542,0.220080,0.244201,1
0.000425,0,0,0.003825,0,0,0.739120,0.791419,0.919215,1
0,0,0,0.013582,0,0,0.308368,0.315965,0.354063,1
0,0,0,0.03125,0,0,0.543154,0.573085,0.661247,1
0.0217,0,0,0.012681,0,0,0.138541,0.140736,0.146322,1
0,0,0,0.014706,0,0,0.467687,0.493415,0.565571,1
0,0,0,0.011928,0,0,0.205803,0.209909,0.226886,1
