@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature33 numeric
@attribute bi_feature330 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0.016129,0.000538,0,0,0,0.003765,0,0.000538,0.791067,0.835283,1.009054,2
9,0,0.022876,0.003268,0,0,0,0.009836,0,0,0.772924,0.813408,0.981465,2
9,0.026144,0.026144,0,0,0,0,0.006579,0,0,0.058152,0.067114,0.061131,2
9,0.008905,0.059662,0.00089,0,0,0,0.000891,0,0,0.373270,0.392038,0.466240,2
9,0.001359,0.005435,0,0,0,0,0.00136,0,0,0.764552,0.806900,0.972639,2
9,0,0.157143,0,0,0,0,0,0,0,0.490350,0.509081,0.606113,2
9,0.001966,0.014251,0.001474,0,0,0,0.00295,0,0,0.776059,0.819467,0.988908,2
9,0.016473,0.009205,0.001453,0,0,0,0.002908,0,0,0.680758,0.719458,0.867157,2
9,0.038647,0.028986,0,0,0,0,0.009709,0,0,0.500250,0.526857,0.630631,2
9,0,0.03,0,0,0,0,0,0,0,0.427253,0.446185,0.526241,2
9,0,0.059829,0.002849,0,0,0,0.007133,0,0,0.598967,0.628526,0.753129,2
9,0,0.05297,0,0,0,0,0.017685,0,0,0.298229,0.301861,0.345505,2
9,0,0.015833,0.0025,0,0,0,0.00417,0,0,0.819621,0.865013,1.044920,2
9,0,0.118644,0,0,0,0,0.008547,0,0,0.376845,0.389005,0.463088,2
9,0,0.039497,0.005386,0,0,0,0.017986,0,0,0.310691,0.314801,0.363874,2
9,0.00309,0.02225,0.001236,0,0,0,0.004329,0,0,0.766273,0.808965,0.976267,2
9,0.012163,0.006875,0.001058,0,0,0,0.004233,0,0.000529,0.714998,0.755315,0.911408,2
9,0,0.052525,0,0,0,0,0.006065,0,0,0.668276,0.702601,0.845221,2
9,0,0.04401,0.000489,0,0,0,0.005382,0,0,0.741242,0.780727,0.941474,2
9,0,0.017041,0,0,0,0,0.002326,0,0,0.809906,0.854640,1.032109,2
9,0,0.054945,0.001832,0,0,0,0.020183,0,0,0.283703,0.290148,0.333731,2
9,0.003831,0.081737,0.006386,0,0,0,0.002558,0,0,0.537390,0.562219,0.673264,2
9,0.00252,0.005041,0.003781,0,0,0,0.001261,0,0,0.794859,0.839269,1.013501,2
9,0,0.056701,0.001718,0,0,0,0.013769,0,0,0.276991,0.289026,0.332674,2
9,0.016529,0.024793,0,0,0,0,0,0,0,0.164203,0.170390,0.192088,0
9,0.007207,0.102703,0.007207,0,0,0,0.005415,0,0,0.425798,0.443306,0.524263,0
9,0,0.002846,0,0,0,0,0.00095,0,0,0.823295,0.870258,1.050571,0
9,0,0.127273,0.024242,0,0,0,0.02439,0,0,0.649601,0.677766,0.814334,0
9,0.007564,0.071104,0.001513,0,0,0,0.015152,0,0,0.321013,0.330943,0.382702,0
9,0,0.11,0,0,0,0,0.020202,0,0,0.326605,0.334229,0.390103,0
9,0.038321,0.056569,0.001825,0,0,0,0.003656,0,0,0.262084,0.278872,0.321394,0
9,0,0.127072,0.01105,0,0,0,0.033333,0,0,0.598239,0.623409,0.747852,0
9,0,0.067954,0.001544,0,0,0,0.006182,0,0,0.601322,0.631197,0.756000,0
9,0.018868,0,0,0,0,0,0,0,0,0.340187,0.357117,0.416441,0
9,0,0.089744,0,0,0,0,0.025974,0,0,0.179149,0.174308,0.190094,0
9,0,0.056027,0.005093,0,0,0,0.015306,0,0,0.319201,0.328119,0.380089,0
9,0,0.047934,0.006612,0,0,0,0.006623,0,0,0.391113,0.405759,0.475454,0
9,0,0.107784,0,0,0,0,0.03012,0,0,0.612556,0.638760,0.766620,0
9,0,0.08,0,0,0,0,0.028736,0,0,0.630676,0.659538,0.793060,0
9,0,0.026316,0,0,0,0,0.010582,0,0,0.313312,0.333373,0.391921,0
9,0,0.078818,0.001642,0,0,0,0.021382,0,0,0.258617,0.260899,0.295079,0
9,0.06,0.13,0,0,0,0,0.030303,0,0,0.079646,0.073610,0.069496,0
9,0,0.12522,0.012346,0,0,0,0.021201,0,0,0.289298,0.291059,0.331381,0
9,0.033708,0.004994,0.007491,0,0,0,0.00375,0,0,0.447973,0.473568,0.565729,0
9,0.027933,0.162011,0.011173,0,0,0,0.033708,0,0,0.417473,0.430371,0.511519,0
9,0,0.112,0.024,0,0,0,0.024194,0,0,0.453138,0.463453,0.546076,0
9,0.175573,0,0.007634,0,0,0,0,0,0,0.093126,0.095994,0.101476,0
9,0.002913,0.005825,0,0,0,0,0.002915,0,0,0.802011,0.846702,1.022336,0
9,0.03166,0.004633,0,0,0,0,0.001546,0,0,0.603615,0.638199,0.766487,0
9,0.035928,0.005988,0,0,0,0,0.006024,0,0,0.326899,0.342350,0.402379,1
9,0.013158,0.006579,0.001316,0,0,0.001317,0.003292,0,0,0.638505,0.674550,0.812270,1
9,0,0.061728,0.003527,0,0,0,0.022968,0,0,0.279386,0.283955,0.326628,1
9,0,0.067358,0,0,0,0,0.03125,0,0,0.544730,0.566574,0.676159,1
9,0.00414,0.005322,0,0,0,0,0.001775,0,0,0.759754,0.802807,0.967456,1
9,0.007874,0.03937,0.007874,0,0,0,0.007937,0,0,0.045878,0.046416,0.038310,1
9,0,0.084439,0.001206,0,0,0,0.001208,0,0,0.429103,0.448712,0.533903,1
9,0,0.160256,0,0,0,0,0.012903,0,0,0.537805,0.559371,0.669941,1
9,0.00534,0.017802,0.004005,0,0,0,0.003562,0,0,0.796931,0.841544,1.016200,1
9,0.040695,0.002286,0,0,0,0,0.001372,0,0,0.275567,0.295448,0.347231,1
9,0.003866,0.04768,0,0,0,0,0.009032,0,0,0.253267,0.262483,0.299619,1
9,0,0.126904,0,0,0,0,0.010204,0,0,0.411186,0.424741,0.503347,1
9,0,0.04,0,0,0,0,0.008065,0,0,0.302241,0.319663,0.371933,1
9,0,0.010471,0,0,0,0,0.003932,0,0,0.566504,0.594726,0.710152,1
9,0,0.019208,0.000582,0,0,0,0.003494,0,0,0.739904,0.780452,0.940238,1
9,0,0.013017,0,0,0,0,0.006897,0,0,0.773428,0.815374,0.983778,1
9,0,0.055351,0.00738,0,0,0,0.014787,0,0,0.272471,0.277669,0.313429,1
9,0.029375,0.00625,0.000625,0.001251,0.000625,0,0.001251,0,0,0.617547,0.653099,0.785800,1
9,0.02607,0.004679,0.000668,0,0,0,0.002676,0,0,0.758733,0.801689,0.968271,1
9,0,0.003241,0.001621,0,0,0,0,0,0,0.855908,0.904708,1.093642,1
9,0,0.046512,0.003578,0,0,0,0.012545,0,0,0.205011,0.205781,0.225662,1
9,0,0.058394,0,0,0,0,0.014706,0,0,0.468992,0.488081,0.578525,1
9,0.004065,0.101626,0.006775,0,0,0.001357,0.020353,0,0,0.489984,0.510075,0.608003,1
9,0,0.072072,0,0,0,0,0.018182,0,0,0.420809,0.432512,0.511978,1
9,0.012012,0.006006,0.001502,0,0,0.000751,0.001503,0,0,0.643218,0.679701,0.817523,1
9,0.007042,0.010563,0.001761,0,0,0,0.002643,0,0,0.645639,0.681855,0.822113,1
9,0,0.053731,0,0,0,0,0.00299,0,0,0.513076,0.538208,0.642810,1
9,0.08982,0.047904,0,0,0.006024,0,0,0,0,0.208997,0.218135,0.249183,1
9,0,0.041667,0,0,0,0,0,0,0,0.527863,0.553188,0.660434,1
9,0,0.008055,0.001151,0,0,0,0.004608,0,0,0.803225,0.847344,1.023448,1
