@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature879 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0,0.472381,0.497871,0.581973,0
9,0.00348,0,0,0.001161,0.001161,0,0.549195,0.587212,0.683681,0
9,0.006989,0,0,0,0.003765,0,0.789494,0.843055,0.993818,2
9,0,0,0,0,0.009836,0,0.771410,0.820734,0.967237,2
9,0.004065,0,0.001357,0,0.020353,0,0.489081,0.514182,0.600568,1
9,0,0,0,0,0,0,0.372233,0.391443,0.448149,0
9,0.002577,0,0,0.002581,0.002581,0,0.529070,0.561655,0.656067,0
9,0.013431,0,0,0,0.005498,0,0.681507,0.727007,0.854778,0
9,0,0,0,0,0.006289,0,0.568510,0.603482,0.705099,0
9,0,0,0,0,0.008949,0,0.245530,0.250419,0.281048,0
9,0,0,0,0,0.010638,0,0.388063,0.407963,0.470743,0
9,0.00313,0,0,0,0.009404,0,0.536936,0.568362,0.662495,0
9,0,0,0,0,0.00229,0,0.820158,0.876343,1.032230,0
9,0,0,0,0,0.019231,0,0.618060,0.654816,0.769215,0
9,0,0,0,0,0.006623,0,0.390501,0.408424,0.468859,0
9,0,0,0,0,0,0,0.591011,0.629627,0.733851,0
9,0,0,0,0,0.009188,0,0.616618,0.652947,0.766054,0
9,0,0,0,0,0.001381,0,0.754534,0.805151,0.946724,0
9,0,0,0,0,0.0181,0,0.686409,0.726914,0.855141,0
9,0,0,0,0,0.014787,0,0.272124,0.278807,0.309442,1
9,0,0,0,0,0.012903,0,0.536795,0.564076,0.662341,1
9,0,0,0,0,0.006182,0,0.600212,0.636702,0.745519,0
9,0.00414,0,0,0.000592,0.001775,0,0.758245,0.810245,0.952501,1
9,0,0,0,0,0.02439,0,0.648321,0.683629,0.804441,0
9,0,0,0,0,0.012658,0,0.265472,0.269193,0.299122,0
9,0,0,0,0,0.010101,0,0.254279,0.265944,0.299826,0
9,0,0,0,0,0.003279,0,0.623114,0.662456,0.777552,0
9,0,0,0,0,0.003494,0,0.738446,0.787583,0.926104,1
9,0,0,0,0,0.015152,0,0.678773,0.720429,0.847108,0
9,0,0,0,0,0.013308,0,0.321563,0.332506,0.378245,0
9,0,0,0,0,0.008475,0,0.486173,0.510261,0.598770,0
9,0,0,0,0,0.010101,0,0.548381,0.579494,0.676629,0
9,0.00534,0,0,0,0.003562,0,0.795345,0.849382,1.000803,1
9,0,0,0,0,0.030303,0,0.671094,0.708260,0.833163,0
9,0,0,0,0,0.003795,0,0.321887,0.331476,0.373270,0
9,0.026144,0,0,0,0.006579,0,0.057844,0.068456,0.059824,2
9,0.008905,0,0,0,0.000891,0,0.372647,0.395458,0.460216,2
9,0.001359,0,0,0,0.00136,0,0.763051,0.814325,0.958115,2
9,0,0,0,0,0.011561,0,0.571806,0.601226,0.704493,0
9,0,0,0,0,0.010435,0,0.274123,0.278240,0.309909,0
