@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature843 numeric
@attribute bi_feature888 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0,0,0.471937,0.500852,0.594424,0
9,0.00348,0,0,0.001161,0,0.001161,0,0.548789,0.589878,0.700329,0
9,0.006989,0,0,0.004841,0.000538,0.003765,0,0.788711,0.847717,1.018362,2
9,0,0,0,0.006557,0,0.009836,0,0.770643,0.825503,0.990248,2
9,0.004065,0,0.001357,0.018996,0,0.020353,0,0.488682,0.516899,0.613257,1
9,0,0,0,0.009174,0,0,0,0.371853,0.393523,0.457982,0
9,0.002577,0,0,0.007742,0,0.002581,0,0.528608,0.564447,0.671136,0
9,0.013431,0,0,0.004887,0,0.005498,0,0.680839,0.731016,0.875697,0
9,0,0,0,0,0,0.006289,0,0.567954,0.606848,0.721749,0
9,0,0,0,0.013423,0,0.008949,0,0.245311,0.251874,0.284252,0
9,0,0,0,0.010638,0,0.010638,0,0.387771,0.410110,0.481113,0
9,0.00313,0,0,0.007837,0.001567,0.009404,0,0.536501,0.571411,0.678251,0
9,0,0,0,0.001527,0,0.00229,0,0.819342,0.881183,1.058041,0
9,0,0,0,0.012821,0,0.019231,0,0.617507,0.658524,0.786965,0
9,0,0,0,0.006623,0.001656,0.006623,0,0.390148,0.410711,0.478584,0
9,0,0,0,0,0,0,0,0.590437,0.632974,0.752032,0
9,0,0,0,0.013783,0.000766,0.009188,0,0.616083,0.656180,0.783631,0
9,0,0,0,0.001381,0,0.001381,0,0.753777,0.809584,0.970040,0
9,0,0,0,0.022624,0,0.0181,0,0.685770,0.731121,0.874676,0
9,0,0,0,0.020333,0.001848,0.014787,0,0.271930,0.280359,0.314125,1
9,0,0,0,0.025806,0,0.012903,0,0.536379,0.566740,0.676166,1
9,0,0,0,0.006955,0,0.006182,0,0.599653,0.639806,0.762833,0
9,0.00414,0,0,0.002367,0,0.001775,0,0.757507,0.814669,0.976440,1
9,0,0,0,0.030488,0,0.02439,0,0.647770,0.687398,0.822125,0
9,0,0,0,0.012658,0,0.012658,0,0.265182,0.271162,0.302926,0
9,0,0,0,0.010101,0,0.010101,0,0.253990,0.267304,0.305764,0
9,0,0,0,0.009836,0,0.003279,0,0.622540,0.665862,0.795375,0
9,0,0,0,0.005824,0,0.003494,0,0.737734,0.791915,0.948884,1
9,0,0,0,0.015152,0,0.015152,0,0.678124,0.724512,0.866927,0
9,0,0,0,0.019011,0,0.013308,0,0.321212,0.334389,0.384263,0
9,0,0,0,0.016949,0,0.008475,0,0.485726,0.512573,0.610278,0
9,0,0,0,0.011111,0.00101,0.010101,0,0.547908,0.582380,0.692011,0
9,0.00534,0,0,0.004007,0,0.003562,0,0.794567,0.854048,1.025561,1
9,0,0,0,0.036364,0,0.030303,0,0.670485,0.712344,0.851642,0
9,0,0,0,0.003795,0,0.003795,0,0.321573,0.333643,0.379711,0
9,0.026144,0,0,0.006579,0,0.006579,0,0.058376,0.067155,0.060559,2
9,0.008905,0,0,0.004456,0.000891,0.000891,0,0.372335,0.396948,0.470002,2
