@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0.010753,0.000538,0,0,0.003765,0.006455,0,0.795793,0.863789,0.983915,2
9,0,0.003268,0.003268,0,0,0.009836,0,0,0.777515,0.841048,0.957562,2
9,0.026144,0.045752,0,0,0,0.006579,0.026316,0,0.057552,0.060499,0.058681,2
9,0.008905,0.09528,0.00089,0,0,0.000891,0.081996,0,0.375226,0.403650,0.456019,2
9,0.001359,0.004076,0,0,0,0.00136,0.00136,0,0.769116,0.834422,0.948785,2
9,0,0.1,0,0,0,0,0.064748,0,0.493025,0.525658,0.593824,2
9,0.001966,0.010319,0.001474,0,0,0.00295,0.0059,0,0.780696,0.847468,0.964459,2
9,0.016473,0.010659,0.001453,0,0,0.002908,0.004363,0,0.684794,0.743707,0.845452,2
9,0,0.066667,0,0,0,0.008403,0.042017,0,0.456997,0.486807,0.551024,2
9,0,0.041475,0.009217,0,0,0.023148,0.018519,0,0.549678,0.588339,0.669173,2
9,0.030176,0.06119,0.000838,0,0,0.006711,0.04698,0,0.367315,0.390754,0.437354,2
9,0.038647,0.043478,0,0,0,0.009709,0.029126,0,0.502996,0.543450,0.615296,2
9,0,0.08,0,0,0,0,0.060606,0,0.429556,0.460796,0.514670,2
9,0,0.049858,0.002849,0,0,0.007133,0.034237,0,0.602413,0.649652,0.735745,2
9,0,0.078652,0,0,0,0.017685,0.05627,0,0.299549,0.310742,0.339407,2
9,0,0.005833,0.0025,0,0,0.00417,0.003336,0,0.824515,0.894477,1.018968,2
9,0,0.127119,0,0,0,0.008547,0.08547,0,0.378841,0.401470,0.454953,2
9,0,0.13465,0.005386,0,0,0.017986,0.111511,0,0.312097,0.324248,0.357681,2
9,0.00309,0.004326,0.001236,0,0,0.004329,0.003092,0,0.770842,0.836374,0.952185,2
9,0.012163,0.004231,0.001058,0,0,0.004233,0.001587,0,0.719248,0.780826,0.888670,2
9,0,0.051178,0,0,0,0.006065,0.039757,0,0.672181,0.726375,0.825421,2
9,0,0.030318,0.000489,0,0,0.005382,0.024951,0,0.745632,0.807310,0.918823,2
9,0,0.007746,0,0,0,0.002326,0.005426,0,0.814742,0.883825,1.006506,2
9,0,0.128205,0.001832,0,0,0.020183,0.108257,0,0.284907,0.298207,0.327561,2
9,0.003831,0.066411,0.006386,0,0,0.002558,0.05243,0,0.540444,0.580893,0.658569,2
9,0.00252,0.006931,0.003781,0,0,0.001261,0.001892,0,0.799614,0.867956,0.988380,2
9,0,0.041237,0.001718,0,0,0.013769,0.022375,0,0.278052,0.294554,0.325884,2
9,0.016129,0,0,0,0,0.043243,0,0,0.450868,0.479169,0.542108,0
9,0,0.008539,0,0,0,0.00095,0.003799,0,0.828229,0.900099,1.024217,0
9,0.005882,0.086765,0.001471,0,0,0.002946,0.072165,0,0.460791,0.494216,0.558170,0
9,0,0.018868,0,0,0,0.037975,0.006329,0,0.502751,0.534376,0.604222,0
9,0,0.211765,0,0,0,0,0.166667,0,0.111434,0.115945,0.117325,0
9,0.00348,0.049884,0,0,0,0.001161,0.039489,0,0.553320,0.599827,0.677434,0
9,0.011494,0.011494,0.005747,0,0,0.034682,0.00578,0,0.409135,0.432541,0.485637,0
9,0,0.031579,0,0,0,0.010582,0.015873,0,0.314770,0.340828,0.381796,0
9,0.119658,0.119658,0.008547,0,0,0,0.086207,0,0.129272,0.135316,0.141527,0
9,0,0.007053,0,0,0,0,0.003922,0,0.837313,0.909757,1.035801,0
9,0,0.070175,0,0,0,0.035398,0.044248,0,0.336084,0.354642,0.398130,0
9,0,0.13,0,0,0,0.010101,0.090909,0,0.255696,0.272220,0.298541,0
9,0,0.017544,0,0,0,0.023529,0.011765,0,0.471500,0.502008,0.564963,0
9,0.015512,0.002068,0.001034,0,0,0,0.001035,0,0.705886,0.767320,0.871927,0
9,0,0.149079,0,0,0,0.015101,0.124161,0,0.250797,0.262560,0.283620,0
9,0,0.042936,0.004155,0,0,0.009709,0.033287,0,0.587650,0.632685,0.716708,0
9,0,0.105448,0.003515,0,0,0.017606,0.086268,0,0.264303,0.276310,0.300787,0
