@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0.013889,0,0,0,0,0,0.475978,0.510399,0.576972,0
9,0.00348,0.049884,0,0,0,0.001161,0.039489,0,0.553320,0.599827,0.677434,0
9,0.006989,0.010753,0.000538,0,0,0.003765,0.006455,0,0.795793,0.863789,0.983915,2
9,0,0.003268,0.003268,0,0,0.009836,0,0,0.777515,0.841048,0.957562,2
9,0.004065,0.042005,0.006775,0,0.001357,0.020353,0.028494,0,0.492696,0.526610,0.595052,1
9,0,0.090909,0.009091,0,0,0,0.073394,0,0.374723,0.401378,0.445378,0
9,0.002577,0.064433,0.001289,0,0,0.002581,0.054194,0,0.533010,0.574941,0.650197,0
9,0.013431,0.004884,0.003663,0,0,0.005498,0.001833,0,0.686874,0.744636,0.846368,0
9,0,0.0375,0,0,0,0.006289,0.018868,0,0.572825,0.618353,0.698786,0
9,0,0.118304,0,0,0,0.008949,0.102908,0,0.246773,0.256313,0.279746,0
9,0,0.073684,0,0,0,0.010638,0.031915,0,0.390770,0.418048,0.467489,0
9,0.00313,0.018779,0.004695,0,0,0.009404,0.009404,0,0.541011,0.582405,0.656802,0
9,0,0.007628,0.000763,0,0,0.00229,0.00458,0,0.826717,0.897998,1.022094,0
9,0,0.006369,0.006369,0,0,0.019231,0,0,0.622859,0.670925,0.761814,0
9,0,0.069421,0.006612,0,0,0.006623,0.049669,0,0.393150,0.418801,0.465657,0
9,0,0.06993,0,0,0,0,0.035211,0,0.595478,0.645336,0.727790,0
9,0,0.047437,0.002295,0,0,0.009188,0.037519,0,0.621370,0.669050,0.758934,0
9,0,0.013793,0.001379,0,0,0.001381,0.006906,0,0.760514,0.825081,0.937602,0
9,0,0,0.009009,0,0,0.0181,0,0,0.691765,0.744829,0.846671,0
9,0,0.084871,0.00738,0,0,0.014787,0.068392,0,0.273597,0.285107,0.308082,1
9,0,0.070513,0,0,0,0.012903,0.051613,0,0.540826,0.577805,0.656071,1
9,0,0.072587,0.001544,0,0,0.006182,0.05796,0,0.604785,0.652506,0.738860,0
9,0.00414,0.005914,0,0,0,0.001775,0.000592,0,0.764271,0.830063,0.943286,1
9,0,0,0.024242,0,0,0.02439,0,0,0.653370,0.700351,0.796337,0
9,0,0.101083,0.00722,0,0,0.012658,0.079566,0,0.266809,0.276146,0.297906,0
9,0,0.13,0,0,0,0.010101,0.090909,0,0.255696,0.272220,0.298541,0
9,0,0.063319,0,0,0,0.003279,0.052459,0,0.627857,0.678161,0.770111,0
9,0,0.011059,0.000582,0,0,0.003494,0.005242,0,0.744290,0.806934,0.917163,1
9,0,0.01005,0.01005,0,0,0.015152,0,0,0.684081,0.738175,0.838812,0
9,0,0.151803,0.005693,0,0,0.013308,0.125475,0,0.323412,0.340919,0.376131,0
9,0,0.134454,0.008403,0,0,0.008475,0.101695,0,0.489660,0.522733,0.593238,0
9,0,0.072654,0.009082,0,0,0.010101,0.050505,0,0.552479,0.593834,0.670769,0
9,0.00534,0.010236,0.004005,0,0,0.003562,0.006233,0,0.801680,0.870159,0.990842,1
9,0,0,0.024096,0,0,0.030303,0,0,0.676309,0.725673,0.824788,0
9,0,0.020833,0,0,0,0.003795,0.017078,0,0.323937,0.340352,0.371472,0
9,0.026144,0.045752,0,0,0,0.006579,0.026316,0,0.057552,0.060499,0.058681,2
9,0.008905,0.09528,0.00089,0,0,0.000891,0.081996,0,0.375226,0.403650,0.456019,2
9,0.001359,0.004076,0,0,0,0.00136,0.00136,0,0.769116,0.834422,0.948785,2
9,0,0,0.011494,0,0,0.011561,0,0,0.576107,0.616200,0.697809,0
9,0,0.060764,0.001736,0,0,0.010435,0.041739,0,0.275581,0.285462,0.308565,0
9,0,0.1,0,0,0,0,0.064748,0,0.493025,0.525658,0.593824,2
9,0,0.072602,0.002593,0,0,0.002595,0.056228,0,0.571779,0.615569,0.697924,1
9,0,0.004942,0,0,0,0.000824,0.000824,0,0.743936,0.807609,0.915680,1
9,0,0,0,0,0,0.038462,0,0,0.541820,0.575856,0.653397,0
9,0,0.082892,0.012346,0,0,0.021201,0.065371,0,0.290579,0.299500,0.326866,0
9,0,0.111675,0,0,0,0.010204,0.081633,0,0.413347,0.438357,0.493710,1
9,0.005525,0.063536,0.002762,0,0,0.006916,0.047026,0,0.463824,0.496834,0.560927,0
9,0.021898,0.004866,0,0,0,0.002435,0.002435,0,0.647572,0.701860,0.796647,0
9,0,0.017544,0,0,0,0.023529,0.011765,0,0.471500,0.502008,0.564963,0
9,0,0.093439,0.003976,0,0,0.007968,0.069721,0,0.303847,0.319407,0.350532,0
9,0,0.14433,0.005155,0,0,0.005181,0.124352,0,0.610331,0.659620,0.749991,0
