@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0.471271,0.500507,0.576972,0
9,0.00348,0,0,0.001161,0,0.548343,0.590652,0.677434,0
9,0.006989,0,0,0.003765,0,0.787835,0.848514,0.983915,2
9,0,0,0,0.009836,0,0.769719,0.825893,0.957562,2
9,0.004065,0,0.001357,0.020353,0,0.488069,0.517116,0.595052,1
9,0,0,0,0,0,0.371419,0.394064,0.445378,0
9,0.002577,0,0,0.002581,0,0.528052,0.565048,0.650197,0
9,0.013431,0,0,0.005498,0,0.680093,0.731624,0.846368,0
9,0,0,0,0.006289,0,0.567293,0.607388,0.698786,0
9,0,0,0,0.008949,0,0.244955,0.251604,0.279746,0
9,0,0,0,0.010638,0,0.387258,0.410536,0.467489,0
9,0.00313,0,0,0.009404,0,0.535822,0.571943,0.656802,0
9,0,0,0,0.00229,0,0.818433,0.882075,1.022094,0
9,0,0,0,0.019231,0,0.616714,0.658754,0.761814,0
9,0,0,0,0.006623,0,0.389603,0.410923,0.465657,0
9,0,0,0,0,0,0.589790,0.633935,0.727790,0
9,0,0,0,0.009188,0,0.615361,0.656850,0.758934,0
9,0,0,0,0.001381,0,0.752936,0.810368,0.937602,0
9,0,0,0,0.0181,0,0.684898,0.731285,0.846671,0
9,0,0,0,0.014787,0,0.271600,0.280235,0.308082,1
9,0,0,0,0.012903,0,0.535727,0.567181,0.656071,1
9,0,0,0,0.006182,0,0.598990,0.640641,0.738860,0
9,0.00414,0,0,0.001775,0,0.756684,0.815540,0.943286,1
9,0,0,0,0.02439,0,0.646942,0.687527,0.796337,0
9,0,0,0,0.012658,0,0.264769,0.270818,0.297906,0
9,0,0,0,0.010101,0,0.253757,0.267873,0.298541,0
9,0,0,0,0.003279,0,0.621881,0.666431,0.770111,0
9,0,0,0,0.003494,0,0.736899,0.792653,0.917163,1
9,0,0,0,0.015152,0,0.677308,0.724877,0.838812,0
9,0,0,0,0.013308,0,0.320812,0.334494,0.376131,0
9,0,0,0,0.008475,0,0.485187,0.513106,0.593238,0
9,0,0,0,0.010101,0,0.547269,0.583086,0.670769,0
9,0.00534,0,0,0.003562,0,0.793694,0.854859,0.990842,1
9,0,0,0,0.030303,0,0.669627,0.712392,0.824788,0
9,0,0,0,0.003795,0,0.321028,0.333222,0.371472,0
9,0.026144,0,0,0.006579,0,0.059035,0.067241,0.058681,2
9,0.008905,0,0,0.000891,0,0.372076,0.397596,0.456019,2
9,0.001359,0,0,0.00136,0,0.761432,0.819541,0.948785,2
9,0,0,0,0.011561,0,0.570446,0.604648,0.697809,0
9,0,0,0,0.010435,0,0.273331,0.279798,0.308565,0
9,0,0,0,0,0,0.488520,0.515985,0.593824,2
9,0,0,0,0.002595,0,0.566428,0.604765,0.697924,1
9,0,0,0,0.000824,0,0.736537,0.793175,0.915680,1
9,0,0,0,0.038462,0,0.536561,0.565019,0.653397,0
9,0,0,0,0.021201,0,0.288259,0.293512,0.326866,0
9,0,0,0,0.010204,0,0.409657,0.430124,0.493710,1
9,0.005525,0,0,0.006916,0,0.459549,0.487965,0.560927,0
9,0.021898,0,0,0.002435,0,0.641193,0.689567,0.796647,0
9,0,0,0,0.023529,0,0.467029,0.492769,0.564963,0
9,0,0,0,0.007968,0,0.301256,0.313030,0.350532,0
9,0,0,0,0.005181,0,0.604545,0.647677,0.749991,0
9,0,0,0,0.008596,0,0.566179,0.604167,0.694445,0
9,0,0,0,0.00225,0,0.834848,0.899504,1.042846,0
9,0,0,0,0,0,0.679269,0.730759,0.845448,0
9,0,0,0,0.009766,0,0.281411,0.290775,0.322358,0
9,0,0,0,0.007143,0,0.347770,0.366770,0.417664,0
9,0.008172,0,0,0.00818,0,0.411285,0.435423,0.494715,0
9,0,0,0,0.003509,0,0.806097,0.867976,1.005927,0
9,0,0,0,0.023256,0,0.583544,0.617436,0.714923,0
9,0.002028,0,0,0.020325,0,0.240595,0.244111,0.268890,0
9,0,0,0,0.035398,0,0.333130,0.348057,0.398130,0
9,0.012563,0,0,0.005031,0,0.534860,0.570866,0.659259,0
9,0,0,0,0.001618,0,0.769116,0.828666,0.958214,0
9,0,0,0,0.027933,0,0.655388,0.696366,0.805000,0
9,0,0,0,0.014925,0,0.362499,0.376368,0.426972,0
9,0,0,0,0,0,0.359193,0.379607,0.435407,0
9,0,0,0,0,0,0.533015,0.569218,0.654188,0
9,0.001966,0,0,0.00295,0,0.772900,0.832437,0.964459,2
9,0,0,0,0.022727,0,0.627701,0.667567,0.772802,0
9,0,0,0,0.016097,0,0.303166,0.315552,0.357303,0
9,0,0,0,0.007937,0,0.465366,0.495844,0.564850,0
9,0,0,0,0.007307,0,0.563342,0.600339,0.693750,0
9,0.040695,0,0,0.001372,0,0.274901,0.299958,0.337944,1
9,0.106742,0,0,0,0,0.031720,0.041846,0.030063,0
9,0.021452,0,0,0,0,0.044210,0.058296,0.043164,0
9,0.175573,0,0,0,0,0.093032,0.096649,0.100441,0
9,0.047927,0,0.001297,0.003891,0,0.348786,0.372571,0.424280,1
9,0.016473,0,0,0.002908,0,0.678029,0.730858,0.845452,2
9,0.030303,0,0,0.006098,0,0.466040,0.498698,0.573420,0
9,0.005979,0,0,0.022455,0,0.164709,0.170545,0.179502,0
9,0.08982,0.006024,0,0,0,0.208347,0.220960,0.244201,1
9,0.057971,0,0,0.001613,0,0.286208,0.309379,0.347374,0
9,0.029375,0.000625,0,0.001251,0,0.615125,0.663414,0.766123,1
9,0,0,0,0.01676,0,0.614884,0.658406,0.758311,0
9,0.02268,0,0,0.004132,0,0.133484,0.143915,0.145705,1
9,0,0,0,0.033613,0,0.448858,0.472477,0.541016,0
9,0.003171,0,0,0.008883,0,0.665854,0.714231,0.825197,0
9,0.003448,0,0,0.001151,0,0.760580,0.819744,0.949071,0
9,0.010526,0,0,0.010582,0,0.415669,0.439401,0.504753,0
9,0.003049,0,0,0.015267,0,0.289046,0.299007,0.332842,0
9,0,0,0,0.018349,0,0.343883,0.362094,0.409600,0
9,0,0,0,0.00292,0,0.614581,0.658491,0.759277,0
9,0.03166,0,0,0.001546,0,0.601234,0.648279,0.747408,0
9,0,0,0,0.006289,0,0.563620,0.602220,0.695859,0
9,0,0,0,0.009074,0,0.283738,0.292324,0.327158,0
9,0,0,0,0.033613,0,0.360901,0.371989,0.425122,0
9,0.007207,0,0,0.005415,0,0.424209,0.449431,0.513415,0
9,0.002375,0,0,0.001189,0,0.817775,0.881947,1.023004,0
9,0,0,0,0.031847,0,0.575405,0.611251,0.703946,0
9,0,0,0,0.010969,0,0.273091,0.282231,0.314860,0
9,0,0,0,0.008403,0,0.452697,0.477511,0.551024,2
9,0.001348,0,0,0.00135,0,0.466348,0.500657,0.574552,0
9,0.000425,0,0,0.003825,0,0.738254,0.793975,0.919215,1
9,0,0,0,0.023148,0,0.544417,0.577652,0.669173,2
9,0.030176,0,0,0.006711,0,0.364104,0.383794,0.437354,2
9,0,0,0,0.027523,0,0.238769,0.237740,0.267030,0
9,0,0,0,0.008929,0,0.500612,0.531931,0.611583,0
9,0.044004,0,0,0.001101,0,0.511457,0.551192,0.633241,0
9,0.074713,0,0,0.046243,0,0.386346,0.401286,0.459451,0
9,0.007564,0,0,0.015152,0,0.319918,0.334641,0.375706,0
9,0.041667,0,0,0.010526,0,0.199197,0.204346,0.222028,0
9,0.004004,0,0,0.003006,0,0.652561,0.701162,0.808961,0
9,0,0,0,0.00095,0,0.819930,0.884156,1.024217,0
9,0,0,0,0.037037,0,0.602072,0.639423,0.739037,0
9,0,0,0,0.010799,0,0.231806,0.233868,0.255892,0
9,0,0,0,0.019608,0,0.225555,0.232581,0.256990,0
9,0.013464,0,0,0.007353,0,0.500035,0.533907,0.613890,0
9,0.017189,0,0,0.001012,0,0.713799,0.769691,0.890979,0
9,0.038835,0,0,0.009756,0,0.371443,0.396601,0.451949,0
9,0.013722,0,0,0.024055,0,0.232418,0.233936,0.255415,0
9,0.038647,0,0,0.009709,0,0.498410,0.534751,0.615296,2
9,0,0,0,0.007843,0,0.407832,0.431663,0.490054,0
9,0,0,0,0,0,0.827321,0.892438,1.033909,0
9,0,0,0,0.032258,0,0.506152,0.537609,0.619574,0
9,0,0,0,0.023758,0,0.272132,0.280452,0.307927,0
9,0,0,0,0,0,0.111178,0.113890,0.117325,0
9,0,0,0,0.007407,0,0.568520,0.609515,0.702649,0
9,0.007154,0,0,0.001591,0,0.683612,0.736817,0.851270,0
9,0.017647,0,0,0.023669,0,0.492862,0.520688,0.600318,0
9,0,0,0,0.03118,0,0.216140,0.214502,0.237695,0
9,0,0,0,0,0,0.437026,0.462793,0.527365,0
9,0,0,0,0.007952,0,0.545909,0.583278,0.669536,0
9,0,0,0,0.002857,0,0.865287,0.932951,1.082441,0
9,0,0,0,0.019608,0,0.570939,0.605770,0.700229,0
9,0,0,0,0.013582,0,0.307906,0.316039,0.354063,1
9,0,0,0,0,0,0.425644,0.452283,0.514670,2
9,0,0,0,0.003932,0,0.564264,0.603463,0.693345,1
9,0.007042,0,0,0.002643,0,0.643041,0.692572,0.801737,1
9,0.027933,0,0,0.033708,0,0.415845,0.435782,0.501872,0
9,0.023256,0,0,0.004237,0,0.152030,0.163020,0.169146,0
