@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0.010753,0,0,0.003765,0,0.789478,0.845617,0.983915,2
9,0,0.003268,0,0,0.009836,0,0.771404,0.823409,0.957562,2
9,0.026144,0.045752,0,0,0.006579,0,0.058683,0.066532,0.058681,2
9,0.008905,0.09528,0,0,0.000891,0,0.372598,0.396260,0.456019,2
9,0.001359,0.004076,0,0,0.00136,0,0.763043,0.816838,0.948785,2
9,0,0.1,0,0,0,0,0.489348,0.514506,0.593824,2
9,0.001966,0.010319,0,0,0.00295,0,0.774503,0.829578,0.964459,2
9,0.016473,0.010659,0,0,0.002908,0,0.679412,0.728283,0.845452,2
9,0,0.066667,0,0,0.008403,0,0.453593,0.476549,0.551024,2
9,0,0.041475,0,0,0.023148,0,0.545474,0.576086,0.669173,2
9,0.030176,0.06119,0,0,0.006711,0,0.364789,0.383002,0.437354,2
9,0.038647,0.043478,0,0,0.009709,0,0.499336,0.532925,0.615296,2
9,0,0.08,0,0,0,0,0.426397,0.450915,0.514670,2
9,0,0.049858,0,0,0.007133,0,0.597775,0.635880,0.735745,2
9,0,0.078652,0,0,0.017685,0,0.297724,0.304392,0.339407,2
9,0,0.005833,0,0,0.00417,0,0.817990,0.875719,1.018968,2
9,0,0.127119,0,0,0.008547,0,0.376076,0.393082,0.454953,2
9,0,0.13465,0,0,0.017986,0,0.310134,0.317544,0.357681,2
9,0.00309,0.004326,0,0,0.004329,0,0.764761,0.818942,0.952185,2
9,0.012163,0.004231,0,0,0.004233,0,0.713592,0.764635,0.888670,2
9,0,0.051178,0,0,0.006065,0,0.666925,0.710989,0.825421,2
9,0,0.030318,0,0,0.005382,0,0.739753,0.790237,0.918823,2
9,0,0.007746,0,0,0.002326,0,0.808283,0.865202,1.006506,2
9,0,0.128205,0,0,0.020183,0,0.283203,0.292523,0.327561,2
9,0.003831,0.066411,0,0,0.002558,0,0.536313,0.568684,0.658569,2
9,0.00252,0.006931,0,0,0.001261,0,0.793268,0.849670,0.988380,2
9,0,0.041237,0,0,0.013769,0,0.276751,0.291476,0.325884,2
9,0,0.025641,0,0,0.012903,0,0.627415,0.665616,0.769367,0
9,0.001348,0.039084,0,0,0.00135,0,0.467181,0.498994,0.574552,0
9,0.003704,0.087037,0,0,0.009276,0,0.359102,0.377613,0.430834,0
9,0,0,0,0,0.056075,0,0.370645,0.375977,0.431213,0
9,0,0.048889,0,0,0.002967,0,0.585010,0.622047,0.720060,0
9,0.024845,0,0,0,0,0,0.031244,0.039966,0.030062,0
9,0,0.046434,0,0,0.004983,0,0.537198,0.568872,0.657264,0
9,0,0.0375,0,0,0.006289,0,0.568437,0.605442,0.698786,0
9,0.016447,0.095395,0,0,0.004942,0,0.465448,0.492205,0.568353,0
9,0,0,0,0,0.019608,0,0.572175,0.604242,0.700229,0
9,0.005882,0.086765,0,0,0.002946,0,0.457439,0.484330,0.558170,0
9,0,0.125186,0,0,0.014925,0,0.363118,0.375697,0.426972,0
9,0,0.186747,0,0,0.016097,0,0.303462,0.314702,0.357303,0
9,0.002028,0.034483,0,0,0.020325,0,0.241228,0.244279,0.268890,0
9,0,0.038043,0,0,0.027322,0,0.611699,0.647530,0.751017,0
9,0.017189,0.002022,0,0,0.001012,0,0.715286,0.767016,0.890979,0
9,0.013464,0.020808,0,0,0.007353,0,0.501025,0.532201,0.613890,0
9,0,0.056497,0,0,0.020755,0,0.425625,0.445905,0.510856,0
9,0.027933,0,0,0,0.033708,0,0.416774,0.435073,0.501872,0
9,0.001957,0.048924,0,0,0.017647,0,0.266197,0.271907,0.304295,0
9,0,0.095794,0,0,0.007018,0,0.604193,0.643303,0.746075,0
9,0.017391,0.026087,0,0,0.026316,0,0.148488,0.147071,0.158576,0
9,0,0.029032,0,0,0.011309,0,0.548804,0.581199,0.670234,0
9,0.004651,0.002326,0,0,0.006206,0,0.745362,0.797476,0.927144,0
9,0.00313,0.018779,0,0,0.009404,0,0.536903,0.570129,0.656802,0
9,0.007042,0.001761,0,0,0.002643,0,0.644376,0.690251,0.801737,1
9,0,0.043796,0,0,0.014706,0,0.468095,0.493415,0.565571,1
9,0,0.020833,0,0,0,0,0.526828,0.559565,0.645264,1
9,0,0.011905,0,0,0.011928,0,0.205975,0.209909,0.226886,1
9,0,0.123478,0,0,0.013937,0,0.312941,0.326117,0.365723,1
9,0,0.004594,0,0,0.006897,0,0.771890,0.825416,0.959575,1
9,0.02607,0.002674,0,0,0.002676,0,0.757229,0.811633,0.944003,1
9,0,0.092883,0,0,0.001208,0,0.428246,0.453647,0.523005,1
9,0.035813,0.00551,0,0,0.001838,0.000919,0.644566,0.690958,0.801527,1
9,0.000425,0.002124,0,0,0.003825,0,0.739825,0.791419,0.919215,1
9,0,0.022472,0,0,0.028249,0,0.621058,0.658307,0.761372,1
9,0.029375,0.0075,0.000625,0,0.001251,0,0.616365,0.661044,0.766123,1
9,0.013356,0.004174,0,0,0.004177,0,0.702304,0.751570,0.872532,1
9,0,0.011059,0,0,0.003494,0,0.738433,0.789988,0.917163,1
9,0.004065,0.042005,0,0.001357,0.020353,0,0.489045,0.515768,0.595052,1
9,0.005222,0.049608,0,0,0.005229,0,0.571195,0.607813,0.703240,1
9,0.00414,0.005914,0,0,0.001775,0,0.758250,0.812664,0.943286,1
9,0,0.058901,0,0,0.003932,0,0.565372,0.601573,0.693345,1
9,0,0,0,0,0.03125,0,0.543724,0.573085,0.661247,1
9,0.035928,0.005988,0,0,0.006024,0,0.326461,0.345969,0.393290,1
9,0,0.084871,0,0,0.014787,0,0.272093,0.279786,0.308082,1
9,0.013158,0.003947,0,0.001317,0.003292,0,0.637282,0.682792,0.792148,1
9,0.037893,0.012939,0,0,0.0037,0,0.590207,0.631581,0.732049,1
9,0.012012,0.005255,0,0.000751,0.001503,0,0.642027,0.687931,0.797277,1
9,0.02268,0.028866,0,0,0.004132,0,0.133447,0.143147,0.145705,1
9,0,0.21875,0,0,0,0,0.472657,0.502895,0.579573,1
9,0,0.064401,0,0,0.012545,0,0.204662,0.206991,0.222837,1
9,0,0.057627,0,0,0.013582,0,0.308650,0.315965,0.354063,1
9,0.0217,0.084991,0,0,0.012681,0,0.138605,0.140736,0.146322,1
9,0,0.070922,0,0,0.007143,0,0.421829,0.447060,0.509489,1
