@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0,0,0.472403,0.498189,0.576972,0
9,0.00348,0.049884,0,0,0.001161,0.039489,0,0.549315,0.587358,0.677434,0
9,0.006989,0.010753,0,0,0.003765,0.006455,0,0.789528,0.843472,0.983915,2
9,0,0.003268,0,0,0.009836,0,0,0.771439,0.821138,0.957562,2
9,0.004065,0.042005,0,0.001357,0.020353,0.028494,0,0.489027,0.514357,0.595052,1
9,0,0.090909,0,0,0,0.073394,0,0.372071,0.392068,0.445378,0
9,0.002577,0.064433,0,0,0.002581,0.054194,0,0.529027,0.561949,0.650197,0
9,0.013431,0.004884,0,0,0.005498,0.001833,0,0.681559,0.727355,0.846368,0
9,0,0.0375,0,0,0.006289,0.018868,0,0.568472,0.603980,0.698786,0
9,0,0.118304,0,0,0.008949,0.102908,0,0.245322,0.250881,0.279746,0
9,0,0.073684,0,0,0.010638,0.031915,0,0.387955,0.408368,0.467489,0
9,0.00313,0.018779,0,0,0.009404,0.009404,0,0.536933,0.568750,0.656802,0
9,0,0.007628,0,0,0.00229,0.00458,0,0.820200,0.876834,1.022094,0
9,0,0.006369,0,0,0.019231,0,0,0.618075,0.655109,0.761814,0
9,0,0.069421,0,0,0.006623,0.049669,0,0.390370,0.408984,0.465657,0
9,0,0.06993,0,0,0,0.035211,0,0.590930,0.630239,0.727790,0
9,0,0.047437,0,0,0.009188,0.037519,0,0.616561,0.653209,0.758934,0
9,0,0.013793,0,0,0.001381,0.006906,0,0.754559,0.805637,0.937602,0
9,0,0,0,0,0.0181,0,0,0.686428,0.727179,0.846671,0
9,0,0.084871,0,0,0.014787,0.068392,0,0.272027,0.279257,0.308082,1
