@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0,0,0.003765,0,0.792195,0.833179,0.975482,2
0,0,0,0.009836,0,0.773994,0.811387,0.949458,2
0.026144,0,0,0.006579,0,0.058373,0.067243,0.059672,2
0.008905,0,0,0.000891,0,0.373746,0.391161,0.452472,2
0.001359,0,0,0.00136,0,0.765645,0.804905,0.940696,2
0,0,0,0,0,0.490769,0.507840,0.588968,2
0.001966,0,0,0.00295,0,0.777163,0.817421,0.956197,2
0.016473,0,0,0.002908,0,0.681739,0.717671,0.838255,2
0,0,0,0.008403,0,0.454953,0.470275,0.546599,2
0,0,0,0.023148,0,0.547156,0.568168,0.663659,2
0.030176,0,0,0.006711,0,0.365792,0.378300,0.434082,2
0.038647,0,0,0.009709,0,0.500914,0.525580,0.610339,2
0,0,0,0,0,0.427649,0.445170,0.510576,2
0,0,0,0.007133,0,0.599697,0.627017,0.729633,2
0,0,0,0.017685,0,0.298289,0.301292,0.337283,2
0,0,0,0.00417,0,0.820791,0.862838,1.010246,2
0,0,0,0.008547,0,0.377176,0.388133,0.451419,2
0,0,0,0.017986,0,0.310788,0.314198,0.355381,2
0.00309,0,0,0.004329,0,0.767378,0.806952,0.944054,2
0.012163,0,0,0.004233,0,0.716044,0.753429,0.881101,2
0,0,0,0.005382,0,0.742254,0.778788,0.910992,2
0,0,0,0.002326,0,0.811051,0.852490,0.997884,2
0,0,0,0.020183,0,0.283802,0.289567,0.325416,2
0.003831,0,0,0.002558,0,0.538024,0.560876,0.653105,2
0.00252,0,0,0.001261,0,0.796001,0.837167,0.979911,2
0,0,0,0.013769,0,0.277287,0.288486,0.324012,2
0.007154,0,0,0.001591,0,0.687345,0.723547,0.844026,0
0.06,0,0,0.030303,0,0.079516,0.073667,0.071440,0
0,0,0,0.010582,0,0.313860,0.332655,0.379190,0
0,0,0,0.00225,0,0.839493,0.883210,1.033892,0
0,0,0,0.00292,0,0.617789,0.647076,0.752888,0
0,0,0,0.033333,0,0.598909,0.621910,0.725491,0
0,0,0,0.014925,0,0.363983,0.371462,0.423863,0
0,0,0,0.010435,0,0.274449,0.277095,0.306741,0
0,0,0,0.008475,0,0.487442,0.504967,0.588471,0
0,0,0,0.006623,0,0.391428,0.404880,0.462096,0
0,0,0,0.02551,0,0.620338,0.644221,0.751154,0
0.002913,0,0,0.002915,0,0.803148,0.844570,0.988278,0
0,0,0,0.005593,0,0.579235,0.607846,0.707463,0
0,0,0,0.023529,0,0.469403,0.485242,0.560608,0
0,0,0,0.024074,0,0.217378,0.217968,0.237273,0
0,0,0,0.001618,0,0.773344,0.813717,0.950031,0
0,0,0,0.018349,0,0.345467,0.356964,0.406590,0
0,0,0,0.038462,0,0.539342,0.556331,0.648166,0
0.119658,0,0,0,0,0.128877,0.131663,0.140780,0
0,0,0,0.028455,0,0.224358,0.223714,0.244692,0
0.009174,0,0,0,0,0.040661,0.054713,0.042129,0
0.002796,0,0.000933,0.003731,0,0.774245,0.813856,0.952377,0
0.004794,0,0,0.004798,0,0.399383,0.416199,0.480126,0
0,0,0,0.010969,0,0.274185,0.278929,0.312779,0
0.004167,0,0,0,0,0.420018,0.435666,0.503848,0
0,0,0,0.008065,0,0.302633,0.319053,0.360775,1
0.029375,0.000625,0,0.001251,0,0.618455,0.651496,0.759672,1
0.037893,0,0,0.0037,0,0.592182,0.622514,0.725929,1
0.00534,0,0,0.003562,0,0.798071,0.839425,0.982362,1
0.007042,0,0,0.002643,0,0.646583,0.680180,0.794936,1
0,0,0,0.002595,0,0.569240,0.594573,0.692139,1
0,0,0,0.022968,0,0.279426,0.283358,0.318785,1
0.000425,0,0,0.003825,0,0.742333,0.779885,0.911415,1
0.08982,0.006024,0,0,0,0.209162,0.217746,0.242531,1
0,0,0,0.018182,0,0.421195,0.431572,0.498468,1
0.004065,0,0.001357,0.020353,0,0.490489,0.508875,0.590292,1
0.035813,0,0,0.001838,0.000919,0.646736,0.680959,0.794800,1
0,0,0,0.007143,0,0.423073,0.441309,0.505414,1
0,0,0,0.003932,0,0.567172,0.593291,0.687624,1
0.007874,0,0,0.007937,0,0.045922,0.046543,0.038625,1
0.013356,0,0,0.004177,0,0.704682,0.740632,0.865132,1
0,0,0,0.003494,0,0.740929,0.778517,0.909359,1
0,0,0,0.02381,0,0.234924,0.232931,0.262856,1
0,0,0,0.014787,0,0.272527,0.277228,0.306338,1
0,0,0,0.000824,0,0.740564,0.778968,0.907892,1
0.040695,0,0,0.001372,0,0.276124,0.294834,0.335507,1
0,0,0,0.013937,0,0.313683,0.322592,0.363086,1
0,0,0,0.011928,0,0.206177,0.208274,0.225897,1
0,0,0,0,0,0.528493,0.551858,0.639943,1
0,0,0,0.001208,0,0.429583,0.447690,0.518734,1
0.02268,0,0,0.004132,0,0.133373,0.142759,0.145792,1
0,0,0,0.010204,0,0.411501,0.423778,0.489891,1
0.012012,0,0.000751,0.001503,0,0.644173,0.678040,0.790639,1
0.004702,0,0,0.012559,0.00157,0.254339,0.265191,0.291032,1
0,0,0,0,0,0.857149,0.902415,1.056918,1
