@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0,0.003765,0,0.790974,0.848506,0.983915,2
9,0,0,0.009836,0,0.772811,0.826243,0.957562,2
9,0.026144,0,0.006579,0,0.057985,0.065531,0.058681,2
9,0.008905,0,0.000891,0,0.373290,0.397495,0.456019,2
9,0.001359,0,0.00136,0,0.764473,0.819636,0.948785,2
9,0,0,0,0,0.490383,0.516326,0.593824,2
9,0.001966,0,0.00295,0,0.775982,0.832419,0.964459,2
9,0.016473,0,0.002908,0,0.680694,0.730739,0.845452,2
9,0,0,0.008403,0,0.454474,0.478285,0.551024,2
9,0,0,0.023148,0,0.546511,0.578185,0.669173,2
9,0.030176,0,0.006711,0,0.365411,0.384288,0.437354,2
9,0.038647,0,0.009709,0,0.500179,0.534551,0.615296,2
9,0,0,0,0,0.427275,0.452434,0.514670,2
9,0,0,0.007133,0,0.598929,0.638107,0.735745,2
9,0,0,0.017685,0,0.298178,0.305411,0.339407,2
9,0,0,0.00417,0,0.819519,0.878702,1.018968,2
9,0,0,0.008547,0,0.376844,0.394550,0.454953,2
9,0,0,0.017986,0,0.310655,0.318686,0.357681,2
9,0.00309,0,0.004329,0,0.766195,0.821725,0.952185,2
9,0.012163,0,0.004233,0,0.714914,0.767212,0.888670,2
9,0,0,0.006065,0,0.668245,0.713440,0.825421,2
9,0,0,0.005382,0,0.741177,0.792982,0.918823,2
9,0,0,0.002326,0,0.809809,0.868163,1.006506,2
9,0,0,0.020183,0,0.283696,0.293386,0.327561,2
9,0.003831,0,0.002558,0,0.537379,0.570677,0.658569,2
9,0.00252,0,0.001261,0,0.794765,0.852571,0.988380,2
9,0,0,0.013769,0,0.276873,0.291894,0.325884,2
9,0.015203,0,0,0,0.035730,0.047202,0.035687,0
9,0,0,0.028455,0,0.224491,0.226177,0.246165,0
9,0,0,0.010101,0,0.254605,0.267667,0.298541,0
9,0,0,0.034483,0,0.563794,0.595198,0.685945,0
9,0.008043,0,0.006711,0,0.750545,0.804562,0.931638,0
9,0,0,0,0,0.830626,0.892307,1.033909,0
9,0,0,0.03012,0,0.612465,0.648588,0.749935,0
9,0.002028,0,0.020325,0,0.241514,0.245017,0.268890,0
9,0,0,0.006515,0,0.456478,0.482362,0.557097,0
9,0,0,0.018519,0,0.374004,0.388058,0.440692,0
9,0,0,0.007843,0,0.409316,0.431834,0.490054,0
9,0.009804,0,0,0,0.103139,0.106887,0.109156,0
9,0,0,0.020202,0,0.326565,0.338604,0.383080,0
9,0,0,0.011309,0,0.549843,0.583193,0.670234,0
9,0,0,0.029557,0,0.624927,0.661653,0.764608,0
9,0,0,0.033613,0,0.362315,0.373282,0.425122,0
9,0,0,0.006289,0,0.569517,0.607494,0.698786,0
9,0,0,0.016854,0,0.629369,0.667337,0.770578,0
9,0.010033,0,0.01005,0,0.235243,0.246168,0.270087,0
9,0.005979,0,0.022455,0,0.164619,0.170140,0.179502,0
9,0,0,0.01676,0,0.455603,0.482427,0.552169,0
9,0.007547,0,0.015123,0,0.176430,0.182232,0.193552,0
9,0,0,0.031847,0,0.577703,0.611955,0.703946,0
9,0.040541,0,0.020408,0,0.240059,0.252539,0.284537,0
9,0,0,0.015101,0,0.249821,0.257669,0.283620,0
9,0.08982,0.006024,0,0,0.209011,0.220762,0.244201,1
9,0.037893,0,0.0037,0,0.591267,0.633688,0.732049,1
9,0.012012,0,0.001503,0,0.643127,0.690130,0.797277,1
9,0,0,0.012545,0,0.205064,0.207530,0.222837,1
9,0.035928,0,0.006024,0,0.326793,0.346873,0.393290,1
9,0.035813,0,0.001838,0.000919,0.645696,0.693201,0.801527,1
9,0.004702,0,0.012559,0.00157,0.254024,0.268034,0.292516,1
9,0.02607,0,0.002676,0,0.758636,0.814387,0.944003,1
9,0.005222,0,0.005229,0,0.572265,0.609845,0.703240,1
9,0,0,0.012903,0,0.537782,0.567733,0.656071,1
9,0.040695,0,0.001372,0,0.275569,0.299338,0.337944,1
9,0,0,0.003932,0,0.566474,0.603592,0.693345,1
9,0.0217,0,0.012681,0,0.138483,0.140678,0.146322,1
9,0,0,0.002595,0,0.568558,0.604894,0.697924,1
9,0,0,0.008065,0,0.302112,0.323144,0.362976,1
9,0,0,0.010204,0,0.411178,0.430717,0.493710,1
9,0,0,0.013937,0,0.313602,0.327103,0.365723,1
9,0,0,0,0,0.473815,0.504606,0.579573,1
9,0,0,0.014787,0,0.272444,0.280673,0.308082,1
9,0.040706,0.001359,0.006793,0,0.267156,0.283821,0.319124,1
9,0.047927,0,0.003891,0,0.349756,0.372273,0.424280,1
9,0,0,0.018182,0,0.420718,0.438734,0.502237,1
9,0,0,0.02381,0,0.234977,0.236061,0.264395,1
9,0.02268,0,0.004132,0,0.133032,0.142689,0.145705,1
9,0,0,0.001208,0,0.429156,0.455273,0.523005,1
9,0.007042,0,0.002643,0,0.645577,0.692568,0.801737,1
9,0,0,0.00299,0,0.513089,0.546171,0.628217,1
9,0,0,0.022968,0,0.279411,0.287147,0.320972,1
9,0,0,0.003226,0,0.794709,0.851900,0.987194,1
9,0,0,0.013582,0,0.309089,0.317021,0.354063,1
