@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0,0,0.003765,0,0.793313,0.845617,0.983915,2
9,0,0,0,0.009836,0,0.775044,0.823409,0.957562,2
9,0.026144,0,0,0.006579,0,0.058151,0.066532,0.058681,2
9,0.008905,0,0,0.000891,0,0.374266,0.396260,0.456019,2
9,0.001359,0,0,0.00136,0,0.766725,0.816838,0.948785,2
9,0,0,0,0,0,0.491565,0.514506,0.593824,2
9,0.001966,0,0,0.00295,0,0.778275,0.829578,0.964459,2
9,0.016473,0,0,0.002908,0,0.682705,0.728283,0.845452,2
9,0,0,0,0.008403,0,0.455539,0.476549,0.551024,2
9,0,0,0,0.023148,0,0.547867,0.576086,0.669173,2
9,0.030176,0,0,0.006711,0,0.366305,0.383002,0.437354,2
9,0.038647,0,0,0.009709,0,0.501604,0.532925,0.615296,2
9,0,0,0,0,0,0.428467,0.450915,0.514670,2
9,0,0,0,0.007133,0,0.600593,0.635880,0.735745,2
9,0,0,0,0.017685,0,0.298836,0.304392,0.339407,2
9,0,0,0,0.00417,0,0.821930,0.875719,1.018968,2
9,0,0,0,0.008547,0,0.377716,0.393082,0.454953,2
9,0,0,0,0.017986,0,0.311355,0.317544,0.357681,2
9,0.00309,0,0,0.004329,0,0.768434,0.818942,0.952185,2
9,0.012163,0,0,0.004233,0,0.717025,0.764635,0.888670,2
9,0,0,0,0.006065,0,0.670128,0.710989,0.825421,2
9,0,0,0,0.005382,0,0.743306,0.790237,0.918823,2
9,0,0,0,0.002326,0,0.812189,0.865202,1.006506,2
9,0,0,0,0.020183,0,0.284362,0.292523,0.327561,2
9,0.003831,0,0,0.002558,0,0.538799,0.568684,0.658569,2
9,0.00252,0,0,0.001261,0,0.797116,0.849670,0.988380,2
9,0,0,0,0.013769,0,0.277580,0.291476,0.325884,2
9,0,0,0,0.007949,0,0.299836,0.309951,0.343778,0
9,0.056202,0,0,0,0,0.019869,0.026190,0.017526,0
9,0,0,0,0.003552,0,0.431335,0.451396,0.521782,0
9,0.013431,0,0,0.005498,0,0.684758,0.729205,0.846368,0
9,0.015203,0,0,0,0,0.035914,0.048620,0.035687,0
9,0,0,0,0.00367,0,0.438777,0.460740,0.532072,0
9,0,0,0,0.037037,0,0.605996,0.637758,0.739037,0
9,0,0,0,0,0,0.795637,0.848531,0.987676,0
9,0,0,0,0.022727,0,0.631874,0.665983,0.772802,0
9,0,0,0,0.002622,0,0.741856,0.790488,0.917777,0
9,0,0,0,0.035088,0,0.615473,0.646547,0.749995,0
9,0.003049,0,0,0.015267,0,0.290725,0.298670,0.332842,0
9,0.028037,0,0,0.037736,0,0.310353,0.315559,0.358599,0
9,0,0,0,0,0,0.361520,0.378879,0.435407,0
9,0,0,0,0.004926,0,0.328079,0.340368,0.383764,0
9,0.009569,0,0,0.019231,0,0.382774,0.400744,0.459570,0
9,0.008043,0,0,0.006711,0,0.752750,0.801848,0.931638,0
9,0,0,0,0.031056,0,0.563817,0.590558,0.683830,0
9,0.001348,0,0,0.00135,0,0.469270,0.498994,0.574552,0
9,0.119658,0,0,0,0,0.129226,0.132504,0.141527,0
9,0,0,0,0.023622,0,0.420475,0.436523,0.500054,0
9,0.00237,0,0,0.005534,0,0.762457,0.812615,0.944713,0
9,0,0,0,0.019608,0,0.574636,0.604242,0.700229,0
9,0,0,0,0.007937,0,0.468446,0.494135,0.564850,0
9,0.041667,0,0,0.010526,0,0.200290,0.203967,0.222028,0
9,0.047927,0,0.001297,0.003891,0,0.350662,0.371307,0.424280,1
9,0,0,0,0.006897,0,0.775594,0.825416,0.959575,1
9,0,0,0,0.008065,0,0.302960,0.322660,0.362976,1
9,0.003866,0,0,0.009032,0,0.253842,0.264575,0.293437,1
9,0,0,0,0,0,0.475223,0.502895,0.579573,1
9,0,0,0,0.010204,0,0.412142,0.429131,0.493710,1
9,0.004065,0,0.001357,0.020353,0,0.491186,0.515768,0.595052,1
9,0,0,0,0.028249,0,0.623877,0.658307,0.761372,1
9,0,0,0,0.001208,0,0.430251,0.453647,0.523005,1
9,0,0,0,0.012545,0,0.205477,0.206991,0.222837,1
9,0.00534,0,0,0.003562,0,0.799193,0.851928,0.990842,1
9,0.013158,0,0.001317,0.003292,0,0.640297,0.682792,0.792148,1
9,0.005222,0,0,0.005229,0,0.573847,0.607813,0.703240,1
9,0,0,0,0.014706,0,0.470175,0.493415,0.565571,1
9,0,0,0,0.022968,0,0.280041,0.286226,0.320972,1
9,0,0,0,0.013582,0,0.309763,0.315965,0.354063,1
9,0,0,0,0.013937,0,0.314406,0.326117,0.365723,1
9,0,0,0,0.03125,0,0.546042,0.573085,0.661247,1
9,0.037893,0,0,0.0037,0,0.592979,0.631581,0.732049,1
9,0.007874,0,0,0.007937,0,0.045750,0.045936,0.037928,1
9,0.035813,0,0,0.001838,0.000919,0.647599,0.690958,0.801527,1
9,0.08982,0.006024,0,0,0,0.209519,0.220080,0.244201,1
9,0.040706,0.001359,0,0.006793,0,0.267832,0.283108,0.319124,1
9,0,0,0,0.012903,0,0.539095,0.565661,0.656071,1
9,0,0,0,0,0,0.529281,0.559565,0.645264,1
9,0.007042,0,0,0.002643,0,0.647447,0.690251,0.801737,1
9,0,0,0,0.00299,0,0.514512,0.544286,0.628217,1
9,0.029375,0.000625,0,0.001251,0,0.619301,0.661044,0.766123,1
9,0,0,0,0.004608,0,0.805490,0.857828,0.998044,1
9,0,0,0,0.002595,0,0.570076,0.602814,0.697924,1
