@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0,0,0.003765,0,0.000538,0.790828,0.846405,0.970850,2
9,0,0,0,0.009836,0,0,0.772639,0.824127,0.944915,2
9,0.026144,0,0,0.006579,0,0,0.058334,0.067236,0.060455,2
9,0.008905,0,0,0.000891,0,0,0.373210,0.396724,0.450698,2
9,0.001359,0,0,0.00136,0,0,0.764331,0.817619,0.936263,2
9,0,0,0,0,0,0,0.490162,0.514760,0.586299,2
9,0.001966,0,0,0.00295,0,0,0.775838,0.830358,0.951677,2
9,0.016473,0,0,0.002908,0,0,0.680574,0.728991,0.834336,2
9,0,0,0,0.008403,0,0,0.454290,0.476901,0.544411,2
9,0,0,0,0.023148,0,0,0.546319,0.576457,0.660919,2
9,0.030176,0,0,0.006711,0,0,0.365299,0.383294,0.432229,2
9,0.038647,0,0,0.009709,0,0,0.500117,0.533444,0.607534,2
9,0,0,0,0,0,0,0.427143,0.451120,0.507844,2
9,0,0,0,0.007133,0,0,0.598770,0.636338,0.726093,2
9,0,0,0,0.017685,0,0,0.297990,0.304166,0.334892,2
9,0,0,0,0.00417,0,0,0.819366,0.876540,1.005438,2
9,0,0,0,0.008547,0,0,0.376681,0.393253,0.449512,2
9,0,0,0,0.017986,0,0,0.310445,0.317463,0.353000,2
9,0.00309,0,0,0.004329,0,0,0.766052,0.819738,0.939683,2
9,0.012163,0,0,0.004233,0,0.000529,0.714793,0.765384,0.876990,2
9,0,0,0,0.006065,0,0,0.668080,0.711610,0.814581,2
9,0.003831,0,0,0.002558,0,0,0.537214,0.569116,0.650128,2
9,0.00252,0,0,0.001261,0,0,0.794624,0.850466,0.975257,2
9,0,0,0,0.013769,0,0,0.276960,0.291804,0.322743,2
9,0.016447,0,0,0.004942,0,0,0.466276,0.492552,0.561136,0
9,0,0,0,0.016667,0,0,0.610611,0.646238,0.740236,0
9,0,0,0,0.035398,0,0,0.334209,0.347680,0.393367,0
9,0,0,0,0.023033,0,0,0.268202,0.273640,0.297398,0
9,0,0,0,0.011628,0,0,0.245767,0.251403,0.274228,0
9,0.046398,0,0,0.003667,0,0,0.204028,0.221603,0.242264,0
9,0,0,0,0.003279,0,0,0.624104,0.664977,0.760174,0
9,0.012563,0,0,0.005031,0,0,0.536753,0.569527,0.650821,0
9,0,0,0,0.020408,0,0,0.223159,0.225966,0.244703,0
9,0,0,0,0.037037,0,0,0.604233,0.638162,0.729617,0
9,0.04918,0,0,0.016529,0,0,0.239395,0.249781,0.279086,0
9,0,0,0,0,0,0,0.534956,0.567824,0.645704,0
9,0,0,0,0.015504,0,0,0.360694,0.379547,0.427510,0
9,0.016529,0,0,0,0,0,0.164180,0.171750,0.185787,0
9,0,0,0,0.007823,0,0,0.764215,0.815431,0.934077,0
9,0.007491,0,0,0.005629,0,0,0.446235,0.470371,0.535926,0
9,0,0,0,0.018349,0,0,0.345034,0.361483,0.404587,0
9,0.057143,0,0,0.009615,0,0,0.217990,0.229518,0.249752,0
9,0,0,0,0.020619,0,0,0.142417,0.140246,0.147970,0
9,0,0,0,0.007407,0,0,0.570586,0.608095,0.693471,0
9,0.004794,0,0,0.004798,0,0,0.398835,0.421973,0.478015,0
9,0,0,0,0.002584,0,0,0.763788,0.817468,0.936813,0
9,0.016018,0,0,0.003817,0,0,0.764314,0.817979,0.937355,0
9,0,0,0,0.00225,0,0,0.838041,0.897263,1.028929,0
9,0,0,0,0.008929,0,0,0.502382,0.530871,0.603925,0
9,0,0,0,0.007143,0,0,0.422559,0.447266,0.502607,1
9,0,0,0,0.014787,0,0,0.272313,0.279711,0.304325,1
9,0,0,0,0.011928,0,0,0.206003,0.209822,0.224565,1
9,0.004065,0,0.001357,0.020353,0,0,0.489766,0.516040,0.587495,1
9,0,0,0,0.013937,0,0,0.313459,0.326089,0.360788,1
9,0.003866,0,0,0.009032,0,0,0.253217,0.264704,0.290220,1
9,0,0,0,0.003494,0,0,0.739687,0.790698,0.905024,1
9,0.013356,0,0,0.004177,0,0,0.703467,0.752273,0.861035,1
9,0,0,0,0.013582,0,0,0.308909,0.315741,0.349390,1
9,0.005222,0,0,0.005229,0,0,0.572132,0.608314,0.694188,1
9,0,0,0,0.022968,0,0,0.279238,0.286095,0.316591,1
9,0,0,0,0.008065,0,0,0.302217,0.323152,0.359533,1
9,0.029375,0.000625,0,0.001251,0,0,0.617395,0.661734,0.756206,1
9,0,0,0,0,0,0,0.527697,0.559892,0.636810,1
9,0,0,0,0,0,0,0.855666,0.916849,1.051869,1
9,0.040695,0,0,0.001372,0,0,0.275615,0.299234,0.334615,1
9,0.00534,0,0,0.003562,0,0,0.796697,0.852734,0.977711,1
9,0,0,0,0.001208,0,0,0.429005,0.454039,0.516522,1
9,0,0,0,0.018182,0,0,0.420525,0.437334,0.496005,1
9,0.012012,0,0.000751,0.001503,0,0,0.643059,0.688670,0.787060,1
9,0,0,0,0,0,0,0.473668,0.503244,0.571531,1
9,0,0,0,0.010204,0,0,0.410985,0.429254,0.487482,1
9,0.00414,0,0,0.001775,0,0,0.759551,0.813439,0.930775,1
9,0,0,0,0.000824,0,0,0.739340,0.791127,0.903517,1
9,0,0,0,0.028249,0,0,0.621966,0.658719,0.751313,1
9,0,0,0,0.003226,0,0,0.794559,0.849810,0.974065,1
9,0,0,0,0.002595,0,0,0.568405,0.603326,0.689083,1
9,0,0,0,0.012545,0,0,0.204924,0.206783,0.219911,1
9,0.007874,0,0,0.007937,0,0,0.045899,0.046118,0.038901,1
9,0,0,0,0.004608,0,0,0.802968,0.858614,0.984763,1
