@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0.480547,0.499706,0.576972,0
0.00348,0,0,0.001161,0,0.557728,0.588484,0.677434,0
0.006989,0,0,0.003765,0,0.803579,0.845617,0.983915,2
0,0,0,0.009836,0,0.785138,0.823409,0.957562,2
0.004065,0,0.001357,0.020353,0,0.497460,0.515768,0.595052,1
0,0,0,0,0,0.378318,0.392804,0.445378,0
0.002577,0,0,0.002581,0,0.537906,0.563234,0.650197,0
0.013431,0,0,0.005498,0,0.693416,0.729205,0.846368,0
0,0,0,0.006289,0,0.578379,0.605442,0.698786,0
0,0,0,0.008949,0,0.248886,0.251456,0.279746,0
0,0,0,0.010638,0,0.394678,0.409290,0.467489,0
0.00313,0,0,0.009404,0,0.546315,0.570129,0.656802,0
0,0,0,0.00229,0,0.834804,0.879008,1.022094,0
0,0,0,0.019231,0,0.628989,0.656925,0.761814,0
0,0,0,0.006623,0,0.397019,0.409896,0.465657,0
0,0,0,0,0,0.601352,0.631566,0.727790,0
0,0,0,0.009188,0,0.627459,0.654836,0.758934,0
0,0,0,0.001381,0,0.767955,0.807625,0.937602,0
0,0,0,0.0181,0,0.698552,0.729307,0.846671,0
0,0,0,0.014787,0,0.275710,0.279786,0.308082,1
0,0,0,0.012903,0,0.546180,0.565661,0.656071,1
0,0,0,0.006182,0,0.610714,0.638532,0.738860,0
0.00414,0,0,0.001775,0,0.771626,0.812664,0.943286,1
0,0,0,0.02439,0,0.659775,0.685778,0.796337,0
0,0,0,0.012658,0,0.269316,0.270585,0.297906,0
0,0,0,0.010101,0,0.258006,0.266880,0.298541,0
0,0,0,0.003279,0,0.633687,0.664347,0.770111,0
0,0,0,0.003494,0,0.751534,0.789988,0.917163,1
0,0,0,0.015152,0,0.690800,0.722725,0.838812,0
0,0,0,0.013308,0,0.326513,0.333814,0.376131,0
0,0,0,0.008475,0,0.494541,0.511704,0.593238,0
0,0,0,0.010101,0,0.557933,0.581202,0.670769,0
0.00534,0,0,0.003562,0,0.809455,0.851928,0.990842,1
0,0,0,0.030303,0,0.682943,0.710580,0.824788,0
0,0,0,0.003795,0,0.326942,0.333043,0.371472,0
0.026144,0,0,0.006579,0,0.053567,0.066532,0.058681,2
0.008905,0,0,0.000891,0,0.378134,0.396260,0.456019,2
0.001359,0,0,0.00136,0,0.776610,0.816838,0.948785,2
0,0,0,0.011561,0,0.581739,0.603521,0.697809,0
0,0,0,0.010435,0,0.278167,0.279800,0.308565,0
0,0,0,0,0,0.497927,0.514506,0.593824,2
0,0,0,0.002595,0,0.577160,0.602814,0.697924,1
0,0,0,0.000824,0,0.751179,0.790400,0.915680,1
0,0,0,0.038462,0,0.547131,0.563992,0.653397,0
0,0,0,0.021201,0,0.293302,0.293352,0.326866,0
0,0,0,0.010204,0,0.417470,0.429131,0.493710,1
0.005525,0,0,0.006916,0,0.468208,0.486595,0.560927,0
0.021898,0,0,0.002435,0,0.653765,0.687262,0.796647,0
0,0,0,0.023529,0,0.476033,0.491762,0.564963,0
0,0,0,0.007968,0,0.306845,0.312707,0.350532,0
0,0,0,0.005181,0,0.616424,0.645583,0.749991,0
0,0,0,0.008596,0,0.577267,0.602307,0.694445,0
0,0,0,0.00225,0,0.851590,0.896429,1.042846,0
0,0,0,0,0,0.692728,0.728165,0.845448,0
0,0,0,0.009766,0,0.286540,0.290441,0.322358,0
0,0,0,0.007143,0,0.354232,0.365908,0.417664,0
0.008172,0,0,0.00818,0,0.419060,0.434078,0.494715,0
0,0,0,0.003509,0,0.822241,0.865019,1.005927,0
0,0,0,0.023256,0,0.595056,0.615969,0.714923,0
0.002028,0,0,0.020325,0,0.244928,0.244279,0.268890,0
0,0,0,0.035398,0,0.339291,0.347533,0.398130,0
0.012563,0,0,0.005031,0,0.545253,0.569074,0.659259,0
0,0,0,0.001618,0,0.784442,0.825755,0.958214,0
0,0,0,0.027933,0,0.668426,0.694817,0.805000,0
0,0,0,0.014925,0,0.369233,0.375697,0.426972,0
0,0,0,0,0,0.365982,0.378879,0.435407,0
0,0,0,0,0,0.543428,0.567410,0.654188,0
0.001966,0,0,0.00295,0,0.788324,0.829578,0.964459,2
0,0,0,0.022727,0,0.640164,0.665983,0.772802,0
0,0,0,0.016097,0,0.308626,0.314702,0.357303,0
0,0,0,0.007937,0,0.474258,0.494135,0.564850,0
0,0,0,0.007307,0,0.574362,0.598542,0.693750,0
0.040695,0,0,0.001372,0,0.278207,0.298639,0.337944,1
0.106742,0,0,0,0,0.025674,0.041009,0.030063,0
0.021452,0,0,0,0,0.035495,0.057160,0.043164,0
0.175573,0,0,0,0,0.093843,0.096309,0.100441,0
0.047927,0,0.001297,0.003891,0,0.353637,0.371307,0.424280,1
0.016473,0,0,0.002908,0,0.691340,0.728283,0.845452,2
