@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0,0,0.003765,0.791787,0.855068,0.983915,2
0,0,0,0.009836,0.773568,0.832548,0.957562,2
0.026144,0,0,0.006579,0.058080,0.064228,0.058681,2
0.008905,0,0,0.000891,0.373607,0.400161,0.456019,2
0.001359,0,0,0.00136,0.765250,0.825764,0.948785,2
0,0,0,0,0.490752,0.519876,0.593824,2
0.001966,0,0,0.00295,0.776778,0.838732,0.964459,2
0.016473,0,0,0.002908,0.681392,0.736337,0.845452,2
0,0,0,0.008403,0.454761,0.481384,0.551024,2
0,0,0,0.023148,0.546929,0.582329,0.669173,2
0.030176,0,0,0.006711,0.365662,0.386332,0.437354,2
0.038647,0,0,0.009709,0.500663,0.538383,0.615296,2
0,0,0,0,0.427706,0.455104,0.514670,2
0,0,0,0.007133,0.599488,0.642558,0.735745,2
0,0,0,0.017685,0.298374,0.306662,0.339407,2
0,0,0,0.00417,0.820355,0.885457,1.018968,2
0,0,0,0.008547,0.377120,0.397195,0.454953,2
0,0,0,0.017986,0.310852,0.320146,0.357681,2
0.00309,0,0,0.004329,0.766962,0.827994,0.952185,2
0.012163,0,0,0.004233,0.715652,0.773161,0.888670,2
0,0,0,0.006065,0.668887,0.718743,0.825421,2
0,0,0,0.005382,0.741905,0.798949,0.918823,2
0,0,0,0.002326,0.810638,0.874839,1.006506,2
0,0,0,0.020183,0.283933,0.294643,0.327561,2
0.003831,0,0,0.002558,0.537839,0.574727,0.658569,2
0.00252,0,0,0.001261,0.795584,0.859109,0.988380,2
0,0,0,0.013769,0.277156,0.292750,0.325884,2
0,0,0,0.019231,0.619757,0.664069,0.761814,0
0,0,0,0,0.373169,0.396209,0.445378,0
0,0,0,0.01107,0.217451,0.221636,0.240062,0
0,0,0,0.026168,0.289327,0.297399,0.329384,0
0.021127,0,0,0.010582,0.193464,0.200028,0.214187,0
0,0,0,0.017391,0.339842,0.356203,0.400672,0
0.04918,0,0,0.016529,0.239724,0.252096,0.282750,0
0.017391,0,0,0.026316,0.148599,0.148075,0.158576,0
0,0,0,0.041322,0.428563,0.448139,0.510052,0
0,0,0,0.021382,0.258757,0.264552,0.291226,0
0,0,0,0.014925,0.364060,0.379008,0.426972,0
0.007564,0,0,0.015152,0.321176,0.336246,0.375706,0
0.002028,0,0,0.020325,0.241660,0.245928,0.268890,0
0,0,0,0.014842,0.223804,0.226664,0.245795,0
0,0,0,0.004839,0.292162,0.305421,0.335809,0
0.057971,0,0,0.001613,0.287098,0.309947,0.347374,0
0.002894,0,0,0.001449,0.808886,0.874847,1.006107,0
0,0,0,0.019608,0.385788,0.401389,0.453195,0
0,0,0,0.020408,0.223444,0.227185,0.247764,0
0.003171,0,0,0.008883,0.669120,0.719563,0.825197,0
0,0,0,0.006182,0.601870,0.645161,0.738860,0
0.001167,0,0,0.007009,0.751356,0.810055,0.931108,0
0,0,0,0.017241,0.244826,0.254432,0.281931,0
0.175573,0,0,0,0.093195,0.096722,0.100441,0
0,0,0,0.018349,0.345388,0.364351,0.409600,0
0,0,0,0.003226,0.795526,0.858438,0.987194,1
0,0,0,0.001208,0.429505,0.458229,0.523005,1
0.040695,0,0,0.001372,0.275896,0.301574,0.337944,1
0,0,0,0.010204,0.411471,0.433416,0.493710,1
0.035928,0,0,0.006024,0.327119,0.349039,0.393290,1
0,0,0,0,0.474364,0.508137,0.579573,1
0.02268,0,0,0.004132,0.133202,0.141338,0.145705,1
0.040706,0.001359,0,0.006793,0.267377,0.285252,0.319124,1
0.08982,0.006024,0,0,0.209126,0.221731,0.244201,1
0.00534,0,0,0.003562,0.797660,0.861401,0.990842,1
0,0,0,0.02381,0.234988,0.236696,0.264395,1
0,0,0,0.014706,0.469366,0.498296,0.565571,1
0,0,0,0.002595,0.569055,0.609020,0.697924,1
0,0,0,0.014787,0.272619,0.281052,0.308082,1
0,0,0,0.013582,0.309295,0.318498,0.354063,1
0,0,0,0.03125,0.545059,0.579134,0.661247,1
0.013356,0,0,0.004177,0.704305,0.759849,0.872532,1
0.000425,0,0,0.003825,0.741935,0.800069,0.919215,1
0,0,0,0.028249,0.622732,0.665379,0.761372,1
0,0,0,0.003932,0.567057,0.607778,0.693345,1
0.0217,0,0,0.012681,0.138569,0.140025,0.146322,1
0.035813,0,0,0.001838,0.646362,0.698403,0.801527,1
0,0,0,0.013937,0.313906,0.328723,0.365723,1
0.007874,0,0,0.007937,0.045771,0.044872,0.037928,1
0.004065,0,0.001357,0.020353,0.490332,0.521054,0.595052,1
0,0,0,0.007143,0.423099,0.451174,0.509489,1
0.012012,0,0.000751,0.001503,0.643802,0.695220,0.797277,1
0.013158,0,0.001317,0.003292,0.639074,0.690193,0.792148,1
0,0,0,0,0.856712,0.926224,1.066118,1
0.007042,0,0,0.002643,0.646210,0.697937,0.801737,1
