@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0.474731,0.496166,0.576972,0
0.00348,0,0,0.001161,0.552407,0.584148,0.677434,0
0.006989,0,0,0.003765,0.794164,0.838807,0.983915,2
0,0,0,0.009836,0.775820,0.816886,0.957562,2
0.004065,0,0.001357,0.020353,0.491512,0.512177,0.595052,1
0,0,0,0,0.373843,0.390473,0.445378,0
0.002577,0,0,0.002581,0.531930,0.559145,0.650197,0
0.013431,0,0,0.005498,0.685473,0.723425,0.846368,0
0,0,0,0.006289,0.571562,0.600984,0.698786,0
0,0,0,0.008949,0.246104,0.250550,0.279746,0
0,0,0,0.010638,0.389819,0.406726,0.467489,0
0.00313,0,0,0.009404,0.539744,0.566034,0.656802,0
0,0,0,0.00229,0.825019,0.871942,1.022094,0
0,0,0,0.019231,0.621422,0.651940,0.761814,0
0,0,0,0.006623,0.392130,0.407465,0.465657,0
0,0,0,0,0.594235,0.626939,0.727790,0
0,0,0,0.009188,0.619948,0.649999,0.758934,0
0,0,0,0.001381,0.758922,0.801255,0.937602,0
0,0,0,0.0181,0.690158,0.723714,0.846671,0
0,0,0,0.014787,0.272861,0.278757,0.308082,1
0,0,0,0.012903,0.539523,0.561657,0.656071,1
0,0,0,0.006182,0.603459,0.633858,0.738860,0
0.00414,0,0,0.001775,0.762717,0.806199,0.943286,1
0,0,0,0.02439,0.651773,0.680622,0.796337,0
0,0,0,0.012658,0.265973,0.269627,0.297906,0
0,0,0,0.010101,0.255179,0.265607,0.298541,0
0,0,0,0.003279,0.626599,0.659342,0.770111,0
0,0,0,0.003494,0.742725,0.783770,0.917163,1
0,0,0,0.015152,0.682552,0.717145,0.838812,0
0,0,0,0.013308,0.322614,0.332200,0.376131,0
0,0,0,0.008475,0.488551,0.508215,0.593238,0
0,0,0,0.010101,0.551216,0.577091,0.670769,0
0.00534,0,0,0.003562,0.800052,0.845080,0.990842,1
0,0,0,0.030303,0.674683,0.705196,0.824788,0
0,0,0,0.003795,0.322829,0.331528,0.371472,0
0.026144,0,0,0.006579,0.058573,0.066667,0.058681,2
0.008905,0,0,0.000891,0.374632,0.393513,0.456019,2
0.001359,0,0,0.00136,0.767497,0.810363,0.948785,2
0,0,0,0.011561,0.574623,0.599170,0.697809,0
0,0,0,0.010435,0.274657,0.278772,0.308565,0
0,0,0,0,0.491810,0.511092,0.593824,2
0,0,0,0.002595,0.570559,0.598447,0.697924,1
0,0,0,0.000824,0.742359,0.784229,0.915680,1
0,0,0,0.038462,0.540353,0.559995,0.653397,0
0,0,0,0.021201,0.289600,0.292241,0.326866,0
0,0,0,0.010204,0.412316,0.426458,0.493710,1
0.005525,0,0,0.006916,0.462768,0.483242,0.560927,0
0.021898,0,0,0.002435,0.646241,0.681832,0.796647,0
0,0,0,0.023529,0.470301,0.488360,0.564963,0
0,0,0,0.007968,0.302961,0.311253,0.350532,0
0,0,0,0.005181,0.609151,0.640761,0.749991,0
0,0,0,0.008596,0.570345,0.597985,0.694445,0
0,0,0,0.00225,0.841577,0.889206,1.042846,0
0,0,0,0,0.684575,0.722544,0.845448,0
0,0,0,0.009766,0.282862,0.289268,0.322358,0
0,0,0,0.007143,0.350086,0.363561,0.417664,0
0.008172,0,0,0.00818,0.414012,0.431351,0.494715,0
0,0,0,0.003509,0.812555,0.858094,1.005927,0
0,0,0,0.023256,0.587753,0.611480,0.714923,0
0.002028,0,0,0.020325,0.241711,0.243426,0.268890,0
0,0,0,0.035398,0.335187,0.345435,0.398130,0
0.012563,0,0,0.005031,0.538799,0.564896,0.659259,0
0,0,0,0.001618,0.775251,0.819206,0.958214,0
0,0,0,0.027933,0.660321,0.689614,0.805000,0
0,0,0,0.014925,0.364578,0.373741,0.426972,0
0,0,0,0,0.361523,0.376648,0.435407,0
0,0,0,0,0.536923,0.563367,0.654188,0
0.001966,0,0,0.00295,0.779082,0.822949,0.964459,2
0,0,0,0.022727,0.632416,0.660994,0.772802,0
0,0,0,0.016097,0.304802,0.313227,0.357303,0
0,0,0,0.007937,0.468576,0.490925,0.564850,0
0,0,0,0.007307,0.567472,0.594214,0.693750,0
0.040695,0,0,0.001372,0.276832,0.296323,0.337944,1
0.106742,0,0,0,0.031228,0.041056,0.030063,0
0.021452,0,0,0,0.043485,0.057331,0.043164,0
0.175573,0,0,0,0.093224,0.096143,0.100441,0
0.047927,0,0.001297,0.003891,0.351047,0.368779,0.424280,1
0.016473,0,0,0.002908,0.683434,0.722441,0.845452,2
0.030303,0,0,0.006098,0.469463,0.493448,0.573420,0
0.005979,0,0,0.022455,0.165029,0.169863,0.179502,0
0.08982,0.006024,0,0,0.209542,0.218870,0.244201,1
0.057971,0,0,0.001613,0.288012,0.306032,0.347374,0
0.029375,0.000625,0,0.001251,0.619990,0.655764,0.766123,1
0,0,0,0.01676,0.619485,0.651501,0.758311,0
0.02268,0,0,0.004132,0.133613,0.142890,0.145705,1
0,0,0,0.033613,0.451863,0.468393,0.541016,0
0.003171,0,0,0.008883,0.671009,0.706427,0.825197,0
0.003448,0,0,0.001151,0.766681,0.810328,0.949071,0
0.010526,0,0,0.010582,0.418564,0.435295,0.504753,0
