@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1044 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0,0,0.334565,0.353735,0.410187,0
0,0,0,0,0.004651,0,0,0,0.486753,0.527818,0.612526,0
0.003226,0,0.001076,0.002153,0.004306,0,0,0,0.726963,0.786769,0.922685,2
0,0,0,0.006579,0,0,0,0,0.706610,0.760454,0.891070,2
0.00271,0,0,0.005435,0.013587,0.002717,0,0,0.415399,0.440683,0.509948,1
0,0,0,0,0,0,0,0,0.301043,0.319303,0.362719,0
0,0,0.002584,0,0.007752,0,0,0,0.468596,0.503737,0.584327,0
0.007326,0,0.002445,0.001222,0.00489,0.003667,0,0,0.618969,0.668266,0.781670,0
0,0,0,0,0,0,0,0,0.512837,0.549850,0.636515,0
0,0,0,0.008969,0.013453,0,0,0,0.219882,0.223608,0.245220,0
0,0,0,0,0.086957,0,0,0,0.343415,0.364864,0.413198,0
0,0,0.003145,0.006289,0.015723,0,0,0,0.476512,0.511049,0.591488,0
0,0,0.001529,0.001529,0.001529,0.004587,0,0,0.763236,0.826373,0.969041,0
0,0,0.012987,0.025974,0.012987,0.012987,0,0,0.569993,0.612051,0.712655,0
0,0,0,0.006645,0.016611,0.003322,0,0,0.345850,0.365034,0.413314,0
0,0,0,0,0,0,0,0,0.533558,0.574538,0.663913,0
0,0,0.003067,0.009202,0.003067,0,0,0,0.563939,0.605728,0.707446,0
0,0,0.00277,0,0,0.00277,0,0,0.693792,0.749783,0.878384,0
0,0,0,0.018182,0.009091,0.009091,0,0,0.638329,0.681861,0.796190,0
0,0,0.003704,0.003704,0.007407,0.007407,0,0,0.240855,0.246350,0.270743,1
0,0,0,0.025974,0.012987,0,0,0,0.479342,0.509754,0.593153,1
0,0,0.003096,0.004644,0.003096,0.003096,0,0,0.537543,0.578492,0.674440,0
0,0,0,0.001185,0.001185,0,0,0,0.698915,0.756603,0.885607,1
0,0,0.012346,0.024691,0,0.012346,0,0,0.594632,0.631774,0.738020,0
0,0,0.007246,0.007246,0.021739,0.01087,0,0,0.234210,0.234514,0.255736,0
0,0,0,0,0.040816,0,0,0,0.209049,0.217827,0.239108,0
0,0,0,0.004376,0.002188,0.002188,0,0,0.566509,0.610027,0.712088,0
0,0,0,0.003497,0.005828,0.001166,0.001166,0,0.679700,0.734254,0.858682,1
0,0,0,0.010204,0,0,0,0,0.616183,0.661383,0.771008,0
0,0,0,0.007634,0.015267,0.003817,0,0,0.289368,0.299494,0.335257,0
0,0,0,0.017241,0,0,0,0,0.428145,0.456120,0.531496,0
0,0,0.006073,0.01417,0.010121,0.006073,0,0,0.487502,0.521946,0.605220,0
0.002671,0,0.000891,0.003565,0.002674,0.001783,0,0,0.738161,0.798786,0.936428,1
0,0,0,0.02439,0,0.012195,0,0,0.619189,0.658271,0.768902,0
0,0,0,0,0,0,0,0,0.274477,0.282555,0.319775,0
0,0,0,0.013333,0.013333,0,0,0,0.046461,0.054093,0.042903,2
0,0,0,0.001786,0.005357,0.001786,0,0,0.315917,0.339996,0.393445,2
0,0,0,0,0.002721,0.001361,0,0,0.703960,0.760944,0.891599,2
0,0,0,0.011628,0.011628,0,0,0,0.513658,0.543448,0.631857,0
0,0,0.003484,0.003484,0.02439,0.003484,0,0,0.247206,0.247784,0.271167,0
