@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0,0.333317,0.351086,0.410187,0
0,0,0,0,0,0,0,0.485249,0.523432,0.612526,0
0.003226,0,0.001076,0,0,0,0,0.724182,0.779931,0.922685,2
0,0,0,0,0,0,0,0.703921,0.753976,0.891070,2
0.00271,0,0,0.002717,0.005435,0,0,0.413832,0.437165,0.509948,1
0,0,0,0,0,0,0,0.299982,0.316637,0.362719,0
0,0,0.002584,0,0.002584,0,0,0.466956,0.499536,0.584327,0
0.007326,0,0.002445,0.003667,0.00489,0,0,0.616678,0.662622,0.781670,0
0,0,0,0,0,0,0,0.510867,0.545307,0.636515,0
0,0,0,0,0,0,0,0.219126,0.222409,0.245220,0
0,0,0,0,0,0,0,0.342070,0.362024,0.413198,0
0,0,0.003145,0,0.006289,0,0,0.474672,0.506735,0.591488,0
0,0,0.001529,0.004587,0.001529,0,0,0.760332,0.819087,0.969041,0
0,0,0.012987,0.012987,0.012987,0,0,0.567732,0.607128,0.712655,0
0,0,0,0.003322,0.003322,0,0,0.344533,0.362103,0.413314,0
0,0,0,0,0,0,0,0.531605,0.569294,0.663913,0
0,0,0.003067,0,0.003067,0,0,0.561763,0.600470,0.707446,0
0,0,0.00277,0.00277,0.00277,0,0,0.691138,0.743248,0.878384,0
0,0,0,0.009091,0.009091,0,0,0.635900,0.676258,0.796190,0
0,0,0.003704,0.007407,0.007407,0,0,0.240141,0.244761,0.270743,1
0,0,0,0,0,0,0,0.477432,0.505593,0.593153,1
0,0,0.003096,0.003096,0.001548,0,0,0.535475,0.573395,0.674440,0
0,0,0,0,0,0,0,0.696313,0.749959,0.885607,1
0,0,0.012346,0.012346,0.024691,0,0,0.592368,0.626598,0.738020,0
0,0,0.007246,0.01087,0.007246,0,0,0.233451,0.232949,0.255736,0
0,0,0,0,0,0,0,0.208367,0.216329,0.239108,0
0,0,0,0.002188,0,0,0,0.564455,0.604895,0.712088,0
0,0,0,0.001166,0,0.001166,0,0.677113,0.727921,0.858682,1
0,0,0,0,0,0,0,0.613792,0.655950,0.771008,0
0,0,0,0.003817,0.01145,0,0,0.288334,0.297313,0.335257,0
0,0,0,0,0.017241,0,0,0.426456,0.452301,0.531496,0
0,0,0.006073,0.006073,0.008097,0,0,0.485647,0.517374,0.605220,0
