@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature843 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1044 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0,0,0,0,0.331864,0.358080,0.410187,0
0,0.053364,0,0,0,0,0.004651,0,0,0,0.483013,0.535243,0.612526,0
0.003226,0.009677,0,0.001076,0.001076,0.002153,0.004306,0,0,0,0.720760,0.798158,0.922685,2
0,0,0,0,0.006579,0.006579,0,0,0,0,0.700633,0.771255,0.891070,2
0.00271,0.056911,0,0,0.008152,0.005435,0.013587,0.002717,0,0,0.412154,0.445747,0.509948,1
0,0.2,0,0,0,0,0,0,0,0,0.298969,0.321938,0.362719,0
0,0.082474,0,0.002584,0.002584,0,0.007752,0,0,0,0.464935,0.510154,0.584327,0
0.007326,0.014652,0,0.002445,0.002445,0.001222,0.00489,0.003667,0,0,0.613808,0.677882,0.781670,0
0,0.075,0,0,0,0,0,0,0,0,0.508721,0.556759,0.636515,0
0,0.120536,0,0,0.008969,0.008969,0.013453,0,0,0,0.218673,0.224483,0.245220,0
0,0.212766,0,0,0.021739,0,0.086957,0,0,0,0.340971,0.367911,0.413198,0
0,0.103448,0,0.003145,0.009434,0.006289,0.015723,0,0,0,0.472713,0.517233,0.591488,0
0,0.027481,0,0.001529,0.001529,0.001529,0.001529,0.004587,0,0,0.756731,0.838244,0.969041,0
0,0.012821,0,0.012987,0,0.025974,0.012987,0.012987,0,0,0.565251,0.620315,0.712655,0
0,0.182119,0,0,0.006645,0.006645,0.016611,0.003322,0,0,0.343432,0.368015,0.413314,0
0,0.239437,0,0,0,0,0,0,0,0,0.529441,0.580881,0.663913,0
0,0.047473,0,0.003067,0.013804,0.009202,0.003067,0,0,0,0.559258,0.613549,0.707446,0
0,0.01105,0,0.00277,0,0,0,0.00277,0,0,0.687877,0.760309,0.878384,0
0,0.009009,0,0,0.018182,0.018182,0.009091,0.009091,0,0,0.633054,0.691093,0.796190,0
0,0.154982,0,0.003704,0.007407,0.003704,0.007407,0.007407,0,0,0.239578,0.247287,0.270743,1
0,0.038462,0,0,0.012987,0.025974,0.012987,0,0,0,0.475438,0.515735,0.593153,1
0,0.069552,0,0.003096,0.003096,0.004644,0.003096,0.003096,0,0,0.533103,0.585753,0.674440,0
0,0.047337,0,0,0.001185,0.001185,0.001185,0,0,0,0.693052,0.767350,0.885607,1
0,0,0,0.012346,0.037037,0.024691,0,0.012346,0,0,0.589757,0.640029,0.738020,0
0,0.231047,0,0.007246,0.007246,0.007246,0.021739,0.01087,0,0,0.233083,0.234692,0.255736,0
0,0.24,0,0,0,0,0.040816,0,0,0,0.207974,0.218544,0.239108,0
0,0.021834,0,0,0.006565,0.004376,0.002188,0.002188,0,0,0.561869,0.618357,0.712088,0
0,0.034924,0,0,0.004662,0.003497,0.005828,0.001166,0.001166,0,0.673981,0.744527,0.858682,1
0,0.020202,0,0,0.020408,0.010204,0,0,0,0,0.611059,0.670317,0.771008,0
0,0.186312,0,0,0.003817,0.007634,0.015267,0.003817,0,0,0.287562,0.301103,0.335257,0
0,0.050847,0,0,0.017241,0.017241,0,0,0,0,0.424653,0.461049,0.531496,0
0,0.129293,0,0.006073,0.010121,0.01417,0.010121,0.006073,0,0,0.483646,0.527857,0.605220,0
0.002671,0.024043,0,0.000891,0.003565,0.003565,0.002674,0.001783,0,0,0.731909,0.810311,0.936428,1
0,0,0,0,0.036585,0.02439,0,0.012195,0,0,0.614112,0.667005,0.768902,0
0,0.087121,0,0,0,0,0,0,0,0,0.272618,0.284457,0.319775,0
0,0.065789,0,0,0.013333,0.013333,0.013333,0,0,0,0.047692,0.056022,0.042903,2
0,0.039216,0,0,0,0.001786,0.005357,0.001786,0,0,0.313596,0.344393,0.393445,2
0,0.014946,0,0,0.001361,0,0.002721,0.001361,0,0,0.697980,0.771822,0.891599,2
