@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature33 numeric
@attribute bi_feature10 numeric
@attribute bi_feature12 numeric
@attribute bi_feature165 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1384 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.027778,0,0,0,0,0,0,0,0,0,0.332556,0.354799,0.410187,0
0,0.00232,0,0,0,0,0,0,0,0.002326,0,0.483804,0.528651,0.612526,0
0.003226,0.008602,0,0,0,0.001076,0.002153,0,0,0,0,0.721920,0.788216,0.922685,2
0,0.006536,0,0,0,0,0.006579,0,0,0,0,0.701830,0.762052,0.891070,2
0.00271,0.02439,0,0.002717,0,0,0.005435,0.002717,0.005435,0,0,0.412837,0.441644,0.509948,1
0,0.018182,0,0,0,0,0,0,0,0,0,0.299390,0.319580,0.362719,0
0,0.005155,0,0,0,0.002584,0,0,0.002584,0.005168,0,0.465682,0.504567,0.584327,0
0.007326,0.014652,0,0,0,0.002445,0.001222,0.003667,0.00489,0,0,0.614796,0.669577,0.781670,0
0,0,0,0,0,0,0,0,0,0.012658,0,0.509469,0.550917,0.636515,0
0,0.008929,0,0,0,0,0.008969,0,0,0,0,0.219006,0.224395,0.245220,0
0,0,0,0,0,0,0,0,0,0.021739,0,0.341361,0.365381,0.413198,0
0,0.015674,0,0,0,0.003145,0.006289,0,0.006289,0.006289,0,0.473381,0.511837,0.591488,0
0,0.007634,0,0,0,0.001529,0.001529,0.004587,0.001529,0,0,0.757955,0.827788,0.969041,0
0,0.051282,0,0,0,0.012987,0.025974,0.012987,0.012987,0,0,0.566122,0.613484,0.712655,0
0,0.016556,0,0,0,0,0.006645,0.003322,0.003322,0.003322,0,0.343859,0.365525,0.413314,0
0,0,0,0,0,0,0,0,0,0.014286,0,0.530192,0.574932,0.663913,0
0,0.01072,0,0,0,0.003067,0.009202,0,0.003067,0,0,0.560181,0.606745,0.707446,0
0,0.005525,0,0,0,0.00277,0,0.00277,0.00277,0,0,0.689015,0.751155,0.878384,0
0,0.018018,0,0,0,0,0.018182,0.009091,0.009091,0,0,0.634161,0.683482,0.796190,0
0,0.02583,0,0,0,0.003704,0.003704,0.007407,0.007407,0,0,0.239961,0.246924,0.270743,1
0,0,0,0,0,0,0.025974,0,0,0,0,0.476247,0.510858,0.593153,1
0,0.006182,0,0,0,0.003096,0.004644,0.003096,0.001548,0,0,0.533964,0.579340,0.674440,0
0,0.001183,0,0,0,0,0.001185,0,0,0,0,0.694156,0.757842,0.885607,1
0,0.04878,0,0,0,0.012346,0.024691,0.012346,0.024691,0,0,0.590847,0.633323,0.738020,0
0,0.025271,0,0,0,0.007246,0.007246,0.01087,0.007246,0,0,0.233455,0.234984,0.255736,0
0,0,0,0,0,0,0,0,0,0,0,0.208187,0.218028,0.239108,0
0,0.004367,0,0,0,0,0.004376,0.002188,0,0.002188,0,0.562837,0.611228,0.712088,0
0,0.001164,0,0,0,0,0.003497,0.001166,0,0,0,0.675061,0.735603,0.858682,1
0,0.020202,0,0,0,0,0.010204,0,0,0,0,0.612041,0.662872,0.771008,0
0,0.026616,0,0,0,0,0.007634,0.003817,0.01145,0,0,0.288024,0.300117,0.335257,0
0,0.033898,0,0,0,0,0.017241,0,0.017241,0,0,0.425427,0.457003,0.531496,0
0,0.026263,0,0,0,0.006073,0.01417,0.006073,0.008097,0.004049,0,0.484393,0.522617,0.605220,0
0.002671,0.012467,0,0,0,0.000891,0.003565,0.001783,0.004456,0,0,0.733090,0.800196,0.936428,1
0,0.048193,0,0,0,0,0.02439,0.012195,0.02439,0,0,0.615231,0.659890,0.768902,0
0,0.003788,0,0,0,0,0,0,0,0,0,0.273170,0.283158,0.319775,0
0,0,0,0,0,0,0.013333,0,0,0,0,0.047785,0.054374,0.042903,2
0,0.005348,0,0,0,0,0.001786,0.001786,0,0,0,0.314103,0.340602,0.393445,2
0,0.001359,0,0,0,0,0,0.001361,0,0,0,0.699129,0.762352,0.891599,2
0,0.022989,0,0,0,0,0.011628,0,0,0,0,0.510499,0.544916,0.631857,0
0,0.010417,0,0,0,0.003484,0.003484,0.003484,0,0,0,0.246299,0.248600,0.271167,0
0,0.014286,0,0,0,0,0,0,0,0,0,0.433245,0.464242,0.536647,2
0,0.00692,0,0,0,0.001733,0.003466,0.003466,0.001733,0,0,0.504455,0.547378,0.637011,1
0,0,0,0,0,0,0,0,0,0,0,0.669144,0.730240,0.852664,1
0,0.030769,0,0,0,0,0.03125,0.015625,0.015625,0,0,0.488229,0.515981,0.596184,0
0,0.031802,0,0,0,0.007092,0.010638,0.003546,0.014184,0,0,0.256490,0.258968,0.287366,0
0,0,0,0,0,0,0.010309,0,0,0,0,0.358376,0.379969,0.433989,1
0,0.019337,0,0,0.00277,0.00277,0.01108,0.00831,0,0,0,0.398550,0.428793,0.495440,0
0.008117,0.001623,0,0,0,0,0.001626,0,0,0,0,0.578295,0.629837,0.734412,0
0,0.011765,0,0,0,0,0.011905,0.011905,0,0,0,0.407066,0.429865,0.493325,0
0,0.015936,0,0,0,0,0,0.004,0.004,0,0,0.271438,0.282054,0.314247,0
0,0.020619,0,0,0,0,0,0,0,0,0,0.548843,0.595824,0.691503,0
0,0.014327,0,0,0,0,0.005747,0.005747,0,0.005747,0,0.509058,0.549346,0.635984,0
0,0.004494,0,0,0,0,0,0.002252,0,0,0,0.772928,0.843823,0.987846,0
0,0,0,0,0,0,0,0,0,0,0,0.622318,0.678376,0.789181,0
0,0.042969,0,0,0,0.003922,0.003922,0,0.019608,0,0,0.244524,0.251313,0.276265,0
0,0,0,0,0,0,0,0,0,0,0,0.319002,0.338491,0.380985,0
0.00409,0.01227,0,0,0,0,0.006148,0.002049,0.002049,0.006148,0,0.355149,0.380877,0.434105,0
0,0.002336,0,0,0,0,0.002342,0.002342,0,0,0,0.747341,0.815144,0.953270,0
0,0,0,0,0,0,0.023529,0,0,0,0,0.527669,0.565022,0.655972,0
0,0.020325,0,0,0,0,0.004082,0.008163,0,0,0,0.213192,0.214120,0.229920,0
0,0,0,0,0,0,0.053571,0,0,0,0,0.294657,0.307593,0.348118,0
0.007538,0.005025,0,0,0,0,0.005038,0.002519,0,0,0,0.465680,0.504781,0.587839,0
0,0.006472,0,0,0,0.001621,0,0.003241,0,0,0,0.703046,0.767633,0.896968,0
0,0.022222,0,0,0,0,0.011236,0.022472,0,0,0,0.598644,0.638175,0.741299,0
0,0.023881,0,0,0,0,0.011976,0,0.002994,0,0,0.327123,0.342010,0.388175,0
0,0,0,0,0,0,0,0,0,0,0,0.305164,0.325838,0.373502,0
0,0,0,0,0,0,0,0,0,0,0,0.462283,0.500409,0.579972,0
0,0.003933,0,0,0,0,0.001969,0.000984,0.001969,0.000984,0,0.707232,0.772285,0.903723,2
0,0.011364,0,0,0,0.011494,0.022989,0,0,0,0,0.570822,0.610573,0.710228,0
0,0.016064,0,0,0,0.004032,0.008065,0,0.004032,0,0,0.251962,0.264211,0.298510,0
0,0,0,0,0,0,0.016129,0,0,0,0,0.414157,0.444591,0.507491,0
0,0.012526,0,0,0,0.002092,0.006276,0.004184,0.002092,0,0,0.498660,0.540007,0.628786,0
0.017383,0,0,0,0.001832,0,0,0,0,0,0,0.250885,0.276325,0.316295,1
0.044944,0,0,0,0,0,0,0,0,0,0,0.031101,0.040311,0.031155,0
0.013201,0,0,0,0,0,0,0,0,0,0,0.045385,0.059001,0.045722,0
0.123077,0.015385,0,0,0,0,0,0,0,0,0,0.058359,0.058761,0.054488,0
0.031088,0.010363,0.002597,0,0,0,0.007792,0.005195,0,0.002597,0,0.302603,0.328812,0.376588,1
0.006783,0.003876,0,0,0,0,0.00194,0,0.00097,0,0.00097,0.608930,0.664647,0.776145,2
0.02439,0.012195,0,0,0,0,0,0,0,0,0,0.409943,0.444074,0.512875,0
0.002994,0.017964,0,0,0,0,0.006006,0.006006,0.003003,0,0,0.148238,0.152180,0.158083,0
0.024096,0,0.012195,0,0.012195,0,0,0,0,0,0,0.160059,0.171149,0.186228,1
0.035484,0,0,0,0,0,0.003236,0,0,0,0,0.241864,0.264877,0.298455,0
0.0125,0.0025,0,0.001252,0.003755,0.001252,0,0.001252,0.001252,0,0,0.548703,0.599652,0.699535,1
0,0.033333,0,0,0,0.011236,0,0,0,0,0,0.564177,0.610993,0.706353,0
0.008264,0.004132,0,0,0.004149,0,0,0,0,0,0,0.118428,0.129203,0.130037,1
0,0,0,0,0,0,0.016949,0,0,0,0,0.406992,0.432987,0.495330,0
0,0.008883,0,0,0,0,0.006353,0.001271,0.002541,0,0,0.610335,0.663066,0.772853,0
0.002299,0,0,0,0,0,0.002304,0,0,0.002304,0,0.690415,0.754181,0.881220,0
0,0,0,0,0,0,0.021277,0,0,0.010638,0,0.329169,0.352356,0.405077,0
0,0.018293,0,0,0,0,0.009174,0,0.003058,0,0,0.262699,0.271552,0.297174,0
0,0,0,0,0,0,0.018519,0,0,0,0,0.304020,0.322100,0.360854,0
0,0.014577,0,0,0,0.002924,0.002924,0.002924,0.005848,0.005848,0,0.553112,0.600135,0.697120,0
0.017002,0.001546,0.001548,0,0.003096,0,0,0.001548,0,0,0,0.530807,0.579792,0.675580,0
0,0.0125,0,0,0,0.012658,0,0,0,0,0,0.503859,0.544482,0.632543,0
0,0.014493,0,0,0,0.003636,0.010909,0.003636,0.003636,0,0,0.244330,0.252499,0.280211,0
0,0,0,0,0,0,0.016949,0,0,0.016949,0,0.307194,0.312907,0.351261,0
0.00361,0.01444,0,0,0,0.007246,0.003623,0,0.007246,0.007246,0,0.363784,0.391277,0.448946,0
0,0.004751,0,0,0,0.002381,0,0,0.002381,0,0,0.754577,0.825299,0.966690,0
0,0.012658,0,0,0,0,0,0.012821,0,0,0,0.524336,0.560953,0.648899,0
0,0.014599,0,0,0,0,0.003663,0.007326,0,0.003663,0,0.242050,0.249319,0.273874,0
0,0,0,0,0,0,0.016949,0,0,0,0,0.393416,0.420326,0.487503,2
0,0,0,0,0,0,0.002703,0,0,0,0,0.408291,0.444326,0.513429,0
0,0.011895,0,0,0,0.003401,0.001701,0.004252,0.004252,0.00085,0,0.675288,0.735587,0.859659,1
0,0.027778,0,0,0,0.018692,0.009346,0,0.009346,0,0,0.486880,0.524955,0.610434,2
0.015101,0.005034,0,0,0,0,0.003361,0.003361,0,0,0,0.323800,0.345466,0.396430,2
0,0.018182,0,0,0,0,0.018519,0,0,0,0,0.220572,0.219029,0.239264,0
0,0.020833,0,0,0,0.00597,0.01194,0.008955,0.00597,0,0,0.441391,0.475226,0.550269,0
0.019824,0.002203,0.002208,0,0,0,0,0.002208,0,0,0,0.446176,0.487007,0.564713,0
0.045977,0.011494,0,0,0,0,0.034884,0.011628,0,0,0,0.349749,0.361107,0.413199,0
0.006061,0.009091,0,0,0,0,0.00304,0,0,0,0,0.286963,0.302543,0.338642,0
0,0,0,0,0,0,0,0,0,0,0,0.154466,0.158597,0.166718,0
0,0.01002,0,0,0,0.002008,0.004016,0.004016,0.004016,0,0,0.583522,0.635454,0.739988,0
0,0,0,0,0,0,0,0,0,0,0,0.755380,0.825775,0.966201,0
0,0.024691,0,0,0,0,0.025,0.025,0,0,0,0.541442,0.579413,0.673411,0
0,0.030172,0,0,0,0.008658,0.004329,0.004329,0.008658,0,0,0.199290,0.199259,0.211385,0
0,0,0,0,0,0,0.04,0,0,0,0,0.206336,0.211921,0.228877,0
0.009804,0.007353,0,0,0,0.002457,0.007371,0.002457,0.002457,0.002457,0,0.433996,0.469750,0.544716,0
0.008097,0.002024,0,0,0.002028,0,0,0,0,0,0,0.652367,0.712687,0.833415,0
0.029126,0.009709,0,0,0,0,0,0.009804,0,0,0,0.334397,0.360904,0.412646,0
0.003436,0.013746,0,0,0,0,0.017241,0,0.006897,0,0,0.208328,0.207172,0.225019,0
0,0,0,0,0,0,0.009804,0,0,0,0,0.440778,0.477986,0.552041,2
0,0.019608,0,0,0,0,0.011811,0.011811,0,0.007874,0,0.336169,0.361492,0.414318,0
0,0,0,0,0,0,0,0,0,0,0,0.760967,0.832210,0.974497,0
0,0,0,0,0,0,0.025974,0,0,0,0,0.452021,0.484052,0.559164,0
0,0.008621,0,0,0,0,0.008658,0,0,0.008658,0,0.245620,0.250395,0.271814,0
0,0,0,0,0,0,0,0,0,0,0,0.089551,0.088922,0.084309,0
0,0.003704,0,0,0,0,0.007435,0,0,0.003717,0,0.490465,0.532244,0.617697,0
0.00159,0,0,0,0,0,0,0,0,0,0,0.612556,0.668507,0.780037,0
0,0.011765,0,0,0,0,0,0,0,0,0,0.430964,0.454963,0.525362,0
0,0.022222,0,0,0,0,0.026786,0.008929,0.004464,0.004464,0,0.192289,0.188771,0.204175,0
0,0.021277,0,0,0,0,0,0,0,0,0,0.370175,0.396769,0.454203,0
0,0.027778,0,0,0,0.007968,0.007968,0.003984,0.007968,0,0,0.480787,0.519656,0.600402,0
0,0.008571,0,0,0,0,0,0,0.002865,0.002865,0,0.803459,0.877781,1.028361,0
0,0,0,0,0,0,0.026316,0,0,0,0,0.507777,0.545792,0.633586,0
0,0.010169,0,0,0,0.003401,0.006803,0.006803,0.003401,0,0,0.281966,0.288005,0.317710,1
0,0.02,0,0,0,0,0,0,0,0,0,0.373972,0.400857,0.455463,2
0,0,0,0,0,0,0.002625,0,0,0,0,0.509060,0.549486,0.635598,1
0.003521,0.005282,0.001764,0,0.001764,0.001764,0.003527,0,0.001764,0,0,0.574222,0.626034,0.731307,1
0,0.044944,0,0,0.011364,0,0.045455,0.011364,0.011364,0,0,0.343018,0.359645,0.414555,0
0.012712,0.004237,0,0,0,0,0,0,0,0,0,0.128095,0.138955,0.141316,0
