@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature24 numeric
@attribute mono_feature33 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature843 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0.066667,0,0,0,0,0.008403,0,0.538594,0.568941,0.669642,0
0.004175,0.010438,0.009743,0,0,0,0.006964,0.000696,0,0.579471,0.619060,0.727776,0
0.008065,0.025161,0.014516,0.000323,0,0,0.01807,0.004195,0,0.821759,0.878511,1.048014,2
0,0.035225,0.046967,0,0,0,0.02549,0.007843,0,0.801784,0.854921,1.019254,2
0.004878,0.134959,0.06748,0.000813,0,0,0.106591,0.017901,0,0.525538,0.551927,0.649764,1
0,0.027174,0.048913,0,0,0,0.016393,0.005464,0,0.405907,0.427697,0.493238,0
0.004637,0.047913,0.027821,0,0,0,0.040217,0.006187,0,0.566548,0.601252,0.708606,0
0.016484,0.020513,0.023077,0.001832,0,0,0.014291,0.005497,0,0.716583,0.765487,0.910118,0
0,0.041199,0.037453,0,0,0,0.026316,0.007519,0,0.608941,0.647137,0.763375,0
0.001337,0.078877,0.113636,0,0,0,0.053548,0.018742,0,0.268938,0.275512,0.308333,0
0,0.09434,0.025157,0,0,0,0.06962,0.012658,0,0.422990,0.442975,0.517085,0
0.003752,0.074109,0.030957,0.000938,0,0,0.065728,0.005634,0,0.571735,0.605065,0.712795,0
0,0.009153,0.009153,0,0,0,0.00641,0.002289,0,0.850737,0.910242,1.084968,0
0,0.080153,0.057252,0,0,0,0.057471,0.019157,0,0.650186,0.689057,0.817156,0
0,0.063429,0.07334,0.001982,0,0,0.050595,0.012897,0,0.420461,0.440569,0.509154,0
0,0.004202,0.008403,0,0,0,0,0,0,0.616421,0.657038,0.774806,0
0,0.109224,0.0257,0.000918,0,0,0.098255,0.009183,0,0.651245,0.688625,0.814348,0
0,0.011589,0.020695,0.000828,0,0,0.004971,0.003314,0,0.786156,0.839892,0.998449,0
0,0.102703,0.059459,0.002703,0,0,0.081301,0.02168,0,0.716699,0.759375,0.902898,0
0,0.089602,0.121681,0.001106,0,0,0.062016,0.025471,0,0.297610,0.307091,0.342076,1
0,0.176923,0.05,0,0,0,0.158301,0.015444,0,0.572912,0.600462,0.709740,1
0,0.078777,0.014365,0.000463,0,0,0.070932,0.004636,0,0.636375,0.674195,0.795641,0
0.00674,0.00674,0.006385,0,0,0,0.005323,0.001419,0,0.790610,0.845920,1.006300,1
0,0.170909,0.072727,0.007273,0,0,0.142336,0.025547,0,0.681195,0.717834,0.852621,0
0,0.084416,0.148268,0.002165,0,0,0.047671,0.03467,0,0.286092,0.294193,0.328959,0
0.005952,0.029762,0.035714,0,0,0,0.011976,0.011976,0,0.279172,0.292566,0.333708,0
0,0.048461,0.032744,0,0,0,0.038008,0.008519,0,0.655477,0.696822,0.825512,0
0.001048,0.026895,0.016766,0,0,0,0.020615,0.004892,0,0.768681,0.820536,0.975890,1
0,0.066066,0.057057,0.003003,0,0,0.048193,0.01506,0,0.708905,0.753165,0.894942,0
0,0.07631,0.096811,0.002278,0,0,0.04675,0.027366,0,0.345417,0.358651,0.409567,0
0,0.171717,0.060606,0,0,0,0.142132,0.015228,0,0.517477,0.540909,0.637891,0
0,0.108959,0.031477,0.002421,0,0,0.095094,0.009085,0,0.580563,0.612610,0.721886,0
0.007475,0.023492,0.016551,0.001068,0,0,0.019226,0.003471,0,0.823163,0.880176,1.049626,1
0,0.129496,0.086331,0.007194,0,0,0.104693,0.025271,0,0.700451,0.740270,0.879617,0
