@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0,0.539454,0.567835,0.650652,0
0.004175,0.010438,0.061935,0,0.009053,0,0.580468,0.617819,0.705296,0
0.008065,0.025161,0.016452,0,0.005163,0,0.823256,0.876626,1.013849,2
0,0.035225,0.003914,0,0,0,0.803240,0.853065,0.986615,2
0.004878,0.134959,0.061789,0,0.017087,0,0.526196,0.551027,0.631702,1
0,0.027174,0.108696,0,0.054645,0,0.406202,0.427139,0.480640,0
0.004637,0.047913,0.078825,0,0.017788,0,0.567388,0.600201,0.687814,0
0.016484,0.020513,0.00696,0,0.004764,0,0.717881,0.763849,0.880719,0
0,0.041199,0.048689,0,0.015038,0,0.609834,0.645911,0.740183,0
0.001337,0.078877,0.139037,0,0.032129,0,0.268939,0.275365,0.303957,0
0,0.09434,0.132075,0,0.075949,0,0.423327,0.442465,0.504240,0
0.003752,0.074109,0.04409,0,0.037559,0,0.572491,0.603980,0.691584,0
0,0.009153,0.010526,0,0.007784,0,0.852271,0.908278,1.049404,0
0,0.080153,0.003817,0,0.02682,0,0.651228,0.687656,0.792101,0
0,0.063429,0.089197,0,0.046627,0,0.420766,0.439967,0.496376,0
0,0.004202,0.096639,0,0.07173,0,0.617248,0.655847,0.751342,0
0,0.109224,0.057825,0,0.011019,0,0.652152,0.687461,0.790228,0
0,0.011589,0.021523,0,0.004143,0,0.787513,0.838132,0.966338,0
0,0.102703,0.002703,0,0.00813,0,0.717891,0.757839,0.875064,0
0,0.089602,0.105088,0,0.044297,0,0.297616,0.306784,0.335722,1
0,0.176923,0.092308,0,0.007722,0,0.573606,0.599609,0.690287,1
0,0.078777,0.088044,0,0.016226,0,0.637219,0.673110,0.772267,0
0.00674,0.00674,0.012416,0,0.01171,0,0.792020,0.844107,0.973406,1
0,0.170909,0,0,0,0,0.682245,0.716469,0.826962,0
0,0.084416,0.126623,0,0.055255,0,0.286041,0.293957,0.323457,0
0.005952,0.029762,0.202381,0,0.05988,0,0.279254,0.292429,0.327153,0
0,0.048461,0.072692,0,0.005242,0,0.656559,0.695509,0.800654,0
0.001048,0.026895,0.019211,0,0.009783,0,0.770013,0.818823,0.944564,1
0,0.066066,0.021021,0,0.003012,0,0.710087,0.751621,0.867129,0
0,0.07631,0.178815,0,0.036488,0,0.345510,0.358391,0.401708,0
0,0.171717,0.161616,0,0.015228,0,0.518009,0.540298,0.621843,0
0,0.108959,0.100484,0,0.036947,0,0.581252,0.611674,0.701372,0
0.007475,0.023492,0.013081,0,0.008812,0,0.824669,0.878267,1.015345,1
0,0.129496,0,0,0,0,0.701587,0.738775,0.852834,0
0,0.014756,0.030647,0,0.022727,0,0.354791,0.367840,0.405888,0
0.035156,0.039062,0.050781,0,0.015686,0,0.069961,0.078240,0.071678,2
0.020833,0.068376,0.10844,0,0.008552,0,0.406730,0.429159,0.489288,2
0.00163,0.012225,0.007335,0,0.003261,0,0.794412,0.845514,0.975392,2
0,0.072165,0.013746,0,0.010345,0,0.607112,0.637997,0.734769,0
0,0.044745,0.079084,0,0.060417,0,0.293075,0.301329,0.332096,0
0,0.175214,0.128205,0,0.051502,0,0.523942,0.546470,0.627404,2
0,0.11353,0.089684,0,0.01556,0,0.602711,0.634804,0.729020,1
0.001483,0.003955,0.011369,0,0.01088,0,0.770592,0.820577,0.943373,1
0,0.191781,0,0,0,0,0.579443,0.603746,0.695298,0
0,0.17037,0.104762,0,0.026483,0,0.310686,0.315839,0.349683,0
0,0.167173,0.133739,0,0.02439,0,0.451351,0.468547,0.534627,1
0.011599,0.104391,0.074565,0,0.019071,0,0.495731,0.520347,0.594761,0
0.02871,0.018978,0.007786,0,0.00779,0,0.675630,0.719092,0.827817,0
0,0.105263,0.024561,0,0.003521,0,0.506515,0.531252,0.608026,0
0,0.036949,0.117998,0,0.053699,0,0.327701,0.339523,0.378814,0
0,0.033951,0.157407,0,0.01548,0,0.639399,0.677134,0.781461,0
0,0.066895,0.066895,0,0.035193,0,0.602088,0.635585,0.727969,0
0,0.013477,0.004717,0,0.006069,0,0.867194,0.923911,1.068244,0
0,0.023256,0.106312,0,0.016667,0,0.713171,0.757993,0.874741,0
0,0.049065,0.101636,0,0.044444,0,0.304164,0.313583,0.346125,0
0,0.110638,0.051064,0,0,0,0.382368,0.399204,0.452141,0
0.011029,0.106005,0.064951,0,0.042918,0,0.444979,0.465674,0.525658,0
0,0.023826,0.010512,0,0.008415,0,0.837434,0.891498,1.030447,0
0,0.208333,0,0,0.003484,0,0.612763,0.640219,0.737619,0
0.00365,0.088808,0.046229,0,0.062119,0,0.263581,0.268569,0.295966,0
0,0.147368,0.105263,0,0.010582,0,0.362033,0.373807,0.426220,0
0.014318,0.10324,0.082894,0,0.009804,0,0.575268,0.606025,0.696014,0
0,0.007274,0.012124,0,0.010674,0,0.803794,0.856439,0.987038,0
0,0.096667,0,0,0,0,0.687522,0.724521,0.836067,0
0,0.152952,0.144007,0,0.037601,0,0.388301,0.400308,0.452000,0
0,0.026432,0.202643,0,0.039823,0,0.398125,0.414899,0.473711,0
0,0.075452,0.063762,0,0.02234,0,0.577096,0.608564,0.695580,0
0.002949,0.018873,0.016219,0,0.007965,0,0.809379,0.861724,0.995237,2
0,0.111486,0.016892,0,0,0,0.661034,0.695680,0.802930,0
0,0.153012,0.226506,0,0.030157,0,0.340621,0.350040,0.393440,0
0,0.051643,0.112676,0,0.042453,0,0.506385,0.533652,0.604388,0
0,0.107567,0.092558,0,0.01627,0,0.601190,0.632643,0.727450,0
0.050741,0.005211,0.008777,0,0.003841,0,0.287966,0.311264,0.348297,1
0.124579,0,0,0,0,0,0.034407,0.043931,0.032160,0
0.024752,0.00198,0.011881,0,0.003964,0,0.046647,0.059564,0.045851,0
0.197248,0.004587,0.151376,0,0.023041,0,0.125201,0.129605,0.135189,0
0.059829,0.095571,0.069153,0,0.013219,0,0.378670,0.398625,0.451771,1
0.021802,0.011919,0.017733,0,0.00727,0,0.714001,0.761122,0.877709,2
0.036232,0.086957,0.057971,0,0.007273,0,0.504383,0.533215,0.611491,0
0.011659,0.087892,0.085202,0,0.022442,0,0.184360,0.190516,0.201182,0
0.115108,0.068345,0.057554,0.00361,0.032491,0,0.250081,0.262468,0.288687,1
0.07343,0.021256,0.048309,0,0.016441,0,0.316101,0.337244,0.376749,0
0.04126,0.009377,0.010128,0,0.010507,0,0.646504,0.689564,0.793369,1
0,0.063333,0,0,0,0,0.642121,0.680768,0.782844,0
0.030941,0.032178,0.037129,0,0.022305,0,0.153392,0.163289,0.165526,1
0,0.149254,0.029851,0,0.025,0,0.484964,0.504853,0.575178,0
0.004945,0.050209,0.03081,0,0.010654,0,0.697648,0.740066,0.852136,0
0.004135,0.012405,0.004824,0,0.011724,0,0.794977,0.847243,0.978201,0
0.018927,0.148265,0,0,0,0,0.457147,0.478656,0.546764,0
0.005484,0.091408,0.070384,0,0.043916,0,0.309850,0.319705,0.355536,0
0,0.097826,0.043478,0,0.04918,0,0.375411,0.390769,0.440810,0
0,0.059493,0.055993,0,0.028897,0,0.652065,0.690215,0.792638,0
0.041223,0.006948,0.011116,0,0.012975,0,0.637335,0.679727,0.780381,0
0.003745,0.074906,0,0,0,0,0.604829,0.639491,0.735961,0
0,0.131522,0.101087,0,0.044614,0,0.312438,0.320094,0.357067,0
0.00995,0.164179,0.004975,0,0.015,0,0.388769,0.399394,0.455533,0
0.015135,0.122162,0.086486,0,0.029221,0,0.465889,0.487755,0.553726,0
0.003564,0.012117,0,0,0,0,0.850075,0.906388,1.048165,0
0,0.098859,0,0,0,0,0.617596,0.650013,0.745938,0
0,0.122538,0.09628,0,0.046002,0,0.303208,0.310873,0.344847,0
0,0.135,0.085,0,0.01005,0,0.498679,0.519349,0.594608,2
0.003234,0.046079,0.05578,0,0.023463,0,0.499305,0.529197,0.604899,0
0.001275,0.01504,0.005608,0,0.00357,0,0.773049,0.822296,0.948852,1
0,0.182825,0.060942,0,0.002778,0,0.578092,0.604580,0.696958,2
0.037223,0.084507,0.077465,0,0.014595,0,0.393577,0.410364,0.463996,2
0,0.152174,0.005435,0,0,0,0.259627,0.260971,0.292205,0
0,0.099822,0.043672,0,0.015165,0,0.539883,0.567110,0.648240,0
0.056106,0.014521,0.013201,0,0.01321,0,0.550971,0.587309,0.672031,0
0.089655,0.158621,0,0,0,0,0.412012,0.426860,0.487884,0
0.009991,0.112625,0.049955,0,0.024545,0,0.346111,0.358710,0.400508,0
0.074534,0.111801,0.043478,0,0.0625,0,0.248675,0.254856,0.278970,0
0.006002,0.033613,0.029412,0,0.015616,0,0.686636,0.729722,0.838772,0
0,0.005692,0.014229,0,0.011959,0,0.852027,0.908235,1.049107,0
0,0.150735,0.003676,0,0.00369,0,0.640501,0.672630,0.774018,0
0,0.134541,0.086675,0,0.050518,0,0.256090,0.258912,0.282356,0
0,0.098837,0.081395,0,0.035088,0,0.257460,0.264246,0.291608,0
0.020558,0.093979,0.026432,0,0.011756,0,0.536765,0.566088,0.646753,0
0.021831,0.004245,0.005458,0,0.009709,0,0.744739,0.794271,0.916689,0
0.058309,0.037901,0,0,0,0,0.396343,0.419477,0.474978,0
0.021627,0.143151,0.048404,0,0.037113,0,0.255312,0.258449,0.280943,0
0.054913,0.034682,0.057803,0,0.02029,0,0.529085,0.561769,0.644846,2
0.003525,0.121034,0.036428,0,0.027059,0,0.440768,0.460954,0.519336,0
0,0.001672,0.010033,0,0.006693,0,0.862440,0.919871,1.062421,0
0,0.145594,0.065134,0,0.019231,0,0.548485,0.575743,0.661526,0
0,0.09185,0.117723,0,0.059585,0,0.296297,0.304588,0.334759,0
0,0.034965,0.27972,0,0.056338,0,0.157067,0.160461,0.168442,0
0,0.035437,0.062016,0,0.022173,0,0.610940,0.647442,0.743788,0
0.010496,0.005248,0.016221,0,0.008115,0,0.720970,0.768603,0.884720,0
0.028169,0.119718,0.003521,0,0,0,0.536053,0.561905,0.646246,0
0,0.22,0.197333,0,0.056075,0,0.242784,0.240296,0.265787,0
0,0.09434,0.050314,0,0.082278,0,0.480004,0.502697,0.572832,0
0,0.059524,0.039286,0,0.0441,0,0.583685,0.616702,0.704794,0
0,0.011121,0.003422,0,0.004281,0,0.896352,0.955558,1.105772,0
0,0.167315,0.003891,0,0.011719,0,0.604812,0.633615,0.729007,0
0,0.095528,0.075203,0,0.046796,0,0.324668,0.333080,0.372247,1
0,0.041667,0.10119,0,0.053892,0,0.459182,0.482883,0.546910,2
0,0.023548,0.076923,0,0.043991,0,0.601840,0.637271,0.730302,1
0.012672,0.013728,0.003168,0,0.003698,0,0.678940,0.723164,0.834321,1
0.043478,0.187291,0,0,0,0,0.454558,0.472360,0.541094,0
0.029151,0.031686,0.069708,0,0.031726,0,0.172349,0.182385,0.191265,0
0.068627,0.083333,0.186275,0,0.059113,0,0.274054,0.284349,0.320360,0
0.013198,0.026396,0.075127,0,0.005081,0,0.442292,0.471710,0.538097,0
0.002604,0.003472,0.006944,0,0.003475,0,0.838106,0.893990,1.033072,0
0.017241,0.12069,0.02069,0,0.00692,0,0.436689,0.456161,0.520439,0
0,0.078889,0.138889,0,0.046719,0,0.246831,0.250751,0.273916,0
