@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0,0,0.538969,0.567835,0.650652,0
0.004175,0.010438,0,0,0.000696,0.009053,0,0.580036,0.617819,0.705296,0
0.008065,0.025161,0,0,0.004195,0.005163,0,0.822581,0.876626,1.013849,2
0,0.035225,0,0,0.009804,0,0,0.802542,0.853065,0.986615,2
0.004878,0.134959,0,0,0.017087,0.017087,0,0.525841,0.551027,0.631702,1
0,0.027174,0,0,0,0.054645,0,0.406145,0.427139,0.480640,0
0.004637,0.047913,0,0,0.003094,0.017788,0,0.566997,0.600201,0.687814,0
0.016484,0.020513,0,0,0.004031,0.004764,0,0.717300,0.763849,0.880719,0
0,0.041199,0,0,0.011278,0.015038,0,0.609460,0.645911,0.740183,0
0.001337,0.078877,0,0,0.016064,0.032129,0,0.268920,0.275365,0.303957,0
0,0.09434,0,0,0.006329,0.075949,0,0.423125,0.442465,0.504240,0
0.003752,0.074109,0,0,0.005634,0.037559,0,0.572148,0.603980,0.691584,0
0,0.009153,0,0,0.002289,0.007784,0,0.851602,0.908278,1.049404,0
0,0.080153,0,0,0.019157,0.02682,0,0.650696,0.687656,0.792101,0
0,0.063429,0,0,0.010913,0.046627,0,0.420655,0.439967,0.496376,0
0,0.004202,0,0,0,0.07173,0,0.616927,0.655847,0.751342,0
0,0.109224,0,0,0.005969,0.011019,0,0.651721,0.687461,0.790228,0
0,0.011589,0,0,0.002486,0.004143,0,0.786931,0.838132,0.966338,0
0,0.102703,0,0,0.01626,0.00813,0,0.717271,0.757839,0.875064,0
0,0.089602,0,0,0.023256,0.044297,0,0.297664,0.306784,0.335722,1
0,0.176923,0,0,0.007722,0.007722,0,0.573209,0.599609,0.690287,1
0,0.078777,0,0,0.003709,0.016226,0,0.636858,0.673110,0.772267,0
0.00674,0.00674,0,0,0.001065,0.01171,0,0.791417,0.844107,0.973406,1
0,0.170909,0,0,0.021898,0,0,0.681671,0.716469,0.826962,0
0,0.084416,0,0,0.03467,0.055255,0,0.286109,0.293957,0.323457,0
0.005952,0.029762,0,0,0.005988,0.05988,0,0.279265,0.292429,0.327153,0
0,0.048461,0,0,0.004587,0.005242,0,0.656032,0.695509,0.800654,0
0.001048,0.026895,0,0,0.002795,0.009783,0,0.769419,0.818823,0.944564,1
0,0.066066,0,0,0.01506,0.003012,0,0.709516,0.751621,0.867129,0
0,0.07631,0,0,0.022805,0.036488,0,0.345486,0.358391,0.401708,0
0,0.171717,0,0,0.010152,0.015228,0,0.517693,0.540298,0.621843,0
0,0.108959,0,0,0.007874,0.036947,0,0.580934,0.611674,0.701372,0
0.007475,0.023492,0,0,0.002937,0.008812,0,0.823989,0.878267,1.015345,1
0,0.129496,0,0,0.021661,0,0,0.700986,0.738775,0.852834,0
0,0.014756,0,0,0.009091,0.022727,0,0.354758,0.367840,0.405888,0
0.035156,0.039062,0,0,0.007843,0.015686,0,0.069500,0.078240,0.071678,2
0.020833,0.068376,0,0,0.001069,0.008552,0,0.406432,0.429159,0.489288,2
