@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1039 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0,0,0,0.542268,0.561344,0.650652,0
0.004175,0.010438,0.061935,0,0.000696,0.006964,0.009053,0,0.583391,0.610743,0.705296,0
0.008065,0.025161,0.016452,0,0.004195,0.002259,0.005163,0,0.827813,0.865424,1.013849,2
0,0.035225,0.003914,0,0.009804,0,0,0,0.807645,0.842261,0.986615,2
0.004878,0.134959,0.061789,0,0.017087,0.010578,0.017087,0,0.528874,0.544899,0.631702,1
0,0.027174,0.108696,0,0,0.016393,0.054645,0,0.408279,0.422948,0.480640,0
0.004637,0.047913,0.078825,0,0.003094,0.010054,0.017788,0,0.570341,0.593311,0.687814,0
0.016484,0.020513,0.00696,0,0.004031,0.001832,0.004764,0,0.721784,0.754253,0.880719,0
0,0.041199,0.048689,0,0.011278,0.015038,0.015038,0,0.613096,0.638303,0.740183,0
0.001337,0.078877,0.139037,0,0.016064,0.014726,0.032129,0,0.270040,0.273584,0.303957,0
0,0.09434,0.132075,0,0.006329,0.018987,0.075949,0,0.425503,0.437979,0.504240,0
0.003752,0.074109,0.04409,0,0.005634,0.01784,0.037559,0,0.575550,0.597026,0.691584,0
0,0.009153,0.010526,0,0.002289,0.002289,0.007784,0,0.857021,0.896692,1.049404,0
0,0.080153,0.003817,0,0.019157,0,0.02682,0,0.654718,0.679344,0.792101,0
0,0.063429,0.089197,0,0.010913,0.018849,0.046627,0,0.422911,0.435652,0.496376,0
0,0.004202,0.096639,0,0,0.021097,0.07173,0,0.620658,0.648155,0.751342,0
0,0.109224,0.057825,0,0.005969,0.005969,0.011019,0,0.655618,0.679438,0.790228,0
0,0.011589,0.021523,0,0.002486,0.001657,0.004143,0,0.791866,0.827643,0.966338,0
0,0.102703,0.002703,0,0.01626,0,0.00813,0,0.721733,0.748562,0.875064,0
0,0.089602,0.105088,0,0.023256,0.014396,0.044297,0,0.298861,0.304727,0.335722,1
0,0.176923,0.092308,0,0.007722,0.007722,0.007722,0,0.576543,0.592890,0.690287,1
0,0.078777,0.088044,0,0.003709,0.006954,0.016226,0,0.640629,0.665342,0.772267,0
0.00674,0.00674,0.012416,0,0.001065,0.004258,0.01171,0,0.796394,0.833451,0.973406,1
0,0.170909,0,0,0.021898,0,0,0,0.685822,0.707881,0.826962,0
0,0.084416,0.126623,0,0.03467,0.018418,0.055255,0,0.287319,0.291884,0.323457,0
