@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature279 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0,0,0,0.548321,0.567835,0.650652,0
0.004175,0.010438,0,0,0,0.006964,0.000696,0,0.588881,0.617819,0.705296,0
0.008065,0.025161,0,0,0,0.01807,0.004195,0,0.837108,0.876626,1.013849,2
0,0.035225,0,0,0,0.02549,0.009804,0,0.816756,0.853065,0.986615,2
0.004878,0.134959,0,0,0,0.106591,0.017087,0,0.534856,0.551027,0.631702,1
0,0.027174,0,0,0,0.016393,0,0,0.412846,0.427139,0.480640,0
0.004637,0.047913,0,0,0,0.040217,0.003094,0,0.576433,0.600201,0.687814,0
0.016484,0.020513,0,0,0,0.014291,0.004031,0,0.729694,0.763849,0.880719,0
0,0.041199,0,0,0,0.026316,0.011278,0,0.619968,0.645911,0.740183,0
0.001337,0.078877,0,0,0,0.053548,0.016064,0,0.272834,0.275365,0.303957,0
0,0.09434,0,0,0,0.06962,0.006329,0,0.430406,0.442465,0.504240,0
0.003752,0.074109,0,0,0,0.065728,0.005634,0,0.582081,0.603980,0.691584,0
0,0.009153,0,0,0,0.00641,0.002289,0,0.866661,0.908278,1.049404,0
0,0.080153,0,0,0,0.057471,0.019157,0,0.662139,0.687656,0.792101,0
0,0.063429,0,0,0,0.050595,0.010913,0,0.427766,0.439967,0.496376,0
0,0.004202,0,0,0,0,0,0,0.627696,0.655847,0.751342,0
0,0.109224,0,0,0,0.098255,0.005969,0,0.663105,0.687461,0.790228,0
0,0.011589,0,0,0,0.004971,0.002486,0,0.800800,0.838132,0.966338,0
0,0.102703,0,0,0,0.081301,0.01626,0,0.729922,0.757839,0.875064,0
0,0.089602,0,0,0,0.062016,0.023256,0,0.301755,0.306784,0.335722,1
0,0.176923,0,0,0,0.158301,0.007722,0,0.583212,0.599609,0.690287,1
0,0.078777,0,0,0,0.070932,0.003709,0,0.647942,0.673110,0.772267,0
0.00674,0.00674,0,0,0,0.005323,0.001065,0,0.805216,0.844107,0.973406,1
0,0.170909,0,0,0,0.142336,0.021898,0,0.693668,0.716469,0.826962,0
0,0.084416,0,0,0,0.047671,0.03467,0,0.290534,0.293957,0.323457,0
0.005952,0.029762,0,0,0,0.011976,0.005988,0,0.283478,0.292429,0.327153,0
0,0.048461,0,0,0,0.038008,0.004587,0,0.667098,0.695509,0.800654,0
0.001048,0.026895,0,0,0,0.020615,0.002795,0,0.782929,0.818823,0.944564,1
0,0.066066,0,0,0,0.048193,0.01506,0,0.722018,0.751621,0.867129,0
0,0.07631,0,0,0,0.04675,0.022805,0,0.351038,0.358391,0.401708,0
0,0.171717,0,0,0,0.142132,0.010152,0,0.526689,0.540298,0.621843,0
0,0.108959,0,0,0,0.095094,0.007874,0,0.591038,0.611674,0.701372,0
0.007475,0.023492,0,0.000267,0,0.019226,0.002937,0,0.838456,0.878267,1.015345,1
0,0.129496,0,0,0,0.104693,0.021661,0,0.713336,0.738775,0.852834,0
0,0.014756,0,0,0,0.004545,0.009091,0,0.360495,0.367840,0.405888,0
0.035156,0.039062,0,0,0,0.027451,0.007843,0,0.064599,0.078240,0.071678,2
0.020833,0.068376,0,0,0,0.061999,0.001069,0,0.412387,0.429159,0.489288,2
0.00163,0.012225,0,0,0,0.007746,0.002854,0,0.807744,0.845514,0.975392,2
