@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0.539609,0.568903,0.650652,0
0.004175,0.010438,0,0,0.000696,0.580711,0.619333,0.705296,0
0.008065,0.025161,0,0,0.004195,0.823541,0.879260,1.013849,2
0,0.035225,0,0,0.009804,0.803458,0.855494,0.986615,2
0.004878,0.134959,0,0,0.017087,0.526381,0.552524,0.631702,1
0,0.027174,0,0,0,0.406681,0.428037,0.480640,0
0.004637,0.047913,0,0,0.003094,0.567660,0.601872,0.687814,0
0.016484,0.020513,0,0,0.004031,0.718122,0.766003,0.880719,0
0,0.041199,0,0,0.011278,0.610179,0.647599,0.740183,0
0.001337,0.078877,0,0,0.016064,0.269222,0.275678,0.303957,0
0,0.09434,0,0,0.006329,0.423671,0.443842,0.504240,0
0.003752,0.074109,0,0,0.005634,0.572809,0.605531,0.691584,0
0,0.009153,0,0,0.002289,0.852612,0.910905,1.049404,0
0,0.080153,0,0,0.019157,0.651415,0.689464,0.792101,0
0,0.063429,0,0,0.010913,0.421161,0.440780,0.496376,0
0,0.004202,0,0,0,0.617751,0.657768,0.751342,0
0,0.109224,0,0,0.005969,0.652440,0.689377,0.790228,0
0,0.011589,0,0,0.002486,0.787864,0.840432,0.966338,0
0,0.102703,0,0,0.01626,0.718039,0.759933,0.875064,0
0,0.089602,0,0,0.023256,0.297973,0.306900,0.335722,1
0,0.176923,0,0,0.007722,0.573786,0.601502,0.690287,1
0,0.078777,0,0,0.003709,0.637602,0.675007,0.772267,0
0.00674,0.00674,0,0,0.001065,0.792356,0.846493,0.973406,1
0,0.170909,0,0,0.021898,0.682332,0.718463,0.826962,0
0,0.084416,0,0,0.03467,0.286429,0.294298,0.323457,0
0.005952,0.029762,0,0,0.005988,0.279693,0.293540,0.327153,0
0,0.048461,0,0,0.004587,0.656790,0.697523,0.800654,0
0.001048,0.026895,0,0,0.002795,0.770323,0.821136,0.944564,1
0,0.066066,0,0,0.01506,0.710307,0.753708,0.867129,0
0,0.07631,0,0,0.022805,0.345917,0.359249,0.401708,0
0,0.171717,0,0,0.010152,0.518238,0.542245,0.621843,0
0,0.108959,0,0,0.007874,0.581603,0.613503,0.701372,0
0.007475,0.023492,0,0,0.002937,0.824946,0.880890,1.015345,1
0,0.129496,0,0,0.021661,0.701697,0.740793,0.852834,0
0,0.014756,0,0,0.009091,0.355181,0.367611,0.405888,0
0.035156,0.039062,0,0,0.007843,0.069354,0.078276,0.071678,2
0.020833,0.068376,0,0,0.001069,0.406861,0.430615,0.489288,2
0.00163,0.012225,0,0,0.002854,0.794720,0.847840,0.975392,2
0,0.072165,0,0,0.017241,0.607201,0.639555,0.734769,0
0,0.044745,0,0,0.021875,0.293392,0.301380,0.332096,0
0,0.175214,0,0,0.004292,0.524204,0.548333,0.627404,2
0,0.11353,0,0,0.002593,0.602971,0.636685,0.729020,1
0.001483,0.003955,0,0,0.000495,0.771010,0.822669,0.943373,1
0,0.191781,0,0,0.027523,0.579447,0.605277,0.695298,0
0,0.17037,0,0,0.037076,0.310972,0.316166,0.349683,0
0,0.167173,0,0,0.012195,0.451615,0.469944,0.534627,1
0.011599,0.104391,0,0,0.007463,0.495960,0.521761,0.594761,0
0.02871,0.018978,0,0,0.002921,0.675890,0.721105,0.827817,0
0,0.105263,0,0,0.021127,0.506665,0.532520,0.608026,0
0,0.036949,0,0,0.02148,0.328073,0.339940,0.378814,0
0,0.033951,0,0,0.009288,0.639750,0.679452,0.781461,0
0,0.066895,0,0,0.0103,0.602448,0.637255,0.727969,0
0,0.013477,0,0,0.002697,0.867512,0.926592,1.068244,0
0,0.023256,0,0,0,0.713559,0.760440,0.874741,0
0,0.049065,0,0,0.012865,0.304569,0.313742,0.346125,0
0,0.110638,0,0,0.017094,0.382562,0.400015,0.452141,0
0.011029,0.106005,0,0,0.007971,0.445374,0.466578,0.525658,0
0,0.023826,0,0,0.003506,0.837746,0.894099,1.030447,0
0,0.208333,0,0,0.010453,0.612824,0.641955,0.737619,0
0.00365,0.088808,0,0,0.029233,0.263784,0.268602,0.295966,0
0,0.147368,0,0,0.015873,0.362129,0.374945,0.426220,0
0.014318,0.10324,0,0,0.004525,0.575536,0.607846,0.696014,0
0,0.007274,0,0,0.001456,0.804176,0.858793,0.987038,0
0,0.096667,0,0,0.0301,0.687631,0.726426,0.836067,0
0,0.152952,0,0,0.023277,0.388629,0.401309,0.452000,0
0,0.026432,0,0,0.004425,0.398436,0.416214,0.473711,0
0,0.075452,0,0,0.001064,0.577464,0.610062,0.695580,0
0.002949,0.018873,0,0,0.00177,0.809696,0.864215,0.995237,2
0,0.111486,0,0,0.016949,0.661142,0.697585,0.802930,0
0,0.153012,0,0,0.012063,0.341057,0.351148,0.393440,0
0,0.051643,0,0,0.004717,0.506929,0.534887,0.604388,0
0,0.107567,0,0,0.006884,0.601473,0.634546,0.727450,0
0.050741,0.005211,0,0,0.001372,0.287896,0.312396,0.348297,1
0.124579,0,0,0,0,0.033738,0.044057,0.032160,0
0.024752,0.00198,0,0,0.000991,0.045656,0.059271,0.045851,0
0.197248,0.004587,0.004608,0,0.004608,0.125509,0.129974,0.135189,0
0.059829,0.095571,0,0,0.003888,0.378663,0.399729,0.451771,1
0.021802,0.011919,0,0,0.002035,0.714273,0.763399,0.877709,2
0.036232,0.086957,0,0,0.014545,0.504490,0.534861,0.611491,0
0.011659,0.087892,0,0,0.024237,0.184225,0.190453,0.201182,0
0.115108,0.068345,0,0.00361,0,0.250382,0.262992,0.288687,1
0.07343,0.021256,0,0,0.000967,0.316083,0.337957,0.376749,0
0.04126,0.009377,0.00075,0,0.001876,0.646730,0.691578,0.793369,1
0,0.063333,0,0,0.016722,0.642132,0.682481,0.782844,0
0.030941,0.032178,0,0,0.009913,0.153178,0.162799,0.165526,1
0,0.149254,0,0,0.02,0.485158,0.505893,0.575178,0
0.004945,0.050209,0,0,0.006469,0.697931,0.742135,0.852136,0
0.004135,0.012405,0,0,0.002759,0.795287,0.849688,0.978201,0
0.018927,0.148265,0,0,0.018987,0.457196,0.479896,0.546764,0
0.005484,0.091408,0,0,0.025618,0.310081,0.319993,0.355536,0
0,0.097826,0,0,0.010929,0.375599,0.391434,0.440810,0
0,0.059493,0,0,0.003503,0.652428,0.692118,0.792638,0
0.041223,0.006948,0,0,0.000927,0.637633,0.681620,0.780381,0
0.003745,0.074906,0,0,0.011278,0.604933,0.641260,0.735961,0
0,0.131522,0,0,0.01741,0.312627,0.320568,0.357067,0
0.00995,0.164179,0,0,0.04,0.388726,0.400097,0.455533,0
0.015135,0.122162,0,0,0.008658,0.466242,0.488968,0.553726,0
0.003564,0.012117,0,0,0.001427,0.850365,0.909058,1.048165,0
0,0.098859,0,0,0.026718,0.617787,0.651477,0.745938,0
0,0.122538,0,0,0.015334,0.303554,0.311237,0.344847,0
0,0.135,0,0,0.01005,0.498856,0.520672,0.594608,2
0.003234,0.046079,0,0,0.002427,0.499426,0.530665,0.604899,0
0.001275,0.01504,0,0,0.005099,0.773315,0.824564,0.948852,1
0,0.182825,0,0,0.008333,0.578212,0.606436,0.696958,2
0.037223,0.084507,0,0,0.011072,0.393766,0.411171,0.463996,2
0,0.152174,0,0,0.027322,0.259534,0.261037,0.292205,0
0,0.099822,0,0,0.007136,0.540107,0.568462,0.648240,0
0.056106,0.014521,0,0,0.001321,0.551199,0.588891,0.672031,0
0.089655,0.158621,0,0,0.038062,0.411950,0.427879,0.487884,0
0.009991,0.112625,0,0,0.021818,0.346266,0.359081,0.400508,0
0.074534,0.111801,0,0,0.0125,0.248983,0.254992,0.278970,0
0.006002,0.033613,0,0,0.004805,0.686975,0.731723,0.838772,0
0,0.005692,0,0,0.001139,0.852391,0.910859,1.049107,0
0,0.150735,0,0,0.02583,0.640641,0.674369,0.774018,0
0,0.134541,0,0,0.032383,0.256421,0.258919,0.282356,0
0,0.098837,0,0,0.017544,0.257622,0.264526,0.291608,0
0.020558,0.093979,0,0,0.005878,0.537024,0.567509,0.646753,0
0.021831,0.004245,0,0,0.00182,0.745001,0.796620,0.916689,0
0.058309,0.037901,0,0,0.01462,0.396429,0.420347,0.474978,0
0.021627,0.143151,0,0,0.030928,0.255571,0.258350,0.280943,0
0.054913,0.034682,0,0,0.005797,0.529222,0.563482,0.644846,2
0.003525,0.121034,0,0,0.004706,0.441066,0.461704,0.519336,0
0,0.001672,0,0,0,0.862812,0.922519,1.062421,0
0,0.145594,0,0,0.019231,0.548636,0.577491,0.661526,0
0,0.09185,0,0,0.031088,0.296762,0.304851,0.334759,0
0,0.034965,0,0,0,0.157644,0.161042,0.168442,0
0,0.035437,0,0,0.004435,0.611221,0.649248,0.743788,0
0.010496,0.005248,0,0,0.001432,0.721301,0.770765,0.884720,0
0.028169,0.119718,0,0,0.028269,0.536075,0.563384,0.646246,0
0,0.22,0,0,0.026702,0.243064,0.240977,0.265787,0
0,0.09434,0,0,0.012658,0.480284,0.503889,0.572832,0
0,0.059524,0,0,0.009535,0.584060,0.618177,0.704794,0
