@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0,0,0.003765,0,0,0.788728,0.845617,0.983915,2
9,0,0,0,0.009836,0,0,0.770634,0.823409,0.957562,2
9,0.026144,0,0,0.006579,0,0,0.058662,0.066532,0.058681,2
9,0.008905,0,0,0.000891,0,0,0.372278,0.396260,0.456019,2
9,0.001359,0,0,0.00136,0,0,0.762317,0.816838,0.948785,2
9,0,0,0,0,0,0,0.488899,0.514506,0.593824,2
9,0.001966,0,0,0.00295,0,0,0.773777,0.829578,0.964459,2
9,0.016473,0,0,0.002908,0,0,0.678773,0.728283,0.845452,2
9,0,0,0,0.008403,0,0,0.453148,0.476549,0.551024,2
9,0,0,0,0.023148,0,0,0.544919,0.576086,0.669173,2
9,0.030176,0,0,0.006711,0,0,0.364464,0.383002,0.437354,2
9,0.038647,0,0,0.009709,0,0,0.498888,0.532925,0.615296,2
9,0,0,0,0,0,0,0.426102,0.450915,0.514670,2
9,0,0,0,0.007133,0,0,0.597226,0.635880,0.735745,2
9,0,0,0,0.017685,0,0,0.297470,0.304392,0.339407,2
9,0,0,0,0.00417,0,0,0.817200,0.875719,1.018968,2
9,0,0,0,0.008547,0,0,0.375742,0.393082,0.454953,2
9,0,0,0,0.017986,0,0,0.309851,0.317544,0.357681,2
9,0.00309,0,0,0.004329,0,0,0.764025,0.818942,0.952185,2
9,0.012163,0,0,0.004233,0,0,0.712907,0.764635,0.888670,2
9,0,0,0,0.006065,0,0,0.666313,0.710989,0.825421,2
9,0,0,0,0.005382,0,0,0.739048,0.790237,0.918823,2
9,0,0,0,0.002326,0,0,0.807511,0.865202,1.006506,2
9,0,0,0,0.020183,0,0,0.283022,0.292523,0.327561,2
9,0.003831,0,0,0.002558,0,0,0.535824,0.568684,0.658569,2
9,0.00252,0,0,0.001261,0,0,0.792520,0.849670,0.988380,2
9,0,0,0,0.013769,0,0,0.276544,0.291476,0.325884,2
9,0,0,0,0.018868,0,0,0.590417,0.623201,0.720137,0
9,0.002028,0,0,0.020325,0,0,0.241025,0.244279,0.268890,0
9,0,0,0,0,0,0,0.829863,0.890499,1.035801,0
9,0.00313,0,0,0.009404,0,0,0.536448,0.570129,0.656802,0
9,0,0,0,0.022727,0,0,0.628431,0.665983,0.772802,0
9,0,0,0,0.014842,0,0,0.223165,0.225498,0.245795,0
9,0,0,0,0.021127,0,0,0.443221,0.464315,0.532328,0
9,0,0,0,0.003795,0,0,0.321524,0.333043,0.371472,0
9,0.040541,0,0,0.020408,0,0,0.239629,0.251947,0.284537,0
9,0,0,0,0.01676,0,0,0.454381,0.480872,0.552169,0
9,0,0,0,0.02521,0,0,0.398712,0.420452,0.483904,0
9,0,0,0,0.017544,0,0,0.436817,0.463595,0.532634,0
9,0,0,0,0.02809,0,0,0.572931,0.603355,0.699149,0
