@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature33 numeric
@attribute bi_feature330 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0.016129,0.000538,0,0,0,0.003765,0,0.000538,0.791067,0.835283,1.009054,2
9,0,0.022876,0.003268,0,0,0,0.009836,0,0,0.772924,0.813408,0.981465,2
9,0.026144,0.026144,0,0,0,0,0.006579,0,0,0.058152,0.067114,0.061131,2
9,0.008905,0.059662,0.00089,0,0,0,0.000891,0,0,0.373270,0.392038,0.466240,2
9,0.001359,0.005435,0,0,0,0,0.00136,0,0,0.764552,0.806900,0.972639,2
9,0,0.157143,0,0,0,0,0,0,0,0.490350,0.509081,0.606113,2
9,0.001966,0.014251,0.001474,0,0,0,0.00295,0,0,0.776059,0.819467,0.988908,2
9,0.016473,0.009205,0.001453,0,0,0,0.002908,0,0,0.680758,0.719458,0.867157,2
9,0.038647,0.028986,0,0,0,0,0.009709,0,0,0.500250,0.526857,0.630631,2
9,0,0.03,0,0,0,0,0,0,0,0.427253,0.446185,0.526241,2
9,0,0.059829,0.002849,0,0,0,0.007133,0,0,0.598967,0.628526,0.753129,2
9,0,0.05297,0,0,0,0,0.017685,0,0,0.298229,0.301861,0.345505,2
9,0,0.015833,0.0025,0,0,0,0.00417,0,0,0.819621,0.865013,1.044920,2
9,0,0.118644,0,0,0,0,0.008547,0,0,0.376845,0.389005,0.463088,2
9,0,0.039497,0.005386,0,0,0,0.017986,0,0,0.310691,0.314801,0.363874,2
9,0.00309,0.02225,0.001236,0,0,0,0.004329,0,0,0.766273,0.808965,0.976267,2
9,0.012163,0.006875,0.001058,0,0,0,0.004233,0,0.000529,0.714998,0.755315,0.911408,2
9,0,0.052525,0,0,0,0,0.006065,0,0,0.668276,0.702601,0.845221,2
9,0,0.04401,0.000489,0,0,0,0.005382,0,0,0.741242,0.780727,0.941474,2
9,0,0.017041,0,0,0,0,0.002326,0,0,0.809906,0.854640,1.032109,2
9,0,0.054945,0.001832,0,0,0,0.020183,0,0,0.283703,0.290148,0.333731,2
9,0.003831,0.081737,0.006386,0,0,0,0.002558,0,0,0.537390,0.562219,0.673264,2
9,0.00252,0.005041,0.003781,0,0,0,0.001261,0,0,0.794859,0.839269,1.013501,2
9,0,0.056701,0.001718,0,0,0,0.013769,0,0,0.276991,0.289026,0.332674,2
9,0,0.08,0.013333,0,0,0,0.020134,0,0,0.525738,0.545557,0.650848,0
9,0,0.179191,0,0,0,0,0.023256,0,0,0.585915,0.608930,0.729997,0
9,0,0.151163,0.005814,0,0,0,0.035088,0,0,0.614037,0.639102,0.766669,0
9,0.001431,0.007153,0,0,0,0,0.001433,0,0,0.811969,0.857937,1.036756,0
9,0,0.045502,0.002068,0,0,0,0.003106,0,0,0.595508,0.627180,0.751113,0
9,0.056202,0,0,0,0,0,0,0,0,0.019872,0.026582,0.018959,0
9,0,0.064327,0,0,0,0,0.023529,0,0,0.468933,0.486353,0.577688,0
9,0,0.067867,0.004155,0,0,0,0.009709,0,0,0.584296,0.612188,0.733284,0
9,0,0.044776,0,0,0,0,0.022556,0,0,0.270499,0.275926,0.316949,0
9,0.057971,0.014493,0,0,0,0,0.001613,0,0,0.286875,0.305085,0.355948,0
9,0,0.25,0,0,0,0,0.048544,0,0,0.434413,0.442612,0.524644,0
9,0,0.063269,0.003515,0,0,0,0.017606,0,0,0.263224,0.269050,0.306211,0
9,0.028571,0.033929,0.001786,0,0,0,0.019678,0,0,0.192668,0.197146,0.215684,0
9,0.106742,0,0,0,0,0,0,0,0,0.030786,0.041550,0.032361,0
9,0.028736,0.12069,0.017241,0,0,0,0.028902,0,0,0.445458,0.461639,0.547981,0
9,0.03166,0.004633,0,0,0,0,0.001546,0,0,0.603615,0.638199,0.766487,0
9,0,0.017341,0,0,0,0,0.005792,0,0,0.371937,0.386647,0.451369,0
9,0.078261,0.008696,0,0,0,0,0.008772,0,0,0.185476,0.192311,0.213869,0
9,0,0.047934,0.006612,0,0,0,0.006623,0,0,0.391113,0.405759,0.475454,0
9,0,0.079918,0,0,0,0,0.01848,0,0,0.228653,0.227837,0.254510,0
9,0,0.114035,0,0,0,0,0.035398,0,0,0.334362,0.344067,0.405342,0
9,0.011494,0.063218,0.005747,0,0,0,0.034682,0,0,0.406990,0.420134,0.496467,0
9,0,0.044188,0,0,0,0,0,0,0,0.639676,0.673457,0.809498,0
9,0.00235,0.081081,0,0,0,0,0.005882,0,0,0.584540,0.613247,0.734888,0
9,0.012563,0.089196,0.001256,0,0,0,0.005031,0,0,0.536917,0.562587,0.674077,0
9,0.004065,0.101626,0.006775,0,0,0.001357,0.020353,0,0,0.489984,0.510075,0.608003,1
9,0.0217,0.065099,0,0,0,0,0.012681,0,0,0.138565,0.140474,0.148218,1
9,0.00414,0.005322,0,0,0,0,0.001775,0,0,0.759754,0.802807,0.967456,1
9,0.047927,0.080311,0,0,0,0.001297,0.003891,0,0.001297,0.349809,0.367522,0.433578,1
9,0,0.057627,0.001695,0,0,0,0.013582,0,0,0.309164,0.313205,0.360488,1
9,0.007874,0.03937,0.007874,0,0,0,0.007937,0,0,0.045878,0.046416,0.038310,1
9,0.040706,0.050204,0.002714,0.001359,0.001359,0,0.006793,0,0,0.267173,0.280378,0.326148,1
9,0,0.019208,0.000582,0,0,0,0.003494,0,0,0.739904,0.780452,0.940238,1
9,0.035928,0.005988,0,0,0,0,0.006024,0,0,0.326899,0.342350,0.402379,1
9,0,0.04,0,0,0,0,0.008065,0,0,0.302241,0.319663,0.371933,1
9,0,0.160256,0,0,0,0,0.012903,0,0,0.537805,0.559371,0.669941,1
9,0,0.046512,0.003578,0,0,0,0.012545,0,0,0.205011,0.205781,0.225662,1
9,0,0.043478,0.001739,0,0,0,0.013937,0,0,0.313563,0.323304,0.373189,1
9,0,0.003241,0.001621,0,0,0,0,0,0,0.855908,0.904708,1.093642,1
9,0,0.055351,0.00738,0,0,0,0.014787,0,0,0.272471,0.277669,0.313429,1
9,0.00534,0.017802,0.004005,0,0,0,0.003562,0,0,0.796931,0.841544,1.016200,1
9,0,0.067358,0,0,0,0,0.03125,0,0,0.544730,0.566574,0.676159,1
9,0.037893,0.016636,0.000924,0,0,0,0.0037,0,0,0.591340,0.624038,0.750456,1
9,0.004702,0.039185,0.001567,0,0,0,0.012559,0.00157,0,0.254112,0.265592,0.298680,1
9,0,0.002471,0,0,0,0,0.000824,0,0,0.739533,0.780868,0.938686,1
9,0,0.041667,0,0,0,0,0,0,0,0.527863,0.553188,0.660434,1
9,0.007042,0.010563,0.001761,0,0,0,0.002643,0,0,0.645639,0.681855,0.822113,1
9,0,0.050562,0.005618,0,0,0,0.028249,0,0,0.622260,0.650686,0.779709,1
9,0.003866,0.04768,0,0,0,0,0.009032,0,0,0.253267,0.262483,0.299619,1
9,0,0.061728,0.003527,0,0,0,0.022968,0,0,0.279386,0.283955,0.326628,1
9,0.005222,0.058747,0.003916,0,0,0,0.005229,0,0,0.572304,0.600833,0.719889,1
9,0.040695,0.002286,0,0,0,0,0.001372,0,0,0.275567,0.295448,0.347231,1
9,0.02607,0.004679,0.000668,0,0,0,0.002676,0,0,0.758733,0.801689,0.968271,1
9,0,0.006446,0,0,0,0,0.003226,0,0,0.794798,0.838655,1.012201,1
9,0.013356,0.01419,0.000835,0,0,0,0.004177,0,0,0.703680,0.742471,0.894670,1
