@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature33 numeric
@attribute bi_feature330 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0.013889,0,0,0,0,0,0,0.473223,0.493876,0.589448,0
9,0.00348,0.009281,0,0,0,0,0.001161,0,0,0.550288,0.581798,0.694222,0
9,0.006989,0.016129,0.000538,0,0,0,0.003765,0,0.000538,0.791067,0.835283,1.009054,2
9,0,0.022876,0.003268,0,0,0,0.009836,0,0,0.772924,0.813408,0.981465,2
9,0.004065,0.101626,0.006775,0,0,0.001357,0.020353,0,0,0.489984,0.510075,0.608003,1
9,0,0.018182,0.009091,0,0,0,0,0,0,0.372780,0.388847,0.455243,0
9,0.002577,0.041237,0.001289,0,0,0,0.002581,0,0,0.530043,0.556858,0.665560,0
9,0.013431,0.012821,0.003663,0,0,0,0.005498,0,0,0.682845,0.720396,0.867729,0
9,0,0.025,0,0,0,0,0.006289,0,0,0.569560,0.598435,0.715742,0
9,0,0.046875,0,0,0,0,0.008949,0,0,0.245768,0.249529,0.284130,0
9,0,0.063158,0,0,0,0,0.010638,0,0,0.388715,0.405091,0.477724,0
9,0.00313,0.065728,0.004695,0,0,0,0.009404,0,0,0.537962,0.563691,0.672149,0
9,0,0.006102,0.000763,0,0,0,0.00229,0,0,0.821792,0.868257,1.048346,0
9,0,0.063694,0.006369,0,0,0,0.019231,0,0,0.619263,0.649180,0.779908,0
9,0,0.047934,0.006612,0,0,0,0.006623,0,0,0.391113,0.405759,0.475454,0
9,0,0,0,0,0,0,0,0,0,0.592087,0.624352,0.746077,0
9,0,0.096404,0.002295,0,0,0,0.009188,0,0,0.617796,0.647267,0.776196,0
9,0,0.004138,0.001379,0,0,0,0.001381,0,0,0.756012,0.797836,0.961197,0
9,0,0.063063,0.009009,0,0,0,0.0181,0,0,0.687745,0.720638,0.866811,0
9,0,0.055351,0.00738,0,0,0,0.014787,0,0,0.272471,0.277669,0.313429,1
9,0,0.160256,0,0,0,0,0.012903,0,0,0.537805,0.559371,0.669941,1
9,0,0.067954,0.001544,0,0,0,0.006182,0,0,0.601322,0.631197,0.756000,0
9,0.00414,0.005322,0,0,0,0,0.001775,0,0,0.759754,0.802807,0.967456,1
9,0,0.127273,0.024242,0,0,0,0.02439,0,0,0.649601,0.677766,0.814334,0
9,0,0.043321,0.00722,0,0,0,0.012658,0,0,0.265713,0.268606,0.303321,0
9,0,0.01,0,0,0,0,0.010101,0,0,0.254546,0.264611,0.305280,0
9,0,0.037118,0,0,0,0,0.003279,0,0,0.624290,0.656597,0.788642,0
9,0,0.019208,0.000582,0,0,0,0.003494,0,0,0.739904,0.780452,0.940238,1
9,0,0.050251,0.01005,0,0,0,0.015152,0,0,0.680095,0.714115,0.859201,0
9,0,0.043643,0.005693,0,0,0,0.013308,0,0,0.321920,0.330882,0.383669,0
9,0,0.134454,0.008403,0,0,0,0.008475,0,0,0.486989,0.506173,0.605534,0
9,0,0.090817,0.009082,0,0,0,0.010101,0,0,0.549388,0.574736,0.686116,0
9,0.00534,0.017802,0.004005,0,0,0,0.003562,0,0,0.796931,0.841544,1.016200,1
9,0,0.10241,0.024096,0,0,0,0.030303,0,0,0.672407,0.702228,0.844021,0
9,0,0.003788,0,0,0,0,0.003795,0,0,0.322300,0.329899,0.377099,0
9,0.026144,0.026144,0,0,0,0,0.006579,0,0,0.058152,0.067114,0.061131,2
9,0.008905,0.059662,0.00089,0,0,0,0.000891,0,0,0.373270,0.392038,0.466240,2
9,0.001359,0.005435,0,0,0,0,0.00136,0,0,0.764552,0.806900,0.972639,2
9,0,0.04023,0.011494,0,0,0,0.011561,0,0,0.572842,0.596552,0.713356,0
9,0,0.013889,0.001736,0,0,0,0.010435,0,0,0.274403,0.277581,0.313902,0
9,0,0.157143,0,0,0,0,0,0,0,0.490350,0.509081,0.606113,2
9,0,0.101124,0.002593,0,0,0,0.002595,0,0,0.568562,0.596002,0.713637,1
9,0,0.002471,0,0,0,0,0.000824,0,0,0.739533,0.780868,0.938686,1
9,0,0.160305,0,0,0,0,0.038462,0,0,0.538776,0.557631,0.666837,0
9,0,0.12522,0.012346,0,0,0,0.021201,0,0,0.289298,0.291059,0.331381,0
9,0,0.126904,0,0,0,0,0.010204,0,0,0.411186,0.424741,0.503347,1
9,0.005525,0.088398,0.002762,0,0,0,0.006916,0,0,0.461285,0.481269,0.573064,0
9,0.021898,0.012165,0,0,0,0,0.002435,0,0,0.643787,0.679004,0.816743,0
