@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0.473529,0.499706,0.579554,0
0.00348,0,0,0.001161,0,0.550570,0.588484,0.679840,0
0.006989,0,0,0.003765,0,0.791549,0.845617,0.987457,2
0,0,0,0.009836,0,0.773424,0.823409,0.961138,2
0.004065,0,0.001357,0.020353,0,0.490264,0.515768,0.597384,1
0,0,0,0,0,0.372795,0.392804,0.447166,0
0.002577,0,0,0.002581,0,0.530356,0.563234,0.652614,0
0.013431,0,0,0.005498,0,0.683227,0.729205,0.849387,0
0,0,0,0.006289,0,0.569804,0.605442,0.701439,0
0,0,0,0.008949,0,0.245829,0.251456,0.281125,0
0,0,0,0.010638,0,0.388967,0.409290,0.469307,0
0.00313,0,0,0.009404,0,0.538197,0.570129,0.659317,0
0,0,0,0.00229,0,0.822247,0.879008,1.025809,0
0,0,0,0.019231,0,0.619657,0.656925,0.764738,0
0,0,0,0.006623,0,0.391156,0.409896,0.467671,0
0,0,0,0,0,0.592374,0.631566,0.730460,0
0,0,0,0.009188,0,0.618092,0.654836,0.761913,0
0,0,0,0.001381,0,0.756385,0.807625,0.941094,0
0,0,0,0.0181,0,0.688193,0.729307,0.849913,0
0,0,0,0.014787,0,0.272329,0.279786,0.309560,1
0,0,0,0.012903,0,0.538139,0.565661,0.658649,1
0,0,0,0.006182,0,0.601565,0.638532,0.741750,0
0.00414,0,0,0.001775,0,0.760145,0.812664,0.946682,1
0,0,0,0.02439,0,0.650000,0.685778,0.799448,0
0,0,0,0.012658,0,0.265678,0.270585,0.299332,0
0,0,0,0.010101,0,0.254638,0.266880,0.299498,0
0,0,0,0.003279,0,0.624710,0.664347,0.772985,0
0,0,0,0.003494,0,0.740312,0.789988,0.920545,1
0,0,0,0.015152,0,0.680497,0.722725,0.841961,0
0,0,0,0.013308,0,0.322022,0.333814,0.377766,0
0,0,0,0.008475,0,0.487357,0.511704,0.595573,0
0,0,0,0.010101,0,0.549650,0.581202,0.673355,0
0.00534,0,0,0.003562,0,0.797416,0.851928,0.994397,1
0,0,0,0.030303,0,0.672816,0.710580,0.827967,0
0,0,0,0.003795,0,0.322110,0.333043,0.373607,0
0.026144,0,0,0.006579,0,0.058553,0.066532,0.057930,2
0.008905,0,0,0.000891,0,0.373538,0.396260,0.457543,2
0.001359,0,0,0.00136,0,0.764969,0.816838,0.952332,2
0,0,0,0.011561,0,0.573299,0.603521,0.700667,0
0,0,0,0.010435,0,0.274402,0.279800,0.310137,0
0,0,0,0,0,0.490665,0.514506,0.596167,2
0,0,0,0.002595,0,0.568887,0.602814,0.700604,1
0,0,0,0.000824,0,0.739795,0.790400,0.919141,1
0,0,0,0.038462,0,0.539121,0.563992,0.656094,0
0,0,0,0.021201,0,0.289195,0.293352,0.328555,0
0,0,0,0.010204,0,0.411409,0.429131,0.495741,1
0.005525,0,0,0.006916,0,0.461522,0.486595,0.563121,0
0.021898,0,0,0.002435,0,0.644092,0.687262,0.799476,0
0,0,0,0.023529,0,0.469126,0.491762,0.567163,0
0,0,0,0.007968,0,0.302494,0.312707,0.352219,0
0,0,0,0.005181,0,0.607348,0.645583,0.752766,0
0,0,0,0.008596,0,0.568651,0.602307,0.697152,0
0,0,0,0.00225,0,0.838779,0.896429,1.046643,0
0,0,0,0,0,0.682402,0.728165,0.848522,0
0,0,0,0.009766,0,0.282424,0.290441,0.323993,0
0,0,0,0.007143,0,0.349131,0.365908,0.419306,0
0.008172,0,0,0.00818,0,0.412823,0.434078,0.496749,0
0,0,0,0.003509,0,0.809885,0.865019,1.009599,0
0,0,0,0.023256,0,0.586240,0.615969,0.717794,0
0.002028,0,0,0.020325,0,0.241608,0.244279,0.270227,0
0,0,0,0.035398,0,0.334630,0.347533,0.399823,0
0.012563,0,0,0.005031,0,0.537211,0.569074,0.661782,0
0,0,0,0.001618,0,0.772603,0.825755,0.961745,0
0,0,0,0.027933,0,0.658582,0.694817,0.808133,0
0,0,0,0.014925,0,0.363921,0.375697,0.428883,0
0,0,0,0,0,0.360935,0.378879,0.437356,0
0,0,0,0,0,0.535290,0.567410,0.656797,0
0.001966,0,0,0.00295,0,0.776492,0.829578,0.967985,2
0,0,0,0.022727,0,0.630739,0.665983,0.775840,0
0,0,0,0.016097,0,0.304195,0.314702,0.358902,0
0,0,0,0.007937,0,0.467122,0.494135,0.567160,0
0,0,0,0.007307,0,0.565864,0.598542,0.696466,0
0.040695,0,0,0.001372,0,0.275734,0.298639,0.338865,1
0.106742,0,0,0,0,0.031096,0.041009,0.029040,0
0.021452,0,0,0,0,0.043428,0.057160,0.042055,0
0.175573,0,0,0,0,0.093078,0.096309,0.100465,0
0.047927,0,0.001297,0.003891,0,0.350078,0.371307,0.425577,1
0.016473,0,0,0.002908,0,0.681126,0.728283,0.848433,2
0.030303,0,0,0.006098,0,0.468097,0.497138,0.575431,0
0.005979,0,0,0.022455,0,0.164861,0.170173,0.179943,0
0.08982,0.006024,0,0,0,0.208819,0.220080,0.244844,1
0.057971,0,0,0.001613,0,0.287083,0.308087,0.348206,0
0.029375,0.000625,0,0.001251,0,0.617870,0.661044,0.768715,1
0,0,0,0.01676,0,0.617707,0.656478,0.760976,0
0.02268,0,0,0.004132,0,0.133278,0.143147,0.145779,1
0,0,0,0.033613,0,0.450815,0.471461,0.543320,0
0.003171,0,0,0.008883,0,0.668879,0.711913,0.828254,0
0.003448,0,0,0.001151,0,0.764122,0.816885,0.952478,0
0.010526,0,0,0.010582,0,0.417453,0.438362,0.506687,0
0.003049,0,0,0.015267,0,0.290157,0.298670,0.334312,0
0,0,0,0.018349,0,0.345328,0.361330,0.411214,0
0,0,0,0.00292,0,0.617321,0.656284,0.762152,0
0.03166,0,0,0.001546,0,0.603845,0.645929,0.750001,0
0,0,0,0.006289,0,0.566231,0.600514,0.698390,0
0,0,0,0.009074,0,0.284792,0.292014,0.328682,0
0,0,0,0.033613,0,0.362671,0.371977,0.426900,0
0.007207,0,0,0.005415,0,0.425837,0.448031,0.515441,0
0.002375,0,0,0.001189,0,0.821602,0.878878,1.026684,0
0,0,0,0.031847,0,0.578037,0.609803,0.706772,0
0,0,0,0.010969,0,0.274064,0.281831,0.316381,0
0,0,0,0.008403,0,0.454742,0.476549,0.553452,2
0.001348,0,0,0.00135,0,0.468351,0.498994,0.576590,0
0.000425,0,0,0.003825,0,0.741714,0.791419,0.922637,1
0,0,0,0.023148,0,0.546919,0.576086,0.671803,2
0.030176,0,0,0.006711,0,0.365580,0.383002,0.439208,2
0,0,0,0.027523,0,0.239959,0.238475,0.268349,0
0,0,0,0.008929,0,0.502760,0.530497,0.614053,0
