@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature843 numeric
@attribute bi_feature888 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0,0,0.004841,0.000538,0.003765,0,0.788711,0.847717,1.018362,2
9,0,0,0,0.006557,0,0.009836,0,0.770643,0.825503,0.990248,2
9,0.026144,0,0,0.006579,0,0.006579,0,0.058376,0.067155,0.060559,2
9,0.008905,0,0,0.004456,0.000891,0.000891,0,0.372335,0.396948,0.470002,2
9,0.001359,0,0,0.002719,0,0.00136,0,0.762297,0.818832,0.981701,2
9,0,0,0,0.014388,0,0,0,0.489118,0.515387,0.611367,2
9,0.001966,0,0,0.002458,0,0.00295,0,0.773759,0.831595,0.998161,2
9,0.016473,0,0,0.002424,0,0.002908,0,0.678741,0.730058,0.875138,2
9,0,0,0,0.008403,0,0.008403,0,0.453318,0.477332,0.566857,2
9,0,0,0,0.013889,0,0.023148,0,0.545081,0.577230,0.690233,2
9,0.030176,0,0,0.00755,0.000839,0.006711,0,0.364549,0.383690,0.449305,2
9,0.038647,0,0,0.009709,0,0.009709,0,0.498865,0.534267,0.635861,2
9,0,0,0,0.010101,0,0,0,0.426168,0.451794,0.529788,2
9,0,0,0,0.011412,0,0.007133,0,0.597285,0.637276,0.759777,2
9,0,0,0,0.0209,0,0.017685,0,0.297585,0.305132,0.345776,2
9,0,0,0,0.002502,0,0.00417,0,0.817186,0.877915,1.054548,2
9,0.00309,0,0,0.004329,0,0.004329,0,0.764009,0.820943,0.985492,2
9,0.012163,0,0,0.002116,0,0.004233,0,0.712879,0.766539,0.919789,2
9,0,0,0,0.005391,0,0.006065,0,0.666385,0.712559,0.852882,2
9,0,0,0,0.005871,0,0.005382,0,0.739085,0.792081,0.950182,2
9,0,0,0,0.002326,0,0.002326,0,0.807500,0.867356,1.041595,2
