@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0.010753,0,0,0.003765,0,0.790251,0.845617,0.983915,2
0,0.003268,0,0,0.009836,0,0.772143,0.823409,0.957562,2
0.026144,0.045752,0,0,0.006579,0,0.059070,0.066532,0.058681,2
0.008905,0.09528,0,0,0.000891,0,0.372978,0.396260,0.456019,2
0.001359,0.004076,0,0,0.00136,0,0.763762,0.816838,0.948785,2
0,0.1,0,0,0,0,0.489610,0.514506,0.593824,2
0.001966,0.010319,0,0,0.00295,0,0.775242,0.829578,0.964459,2
0.016473,0.010659,0,0,0.002908,0,0.680062,0.728283,0.845452,2
0,0.066667,0,0,0.008403,0,0.453935,0.476549,0.551024,2
0,0.041475,0,0,0.023148,0,0.545926,0.576086,0.669173,2
0.030176,0.06119,0,0,0.006711,0,0.365034,0.383002,0.437354,2
0.038647,0.043478,0,0,0.009709,0,0.499819,0.532925,0.615296,2
0,0.08,0,0,0,0,0.426598,0.450915,0.514670,2
0,0.049858,0,0,0.007133,0,0.598246,0.635880,0.735745,2
0,0.078652,0,0,0.017685,0,0.297703,0.304392,0.339407,2
0,0.005833,0,0,0.00417,0,0.818790,0.875719,1.018968,2
0,0.127119,0,0,0.008547,0,0.376403,0.393082,0.454953,2
0,0.13465,0,0,0.017986,0,0.310227,0.317544,0.357681,2
0.00309,0.004326,0,0,0.004329,0,0.765504,0.818942,0.952185,2
0.012163,0.004231,0,0,0.004233,0,0.714301,0.764635,0.888670,2
0,0.051178,0,0,0.006065,0,0.667511,0.710989,0.825421,2
0,0.030318,0,0,0.005382,0,0.740441,0.790237,0.918823,2
0,0.007746,0,0,0.002326,0,0.809061,0.865202,1.006506,2
0,0.128205,0,0,0.020183,0,0.283271,0.292523,0.327561,2
0.003831,0.066411,0,0,0.002558,0,0.536749,0.568684,0.658569,2
0.00252,0.006931,0,0,0.001261,0,0.794047,0.849670,0.988380,2
0,0.041237,0,0,0.013769,0,0.277058,0.291476,0.325884,2
0,0.171429,0,0,0.013554,0,0.284254,0.294555,0.329592,0
0,0,0,0,0.027933,0,0.657467,0.694817,0.805000,0
0,0.073684,0,0,0.010638,0,0.388100,0.409290,0.467489,0
0,0.072654,0,0,0.010101,0,0.548636,0.581202,0.670769,0
0,0.005814,0,0,0.017544,0,0.437787,0.463595,0.532634,0
0,0.101083,0,0,0.012658,0,0.265184,0.270585,0.297906,0
0.003883,0.149515,0,0,0.007782,0,0.387374,0.406214,0.468338,0
0,0.07377,0,0,0.041322,0,0.427824,0.443650,0.510052,0
0.03166,0.006178,0,0,0.001546,0,0.602982,0.645929,0.747408,0
0,0.00365,0,0,0.01218,0,0.737470,0.786264,0.913400,0
0,0.044248,0,0,0,0,0.534418,0.567410,0.654188,0
0,0.020833,0,0,0.003795,0,0.321823,0.333043,0.371472,0
0,0.047437,0,0,0.009188,0,0.617050,0.654836,0.758934,0
0,0.021717,0,0,0.003106,0,0.594928,0.634522,0.733143,0
0.040541,0.013514,0,0,0.020408,0,0.240116,0.251947,0.284537,0
0,0.033149,0,0,0.016667,0,0.610166,0.645813,0.749818,0
0,0,0,0,0.030303,0,0.671678,0.710580,0.824788,0
0,0.016949,0,0,0.008547,0,0.381097,0.397340,0.451978,0
0.005979,0.068759,0,0,0.022455,0,0.164980,0.170173,0.179502,0
0,0.076923,0,0,0.015504,0,0.360311,0.379397,0.433093,0
0,0.016667,0,0,0.033613,0,0.450036,0.471461,0.541016,0
0,0.012821,0,0,0.025974,0,0.178780,0.175293,0.189368,0
0.007491,0.129213,0,0,0.005629,0,0.445715,0.470059,0.542838,0
0,0.0375,0,0,0.006289,0,0.568880,0.605442,0.698786,0
0,0.006369,0,0,0.019231,0,0.618583,0.656925,0.761814,0
0.005222,0.049608,0,0,0.005229,0,0.571680,0.607813,0.703240,1
0,0.020833,0,0,0,0,0.527219,0.559565,0.645264,1
0,0.024,0,0,0.008065,0,0.302388,0.322660,0.362976,1
0,0.084871,0,0,0.014787,0,0.272050,0.279786,0.308082,1
0.037893,0.012939,0,0,0.0037,0,0.590777,0.631581,0.732049,1
0,0.070513,0,0,0.012903,0,0.537127,0.565661,0.656071,1
0,0.011059,0,0,0.003494,0,0.739111,0.789988,0.917163,1
0,0.111675,0,0,0.010204,0,0.410607,0.429131,0.493710,1
0,0.004942,0,0,0.000824,0,0.738697,0.790400,0.915680,1
0.02268,0.028866,0,0,0.004132,0,0.133678,0.143147,0.145705,1
0,0.004594,0,0,0.006897,0,0.772630,0.825416,0.959575,1
0,0,0,0,0.03125,0,0.544141,0.573085,0.661247,1
0,0.092883,0,0,0.001208,0,0.428560,0.453647,0.523005,1
0.004702,0.018809,0,0,0.012559,0.00157,0.254088,0.267631,0.292516,1
0.040706,0.02578,0.001359,0,0.006793,0,0.266986,0.283108,0.319124,1
0,0.105882,0,0,0.02381,0,0.234577,0.234997,0.264395,1
0,0.057627,0,0,0.013582,0,0.308666,0.315965,0.354063,1
0.003866,0.060567,0,0,0.009032,0,0.253106,0.264575,0.293437,1
0.08982,0.02994,0.006024,0,0,0,0.208651,0.220080,0.244201,1
0,0.09403,0,0,0.00299,0,0.512409,0.544286,0.628217,1
0.013158,0.003947,0,0.001317,0.003292,0,0.637912,0.682792,0.792148,1
0,0.123478,0,0,0.013937,0,0.312963,0.326117,0.365723,1
0,0.009206,0,0,0.004608,0,0.802406,0.857828,0.998044,1
0.0217,0.084991,0,0,0.012681,0,0.138679,0.140736,0.146322,1
0.02607,0.002674,0,0,0.002676,0,0.757982,0.811633,0.944003,1
0.029375,0.0075,0.000625,0,0.001251,0,0.616960,0.661044,0.766123,1
0,0.064401,0,0,0.012545,0,0.204458,0.206991,0.222837,1
0.035928,0.005988,0,0,0.006024,0,0.326814,0.345969,0.393290,1
0,0.027027,0,0,0.018182,0,0.420354,0.437186,0.502237,1
0,0.070922,0,0,0.007143,0,0.422016,0.447060,0.509489,1
