@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0.010753,0.000538,0,0,0.003765,0.006455,0,0.795793,0.863789,0.983915,2
0,0.003268,0.003268,0,0,0.009836,0,0,0.777515,0.841048,0.957562,2
0.026144,0.045752,0,0,0,0.006579,0.026316,0,0.057552,0.060499,0.058681,2
0.008905,0.09528,0.00089,0,0,0.000891,0.081996,0,0.375226,0.403650,0.456019,2
0.001359,0.004076,0,0,0,0.00136,0.00136,0,0.769116,0.834422,0.948785,2
0,0.1,0,0,0,0,0.064748,0,0.493025,0.525658,0.593824,2
0.001966,0.010319,0.001474,0,0,0.00295,0.0059,0,0.780696,0.847468,0.964459,2
0.016473,0.010659,0.001453,0,0,0.002908,0.004363,0,0.684794,0.743707,0.845452,2
0,0.066667,0,0,0,0.008403,0.042017,0,0.456997,0.486807,0.551024,2
0,0.041475,0.009217,0,0,0.023148,0.018519,0,0.549678,0.588339,0.669173,2
0.030176,0.06119,0.000838,0,0,0.006711,0.04698,0,0.367315,0.390754,0.437354,2
0.038647,0.043478,0,0,0,0.009709,0.029126,0,0.502996,0.543450,0.615296,2
0,0.08,0,0,0,0,0.060606,0,0.429556,0.460796,0.514670,2
0,0.049858,0.002849,0,0,0.007133,0.034237,0,0.602413,0.649652,0.735745,2
0,0.078652,0,0,0,0.017685,0.05627,0,0.299549,0.310742,0.339407,2
0,0.005833,0.0025,0,0,0.00417,0.003336,0,0.824515,0.894477,1.018968,2
0,0.127119,0,0,0,0.008547,0.08547,0,0.378841,0.401470,0.454953,2
0,0.13465,0.005386,0,0,0.017986,0.111511,0,0.312097,0.324248,0.357681,2
0.00309,0.004326,0.001236,0,0,0.004329,0.003092,0,0.770842,0.836374,0.952185,2
0.012163,0.004231,0.001058,0,0,0.004233,0.001587,0,0.719248,0.780826,0.888670,2
0,0.051178,0,0,0,0.006065,0.039757,0,0.672181,0.726375,0.825421,2
0,0.030318,0.000489,0,0,0.005382,0.024951,0,0.745632,0.807310,0.918823,2
0,0.007746,0,0,0,0.002326,0.005426,0,0.814742,0.883825,1.006506,2
0,0.128205,0.001832,0,0,0.020183,0.108257,0,0.284907,0.298207,0.327561,2
0.003831,0.066411,0.006386,0,0,0.002558,0.05243,0,0.540444,0.580893,0.658569,2
0.00252,0.006931,0.003781,0,0,0.001261,0.001892,0,0.799614,0.867956,0.988380,2
0,0.041237,0.001718,0,0,0.013769,0.022375,0,0.278052,0.294554,0.325884,2
0,0,0.009009,0,0,0.0181,0,0,0.691765,0.744829,0.846671,0
0,0.025641,0.012821,0,0,0.012903,0.006452,0,0.632213,0.679788,0.769367,0
0,0,0,0,0,0.033613,0,0,0.364266,0.379360,0.425122,0
0.001431,0,0,0,0,0.001433,0,0,0.816843,0.887255,1.010765,0
0.015512,0.002068,0.001034,0,0,0,0.001035,0,0.705886,0.767320,0.871927,0
0,0,0.005556,0,0,0.01676,0,0,0.620638,0.668883,0.758311,0
0,0,0,0,0,0.019608,0,0,0.576549,0.617065,0.700229,0
0,0,0.024096,0,0,0.030303,0,0,0.676309,0.725673,0.824788,0
0.00313,0.018779,0.004695,0,0,0.009404,0.009404,0,0.541011,0.582405,0.656802,0
0,0.006369,0.006369,0,0,0.019231,0,0,0.622859,0.670925,0.761814,0
0,0,0.009709,0,0,0.019608,0,0,0.387689,0.405666,0.453195,0
0,0.069421,0.006612,0,0,0.006623,0.049669,0,0.393150,0.418801,0.465657,0
0,0.0375,0,0,0,0.006289,0.018868,0,0.572825,0.618353,0.698786,0
0.009728,0.083658,0,0,0,0.017544,0.050682,0,0.159753,0.165318,0.173843,0
0.01721,0.039855,0.004529,0,0,0.00816,0.030825,0,0.598886,0.646704,0.732177,0
0.003049,0.047256,0.004573,0,0,0.015267,0.029008,0,0.291410,0.304363,0.332842,0
