@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0,0.472369,0.499706,0.576972,0
9,0.00348,0.049884,0,0,0.001161,0,0.549317,0.588484,0.677434,0
9,0.006989,0.010753,0,0,0.003765,0,0.789478,0.845617,0.983915,2
9,0,0.003268,0,0,0.009836,0,0.771404,0.823409,0.957562,2
9,0.004065,0.042005,0,0.001357,0.020353,0,0.489045,0.515768,0.595052,1
9,0,0.090909,0,0,0,0,0.372044,0.392804,0.445378,0
9,0.002577,0.064433,0,0,0.002581,0,0.529021,0.563234,0.650197,0
9,0.013431,0.004884,0,0,0.005498,0,0.681519,0.729205,0.846368,0
9,0,0.0375,0,0,0.006289,0,0.568437,0.605442,0.698786,0
9,0,0.118304,0,0,0.008949,0,0.245363,0.251456,0.279746,0
9,0,0.073684,0,0,0.010638,0,0.387912,0.409290,0.467489,0
9,0.00313,0.018779,0,0,0.009404,0,0.536903,0.570129,0.656802,0
9,0,0.007628,0,0,0.00229,0,0.820143,0.879008,1.022094,0
9,0,0.006369,0,0,0.019231,0,0.618056,0.656925,0.761814,0
9,0,0.069421,0,0,0.006623,0,0.390367,0.409896,0.465657,0
9,0,0.06993,0,0,0,0,0.590860,0.631566,0.727790,0
9,0,0.047437,0,0,0.009188,0,0.616571,0.654836,0.758934,0
9,0,0.013793,0,0,0.001381,0,0.754507,0.807625,0.937602,0
9,0,0,0,0,0.0181,0,0.686419,0.729307,0.846671,0
9,0,0.084871,0,0,0.014787,0,0.272093,0.279786,0.308082,1
9,0,0.070513,0,0,0.012903,0,0.536735,0.565661,0.656071,1
9,0,0.072587,0,0,0.006182,0,0.600109,0.638532,0.738860,0
9,0.00414,0.005914,0,0,0.001775,0,0.758250,0.812664,0.943286,1
9,0,0,0,0,0.02439,0,0.648368,0.685778,0.796337,0
