@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.475479,0.502837,0.576972,0
0.00348,0,0,0.001161,0.039489,0,0.552819,0.592500,0.677434,0
0.006989,0,0,0.003765,0.006455,0,0.795072,0.851566,0.983915,2
0,0,0,0.009836,0,0,0.776814,0.829088,0.957562,2
0.004065,0,0.001357,0.020353,0.028494,0,0.492352,0.519304,0.595052,1
0,0,0,0,0.073394,0,0.374458,0.395573,0.445378,0
0.002577,0,0,0.002581,0.054194,0,0.532577,0.567133,0.650197,0
0.013431,0,0,0.005498,0.001833,0,0.686229,0.734204,0.846368,0
0,0,0,0.006289,0.018868,0,0.572344,0.609647,0.698786,0
0,0,0,0.008949,0.102908,0,0.246714,0.252927,0.279746,0
0,0,0,0.010638,0.031915,0,0.390531,0.412162,0.467489,0
0.00313,0,0,0.009404,0.009404,0,0.540584,0.574175,0.656802,0
0,0,0,0.00229,0.00458,0,0.825962,0.885236,1.022094,0
0,0,0,0.019231,0,0,0.622347,0.661438,0.761814,0
0,0,0,0.006623,0.049669,0,0.392916,0.412746,0.465657,0
0,0,0,0,0.035211,0,0.594990,0.636145,0.727790,0
0,0,0,0.009188,0.037519,0,0.620873,0.659506,0.758934,0
0,0,0,0.001381,0.006906,0,0.759826,0.813302,0.937602,0
0,0,0,0.0181,0,0,0.691167,0.734284,0.846671,0
0,0,0,0.014787,0.068392,0,0.273497,0.281545,0.308082,1
0,0,0,0.012903,0.051613,0,0.540481,0.569687,0.656071,1
0,0,0,0.006182,0.05796,0,0.604311,0.643135,0.738860,0
0.00414,0,0,0.001775,0.000592,0,0.763558,0.818390,0.943286,1
0,0,0,0.02439,0,0,0.652838,0.690494,0.796337,0
0,0,0,0.012658,0.079566,0,0.266735,0.272258,0.297906,0
0,0,0,0.010101,0.090909,0,0.255561,0.268725,0.298541,0
0,0,0,0.003279,0.052459,0,0.627334,0.668930,0.770111,0
0,0,0,0.003494,0.005242,0,0.743620,0.795543,0.917163,1
0,0,0,0.015152,0,0,0.683502,0.727717,0.838812,0
0,0,0,0.013308,0.125475,0,0.323301,0.336056,0.376131,0
0,0,0,0.008475,0.101695,0,0.489392,0.515328,0.593238,0
0,0,0,0.010101,0.050505,0,0.552084,0.585411,0.670769,0
0.00534,0,0,0.003562,0.006233,0,0.800951,0.857903,0.990842,1
0,0,0,0.030303,0,0,0.675750,0.715447,0.824788,0
0,0,0,0.003795,0.017078,0,0.323622,0.335008,0.371472,0
0.026144,0,0,0.006579,0.026316,0,0.057378,0.065812,0.058681,2
0.008905,0,0,0.000891,0.081996,0,0.374907,0.398800,0.456019,2
0.001359,0,0,0.00136,0.00136,0,0.768396,0.822517,0.948785,2
0,0,0,0.011561,0,0,0.575584,0.607389,0.697809,0
0,0,0,0.010435,0.041739,0,0.275451,0.281372,0.308565,0
0,0,0,0,0.064748,0,0.492731,0.518287,0.593824,2
0,0,0,0.002595,0.056228,0,0.571347,0.607131,0.697924,1
0,0,0,0.000824,0.000824,0,0.743246,0.796021,0.915680,1
0,0,0,0.038462,0,0,0.541409,0.567756,0.653397,0
0,0,0,0.021201,0.065371,0,0.290488,0.295233,0.326866,0
0,0,0,0.010204,0.081633,0,0.413161,0.432135,0.493710,1
0.005525,0,0,0.006916,0.047026,0,0.463491,0.489959,0.560927,0
0.021898,0,0,0.002435,0.002435,0,0.646968,0.691988,0.796647,0
0,0,0,0.023529,0.011765,0,0.471161,0.494954,0.564963,0
0,0,0,0.007968,0.069721,0,0.303694,0.314673,0.350532,0
0,0,0,0.005181,0.124352,0,0.609937,0.650141,0.749991,0
0,0,0,0.008596,0.031519,0,0.571212,0.606549,0.694445,0
0,0,0,0.00225,0.00225,0,0.842549,0.902753,1.042846,0
0,0,0,0,0.061453,0,0.685397,0.733381,0.845448,0
0,0,0,0.009766,0.054688,0,0.283628,0.292293,0.322358,0
0,0,0,0.007143,0.007143,0,0.350752,0.368183,0.417664,0
0.008172,0,0,0.00818,0.02863,0,0.414790,0.437198,0.494715,0
0,0,0,0.003509,0.003509,0,0.813516,0.871139,1.005927,0
0,0,0,0.023256,0,0,0.588837,0.620249,0.714923,0
0.002028,0,0,0.020325,0.022358,0,0.242512,0.245540,0.268890,0
0,0,0,0.035398,0.044248,0,0.335872,0.349733,0.398130,0
0.012563,0,0,0.005031,0.05283,0,0.539567,0.573106,0.659259,0
0,0,0,0.001618,0.003236,0,0.776155,0.831619,0.958214,0
0,0,0,0.027933,0,0,0.661375,0.699419,0.805000,0
0,0,0,0.014925,0.102985,0,0.365467,0.378333,0.426972,0
0,0,0,0,0.125926,0,0.362106,0.381384,0.435407,0
0,0,0,0,0.028369,0,0.537733,0.571450,0.654188,0
0.001966,0,0,0.00295,0.0059,0,0.779984,0.835434,0.964459,2
0,0,0,0.022727,0.005682,0,0.633411,0.670449,0.772802,0
0,0,0,0.016097,0.150905,0,0.305502,0.317076,0.357303,0
0,0,0,0.007937,0.063492,0,0.469331,0.497786,0.564850,0
0,0,0,0.007307,0.066806,0,0.568340,0.602816,0.693750,0
0.040695,0,0,0.001372,0.003202,0,0.276513,0.299778,0.337944,1
0.106742,0,0,0,0,0,0.029712,0.040112,0.030063,0
0.021452,0,0,0,0.006612,0,0.041571,0.056061,0.043164,0
0.175573,0,0,0,0.076923,0,0.093146,0.096687,0.100441,0
0.047927,0,0.001297,0.003891,0.029831,0,0.351203,0.373613,0.424280,1
0.016473,0,0,0.002908,0.004363,0,0.684141,0.733339,0.845452,2
0.030303,0,0,0.006098,0.018293,0,0.469955,0.500250,0.573420,0
0.005979,0,0,0.022455,0.053892,0,0.164857,0.170706,0.179502,0
0.08982,0.006024,0,0,0.012048,0,0.209751,0.221414,0.244201,1
0.057971,0,0,0.001613,0.022581,0,0.287837,0.309764,0.347374,0
0.029375,0.000625,0,0.001251,0.005629,0,0.620551,0.665543,0.766123,1
0,0,0,0.01676,0,0,0.620131,0.660733,0.758311,0
0.02268,0,0,0.004132,0.022727,0,0.133013,0.143432,0.145705,1
0,0,0,0.033613,0.008403,0,0.452792,0.474642,0.541016,0
0.003171,0,0,0.008883,0.015863,0,0.671866,0.716892,0.825197,0
0.003448,0,0,0.001151,0,0,0.767549,0.822612,0.949071,0
0.010526,0,0,0.010582,0,0,0.419253,0.441108,0.504753,0
0.003049,0,0,0.015267,0.029008,0,0.291309,0.300448,0.332842,0
0,0,0,0.018349,0.009174,0,0.346652,0.363627,0.409600,0
0,0,0,0.00292,0.030657,0,0.620096,0.660986,0.759277,0
0.03166,0,0,0.001546,0.003091,0,0.606569,0.650346,0.747408,0
0,0,0,0.006289,0,0,0.568661,0.604460,0.695859,0
0,0,0,0.009074,0.056261,0,0.285851,0.293833,0.327158,0
0,0,0,0.033613,0,0,0.364093,0.374058,0.425122,0
0.007207,0,0,0.005415,0.050542,0,0.427830,0.451246,0.513415,0
0.002375,0,0,0.001189,0,0,0.825304,0.885049,1.023004,0
0,0,0,0.031847,0,0,0.580628,0.613880,0.703946,0
0,0,0,0.010969,0.053016,0,0.275285,0.283635,0.314860,0
0,0,0,0.008403,0.042017,0,0.456649,0.479767,0.551024,2
0.001348,0,0,0.00135,0.026991,0,0.470125,0.502196,0.574552,0
0.000425,0,0,0.003825,0.00085,0,0.744983,0.796891,0.919215,1
0,0,0,0.023148,0.018519,0,0.549288,0.580095,0.669173,2
0.030176,0,0,0.006711,0.04698,0,0.367014,0.385445,0.437354,2
0,0,0,0.027523,0,0,0.240776,0.239482,0.267030,0
0,0,0,0.008929,0.022321,0,0.504981,0.534127,0.611583,0
0.044004,0,0,0.001101,0,0,0.515822,0.552811,0.633241,0
0.074713,0,0,0.046243,0,0,0.389604,0.403320,0.459451,0
0.007564,0,0,0.015152,0.021212,0,0.322314,0.336033,0.375706,0
0.041667,0,0,0.010526,0,0,0.200657,0.205252,0.222028,0
0.004004,0,0,0.003006,0.012024,0,0.658444,0.703654,0.808961,0
0,0,0,0.00095,0.003799,0,0.827473,0.887301,1.024217,0
0,0,0,0.037037,0,0,0.607534,0.642149,0.739037,0
0,0,0,0.010799,0.038877,0,0.233609,0.235283,0.255892,0
0,0,0,0.019608,0.04902,0,0.227106,0.233588,0.256990,0
0.013464,0,0,0.007353,0.01348,0,0.504402,0.535923,0.613890,0
0.017189,0,0,0.001012,0,0,0.720266,0.772309,0.890979,0
0.038835,0,0,0.009756,0,0,0.374397,0.397768,0.451949,0
0.013722,0,0,0.024055,0.025773,0,0.234132,0.235323,0.255415,0
0.038647,0,0,0.009709,0.029126,0,0.502567,0.536479,0.615296,2
0,0,0,0.007843,0.009804,0,0.411187,0.433413,0.490054,0
0,0,0,0,0.005581,0,0.834928,0.895586,1.033909,0
0,0,0,0.032258,0.032258,0,0.510530,0.539730,0.619574,0
0,0,0,0.023758,0.051836,0,0.274245,0.281859,0.307927,0
0,0,0,0,0.166667,0,0.111504,0.114093,0.117325,0
0,0,0,0.007407,0.033333,0,0.573513,0.611780,0.702649,0
0.007154,0,0,0.001591,0.003978,0,0.689786,0.739325,0.851270,0
0.017647,0,0,0.023669,0,0,0.497210,0.523006,0.600318,0
0,0,0,0.03118,0.131403,0,0.217650,0.216025,0.237695,0
0,0,0,0,0,0,0.440813,0.464713,0.527365,0
0,0,0,0.007952,0.017893,0,0.550786,0.585527,0.669536,0
0,0,0,0.002857,0.001429,0,0.873288,0.936306,1.082441,0
0,0,0,0.019608,0,0,0.576118,0.608378,0.700229,0
0,0,0,0.013582,0.040747,0,0.310471,0.317816,0.354063,1
0,0,0,0,0.060606,0,0.429260,0.454096,0.514670,2
0,0,0,0.003932,0.044561,0,0.569257,0.605765,0.693345,1
0.007042,0,0,0.002643,0,0,0.648826,0.694972,0.801737,1
0.027933,0,0,0.033708,0,0,0.419394,0.437747,0.501872,0
0.023256,0,0,0.004237,0.023305,0,0.151757,0.162720,0.169146,0
0.04918,0,0,0.016529,0.115702,0,0.240449,0.251521,0.282750,0
0.00846,0,0,0.001695,0.054237,0,0.411839,0.442808,0.505351,0
0.002894,0,0,0.001449,0.001449,0,0.812196,0.871298,1.006107,0
0.011494,0,0,0.034682,0.00578,0,0.408754,0.427176,0.485637,0
0,0,0,0.014842,0.055659,0,0.224487,0.226846,0.245795,0
0,0,0,0,0.006993,0,0.530446,0.563397,0.645264,1
