@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0,0,0.003765,0.006455,0,0.795072,0.851566,0.983915,2
0,0,0,0.009836,0,0,0.776814,0.829088,0.957562,2
0.026144,0,0,0.006579,0.026316,0,0.057378,0.065812,0.058681,2
0.008905,0,0,0.000891,0.081996,0,0.374907,0.398800,0.456019,2
0.001359,0,0,0.00136,0.00136,0,0.768396,0.822517,0.948785,2
0,0,0,0,0.064748,0,0.492731,0.518287,0.593824,2
0.001966,0,0,0.00295,0.0059,0,0.779984,0.835434,0.964459,2
0.016473,0,0,0.002908,0.004363,0,0.684141,0.733339,0.845452,2
0,0,0,0.008403,0.042017,0,0.456649,0.479767,0.551024,2
0,0,0,0.023148,0.018519,0,0.549288,0.580095,0.669173,2
0.030176,0,0,0.006711,0.04698,0,0.367014,0.385445,0.437354,2
0.038647,0,0,0.009709,0.029126,0,0.502567,0.536479,0.615296,2
0,0,0,0,0.060606,0,0.429260,0.454096,0.514670,2
0,0,0,0.007133,0.034237,0,0.601946,0.640385,0.735745,2
0,0,0,0.017685,0.05627,0,0.299468,0.306232,0.339407,2
0,0,0,0.00417,0.003336,0,0.823769,0.881866,1.018968,2
0,0,0,0.008547,0.08547,0,0.378662,0.395672,0.454953,2
0,0,0,0.017986,0.111511,0,0.311989,0.319426,0.357681,2
0.00309,0,0,0.004329,0.003092,0,0.770122,0.824655,0.952185,2
0.012163,0,0,0.004233,0.001587,0,0.718567,0.769878,0.888670,2
0,0,0,0.006065,0.039757,0,0.671616,0.716029,0.825421,2
0,0,0,0.005382,0.024951,0,0.744989,0.795823,0.918823,2
0,0,0,0.002326,0.005426,0,0.814014,0.871293,1.006506,2
0,0,0,0.020183,0.108257,0,0.284838,0.294398,0.327561,2
0.003831,0,0,0.002558,0.05243,0,0.540028,0.572674,0.658569,2
0.00252,0,0,0.001261,0.001892,0,0.798885,0.855623,0.988380,2
0,0,0,0.013769,0.022375,0,0.277869,0.292970,0.325884,2
0,0,0,0.007823,0.003911,0,0.768340,0.820373,0.946670,0
0,0,0,0.013308,0.125475,0,0.323301,0.336056,0.376131,0
0.021127,0,0,0.010582,0.051146,0,0.193843,0.200815,0.214187,0
0,0,0,0.007949,0.052464,0,0.300305,0.312116,0.343778,0
0.016447,0,0,0.004942,0.07743,0,0.468653,0.495758,0.568353,0
0,0,0,0.02521,0.084034,0,0.401742,0.423217,0.483904,0
0,0,0,0.037975,0.006329,0,0.502375,0.526839,0.604222,0
0,0,0,0.002183,0.003275,0,0.788275,0.844272,0.974498,0
0,0,0,0,0.0375,0,0.642861,0.686314,0.790510,0
0,0,0,0.014151,0.083333,0,0.259456,0.267896,0.290555,0
0,0,0,0,0.005581,0,0.834928,0.895586,1.033909,0
0.01721,0,0,0.00816,0.030825,0,0.598395,0.637855,0.732177,0
0,0,0,0.00597,0.039801,0,0.607497,0.647542,0.745238,0
0,0,0,0.02439,0,0,0.652838,0.690494,0.796337,0
0,0,0,0.027523,0,0,0.240776,0.239482,0.267030,0
0,0,0,0.048544,0,0,0.436491,0.450226,0.516443,0
0.00846,0,0,0.001695,0.054237,0,0.411839,0.442808,0.505351,0
0,0,0,0.00095,0.003799,0,0.827473,0.887301,1.024217,0
0,0,0,0.032258,0.032258,0,0.510530,0.539730,0.619574,0
0,0,0,0.01487,0.039033,0,0.391343,0.409994,0.467442,0
0,0,0,0.016667,0.016667,0,0.613937,0.650336,0.749818,0
0,0,0,0.006182,0.05796,0,0.604311,0.643135,0.738860,0
0,0,0,0.012903,0.006452,0,0.631703,0.670119,0.769367,0
0,0,0,0.033613,0,0,0.364093,0.374058,0.425122,0
0,0,0,0,0.035211,0,0.594990,0.636145,0.727790,0
0,0,0,0.000824,0.000824,0,0.743246,0.796021,0.915680,1
0.029375,0.000625,0,0.001251,0.005629,0,0.620551,0.665543,0.766123,1
0,0,0,0.006897,0.001533,0,0.777330,0.831160,0.959575,1
0.007042,0,0,0.002643,0,0,0.648826,0.694972,0.801737,1
0.000425,0,0,0.003825,0.00085,0,0.744983,0.796891,0.919215,1
0,0,0,0.012545,0.046595,0,0.205717,0.208298,0.222837,1
0,0,0,0.014787,0.068392,0,0.273497,0.281545,0.308082,1
0,0,0,0.03125,0,0,0.547311,0.576796,0.661247,1
0.004702,0,0,0.012559,0.012559,0.00157,0.254851,0.269101,0.292516,1
0,0,0,0.007143,0.042857,0,0.424646,0.450222,0.509489,1
0.047927,0,0.001297,0.003891,0.029831,0,0.351203,0.373613,0.424280,1
0,0,0,0.003932,0.044561,0,0.569257,0.605765,0.693345,1
0,0,0,0.022968,0.125442,0,0.280550,0.288127,0.320972,1
0,0,0,0,0.006993,0,0.530446,0.563397,0.645264,1
0,0,0,0.002595,0.056228,0,0.571347,0.607131,0.697924,1
0,0,0,0.00299,0.077728,0,0.515589,0.548160,0.628217,1
0,0,0,0.018182,0.018182,0,0.422759,0.439830,0.502237,1
0.02268,0,0,0.004132,0.022727,0,0.133013,0.143432,0.145705,1
0.02607,0,0,0.002676,0.002007,0,0.762536,0.817260,0.944003,1
0,0,0,0,0.181102,0,0.476028,0.506650,0.579573,1
0,0,0,0.010204,0.081633,0,0.413161,0.432135,0.493710,1
0,0,0,0.013937,0.083624,0,0.314891,0.328395,0.365723,1
0.00534,0,0,0.003562,0.006233,0,0.800951,0.857903,0.990842,1
0.00414,0,0,0.001775,0.000592,0,0.763558,0.818390,0.943286,1
0.08982,0.006024,0,0,0.012048,0,0.209751,0.221414,0.244201,1
0.005222,0,0,0.005229,0.035294,0,0.575086,0.612024,0.703240,1
0,0,0,0.003494,0.005242,0,0.743620,0.795543,0.917163,1
0.0217,0,0,0.012681,0.067029,0,0.138652,0.141222,0.146322,1
0,0,0,0.011928,0.001988,0,0.206759,0.210927,0.226886,1
0.035813,0,0,0.001838,0.000919,0.000919,0.648929,0.695685,0.801527,1
