@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0,0.003765,0,0.790974,0.848506,0.983915,2
9,0,0,0.009836,0,0.772811,0.826243,0.957562,2
9,0.026144,0,0.006579,0,0.057985,0.065531,0.058681,2
9,0.008905,0,0.000891,0,0.373290,0.397495,0.456019,2
9,0.001359,0,0.00136,0,0.764473,0.819636,0.948785,2
9,0,0,0,0,0.490383,0.516326,0.593824,2
9,0.001966,0,0.00295,0,0.775982,0.832419,0.964459,2
9,0.016473,0,0.002908,0,0.680694,0.730739,0.845452,2
9,0,0,0.008403,0,0.454474,0.478285,0.551024,2
9,0,0,0.023148,0,0.546511,0.578185,0.669173,2
9,0.030176,0,0.006711,0,0.365411,0.384288,0.437354,2
9,0.038647,0,0.009709,0,0.500179,0.534551,0.615296,2
9,0,0,0,0,0.427275,0.452434,0.514670,2
9,0,0,0.007133,0,0.598929,0.638107,0.735745,2
9,0,0,0.017685,0,0.298178,0.305411,0.339407,2
9,0,0,0.00417,0,0.819519,0.878702,1.018968,2
9,0,0,0.008547,0,0.376844,0.394550,0.454953,2
9,0,0,0.017986,0,0.310655,0.318686,0.357681,2
9,0.00309,0,0.004329,0,0.766195,0.821725,0.952185,2
9,0.012163,0,0.004233,0,0.714914,0.767212,0.888670,2
9,0,0,0.006065,0,0.668245,0.713440,0.825421,2
9,0,0,0.005382,0,0.741177,0.792982,0.918823,2
9,0,0,0.002326,0,0.809809,0.868163,1.006506,2
9,0,0,0.020183,0,0.283696,0.293386,0.327561,2
9,0.003831,0,0.002558,0,0.537379,0.570677,0.658569,2
9,0.00252,0,0.001261,0,0.794765,0.852571,0.988380,2
9,0,0,0.013769,0,0.276873,0.291894,0.325884,2
9,0,0,0.026316,0,0.581335,0.613184,0.707566,0
9,0,0,0.01676,0,0.617061,0.658456,0.758311,0
9,0,0,0.01218,0,0.738135,0.788975,0.913400,0
9,0.005525,0,0.006916,0,0.461277,0.488270,0.560927,0
9,0,0,0.016667,0,0.610805,0.648131,0.749818,0
9,0,0,0.041322,0,0.428300,0.445278,0.510052,0
9,0.008172,0,0.00818,0,0.412853,0.435582,0.494715,0
9,0,0,0.017606,0,0.263222,0.271883,0.300787,0
9,0,0,0.005291,0,0.550060,0.584160,0.671226,0
9,0.013769,0,0.008621,0,0.444047,0.469939,0.537437,0
9,0,0,0.016854,0,0.629369,0.667337,0.770578,0
9,0,0,0.008596,0,0.568396,0.604390,0.694445,0
9,0.021452,0,0,0,0.042526,0.055515,0.043164,0
9,0,0,0.02439,0,0.565706,0.597565,0.690945,0
9,0,0,0.007937,0,0.467153,0.495861,0.564850,0
9,0,0,0.016097,0,0.304211,0.315900,0.357303,0
9,0.007491,0,0.005629,0,0.446407,0.471746,0.542838,0
9,0,0,0.02521,0,0.374940,0.392525,0.446296,0
9,0.007987,0,0.0064,0,0.383173,0.405215,0.463840,0
9,0,0,0.008929,0,0.502537,0.532332,0.611583,0
9,0,0,0.025974,0,0.179121,0.175831,0.189368,0
9,0,0,0.033613,0,0.362315,0.373282,0.425122,0
9,0,0,0.020202,0,0.359745,0.374262,0.427161,0
9,0,0,0.014469,0,0.267919,0.277251,0.309748,0
9,0,0,0.025641,0,0.604907,0.641135,0.737745,0
9,0,0,0.028249,0,0.622153,0.660563,0.761372,1
9,0.004702,0,0.012559,0.00157,0.254024,0.268034,0.292516,1
9,0.007042,0,0.002643,0,0.645577,0.692568,0.801737,1
9,0,0,0,0,0.527821,0.561418,0.645264,1
9,0,0,0.014706,0,0.468926,0.495082,0.565571,1
9,0,0,0.001208,0,0.429156,0.455273,0.523005,1
9,0,0,0.000824,0,0.739480,0.793121,0.915680,1
9,0,0,0.008065,0,0.302112,0.323144,0.362976,1
9,0.040706,0.001359,0.006793,0,0.267156,0.283821,0.319124,1
9,0,0,0,0,0.855813,0.919088,1.066118,1
9,0,0,0.002595,0,0.568558,0.604894,0.697924,1
9,0.000425,0,0.003825,0,0.741193,0.794108,0.919215,1
9,0.0217,0,0.012681,0,0.138483,0.140678,0.146322,1
9,0,0,0.011928,0,0.206040,0.210359,0.226886,1
9,0.035813,0,0.001838,0.000919,0.645696,0.693201,0.801527,1
9,0.012012,0,0.001503,0,0.643127,0.690130,0.797277,1
9,0.005222,0,0.005229,0,0.572265,0.609845,0.703240,1
9,0.02607,0,0.002676,0,0.758636,0.814387,0.944003,1
9,0.08982,0.006024,0,0,0.209011,0.220762,0.244201,1
9,0,0,0.006897,0,0.773330,0.828232,0.959575,1
9,0,0,0.00299,0,0.513089,0.546171,0.628217,1
9,0.00534,0,0.003562,0,0.796841,0.854816,0.990842,1
9,0,0,0.004608,0,0.803123,0.860762,0.998044,1
9,0,0,0.010204,0,0.411178,0.430717,0.493710,1
9,0.037893,0,0.0037,0,0.591267,0.633688,0.732049,1
9,0,0,0.03125,0,0.544633,0.575046,0.661247,1
9,0.00414,0,0.001775,0,0.759682,0.815400,0.943286,1
9,0,0,0.02381,0,0.234977,0.236061,0.264395,1
9,0.047927,0,0.003891,0,0.349756,0.372273,0.424280,1
9,0,0,0.012545,0,0.205064,0.207530,0.222837,1
