@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0,0.473032,0.500181,0.569824,0
9,0.00348,0,0,0.001161,0,0,0.550203,0.589164,0.668964,0
9,0.006989,0,0,0.003765,0,0.000538,0.790828,0.846405,0.970850,2
9,0,0,0,0.009836,0,0,0.772639,0.824127,0.944915,2
9,0.004065,0,0.001357,0.020353,0,0,0.489766,0.516040,0.587495,1
9,0,0,0,0,0,0,0.372691,0.392969,0.439456,0
9,0.002577,0,0,0.002581,0,0,0.529911,0.563738,0.641837,0
9,0.013431,0,0,0.005498,0,0,0.682642,0.729903,0.835298,0
9,0,0,0,0.006289,0,0,0.569383,0.605858,0.689536,0
9,0,0,0,0.008949,0,0,0.245636,0.251379,0.276315,0
9,0,0,0,0.010638,0,0,0.388618,0.409407,0.461348,0
9,0.00313,0,0,0.009404,0,0,0.537803,0.570487,0.648192,0
9,0,0,0,0.00229,0,0,0.821559,0.879833,1.008453,0
9,0,0,0,0.019231,0,0,0.619030,0.657403,0.751891,0
9,0,0,0,0.006623,0,0,0.390971,0.409990,0.459512,0
9,0,0,0,0,0,0,0.591965,0.632040,0.717941,0
9,0,0,0,0.009188,0,0,0.617591,0.655352,0.749168,0
9,0,0,0,0.001381,0,0,0.755787,0.808361,0.925169,0
9,0,0,0,0.0181,0,0,0.687459,0.729872,0.835655,0
9,0,0,0,0.014787,0,0,0.272313,0.279711,0.304325,1
9,0,0,0,0.012903,0,0,0.537570,0.565987,0.647806,1
9,0,0,0,0.006182,0,0,0.601149,0.639043,0.729233,0
9,0.00414,0,0,0.001775,0,0,0.759551,0.813439,0.930775,1
9,0,0,0,0.02439,0,0,0.649285,0.686257,0.786205,0
9,0,0,0,0.012658,0,0,0.265510,0.270385,0.293898,0
9,0,0,0,0.010101,0,0,0.254496,0.266909,0.294604,0
9,0,0,0,0.003279,0,0,0.624104,0.664977,0.760174,0
9,0,0,0,0.003494,0,0,0.739687,0.790698,0.905024,1
9,0,0,0,0.015152,0,0,0.679830,0.723282,0.827818,0
9,0,0,0,0.013308,0,0,0.321771,0.333808,0.371101,0
9,0,0,0,0.008475,0,0,0.486774,0.511990,0.585750,0
9,0,0,0,0.010101,0,0,0.549209,0.581570,0.662006,0
9,0.00534,0,0,0.003562,0,0,0.796697,0.852734,0.977711,1
9,0,0,0,0.030303,0,0,0.672076,0.711082,0.814136,0
9,0,0,0,0.003795,0,0,0.322137,0.333165,0.367049,0
9,0.026144,0,0,0.006579,0,0,0.058334,0.067236,0.060455,2
9,0.008905,0,0,0.000891,0,0,0.373210,0.396724,0.450698,2
9,0.001359,0,0,0.00136,0,0,0.764331,0.817619,0.936263,2
9,0,0,0,0.011561,0,0,0.572565,0.603960,0.688888,0
9,0,0,0,0.010435,0,0,0.274195,0.279632,0.304531,0
9,0,0,0,0,0,0,0.490162,0.514760,0.586299,2
9,0,0,0,0.002595,0,0,0.568405,0.603326,0.689083,1
9,0,0,0,0.000824,0,0,0.739340,0.791127,0.903517,1
9,0,0,0,0.038462,0,0,0.538461,0.564286,0.645334,0
9,0,0,0,0.021201,0,0,0.289059,0.293203,0.322945,0
9,0,0,0,0.010204,0,0,0.410985,0.429254,0.487482,1
9,0.005525,0,0,0.006916,0,0,0.461127,0.486931,0.553882,0
9,0.021898,0,0,0.002435,0,0,0.643591,0.687887,0.786202,0
9,0,0,0,0.023529,0,0,0.468654,0.491949,0.557631,0
9,0,0,0,0.007968,0,0,0.302272,0.312689,0.345865,0
9,0,0,0,0.005181,0,0,0.606711,0.646051,0.739882,0
9,0,0,0,0.008596,0,0,0.568234,0.602693,0.685290,0
9,0,0,0,0.00225,0,0,0.838041,0.897263,1.028929,0
9,0,0,0,0,0,0,0.681793,0.728775,0.834110,0
9,0,0,0,0.009766,0,0,0.282335,0.290344,0.318159,0
9,0,0,0,0.007143,0,0,0.348939,0.365957,0.412522,0
9,0.008172,0,0,0.00818,0,0,0.412707,0.434225,0.488377,0
9,0,0,0,0.003509,0,0,0.809171,0.865809,0.992531,0
9,0,0,0,0.023256,0,0,0.585629,0.616324,0.706011,0
9,0.002028,0,0,0.020325,0,0,0.241358,0.243996,0.265407,0
9,0,0,0,0.035398,0,0,0.334209,0.347680,0.393367,0
9,0.012563,0,0,0.005031,0,0,0.536753,0.569527,0.650821,0
9,0,0,0,0.001618,0,0,0.772044,0.826510,0.945429,0
9,0,0,0,0.027933,0,0,0.657791,0.695283,0.794497,0
9,0,0,0,0.014925,0,0,0.363614,0.375693,0.421504,0
9,0,0,0,0,0,0,0.360450,0.379248,0.429891,0
9,0,0,0,0,0,0,0.534956,0.567824,0.645704,0
9,0.001966,0,0,0.00295,0,0,0.775838,0.830358,0.951677,2
9,0,0,0,0.022727,0,0,0.630006,0.666475,0.762895,0
9,0,0,0,0.016097,0,0,0.304020,0.314722,0.352765,0
9,0,0,0,0.007937,0,0,0.466999,0.494406,0.557343,0
9,0,0,0,0.007307,0,0,0.565349,0.598987,0.684791,0
9,0.040695,0,0,0.001372,0,0,0.275615,0.299234,0.334615,1
9,0.106742,0,0,0,0,0,0.030964,0.041846,0.032561,0
9,0.021452,0,0,0,0,0,0.043132,0.058279,0.046147,0
9,0.175573,0,0,0,0,0,0.093160,0.096378,0.099654,0
9,0.047927,0,0.001297,0.003891,0,0.001297,0.349761,0.371789,0.419726,1
9,0.016473,0,0,0.002908,0,0,0.680574,0.728991,0.834336,2
9,0.030303,0,0,0.006098,0,0,0.467609,0.497558,0.566296,0
