@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0,0,0.003765,0,0.789511,0.845617,0.983915,2
0,0,0,0.009836,0,0.771338,0.823409,0.957562,2
0.026144,0,0,0.006579,0,0.058567,0.066532,0.058681,2
0.008905,0,0,0.000891,0,0.372633,0.396260,0.456019,2
0.001359,0,0,0.00136,0,0.763061,0.816838,0.948785,2
0,0,0,0,0,0.489317,0.514506,0.593824,2
0.001966,0,0,0.00295,0,0.774549,0.829578,0.964459,2
0.016473,0,0,0.002908,0,0.679460,0.728283,0.845452,2
0,0,0,0.008403,0,0.453491,0.476549,0.551024,2
0,0,0,0.023148,0,0.545384,0.576086,0.669173,2
0.030176,0,0,0.006711,0,0.364714,0.383002,0.437354,2
0.038647,0,0,0.009709,0,0.499344,0.532925,0.615296,2
0,0,0,0,0,0.426474,0.450915,0.514670,2
0,0,0,0.007133,0,0.597780,0.635880,0.735745,2
0,0,0,0.017685,0,0.297533,0.304392,0.339407,2
0,0,0,0.00417,0,0.817997,0.875719,1.018968,2
0,0,0,0.008547,0,0.376029,0.393082,0.454953,2
0,0,0,0.017986,0,0.309938,0.317544,0.357681,2
0.00309,0,0,0.004329,0,0.764779,0.818942,0.952185,2
0.012163,0,0,0.004233,0,0.713613,0.764635,0.888670,2
0,0,0,0.006065,0,0.666951,0.710989,0.825421,2
0,0,0,0.005382,0,0.739768,0.790237,0.918823,2
0,0,0,0.002326,0,0.808302,0.865202,1.006506,2
0,0,0,0.020183,0,0.283149,0.292523,0.327561,2
0.003831,0,0,0.002558,0,0.536305,0.568684,0.658569,2
0.00252,0,0,0.001261,0,0.793301,0.849670,0.988380,2
0,0,0,0.013769,0,0.276651,0.291476,0.325884,2
0,0,0,0.035088,0,0.612664,0.646547,0.749995,0
0,0,0,0.00292,0,0.615834,0.656284,0.759277,0
0,0,0,0.005291,0,0.549053,0.582267,0.671226,0
0,0,0,0.019481,0,0.562772,0.595088,0.689738,0
0,0,0,0.010435,0,0.273797,0.279800,0.308565,0
0,0,0,0.026168,0,0.288543,0.295233,0.329384,0
0.010033,0,0,0.01005,0,0.234978,0.245742,0.270087,0
0,0,0,0.020619,0,0.142248,0.140551,0.149633,0
0.024845,0,0,0,0,0.031174,0.039966,0.030062,0
0,0,0,0.010582,0,0.312976,0.336769,0.381796,0
0,0,0,0.032967,0,0.302115,0.300376,0.340117,0
0.007547,0,0,0.015123,0,0.176354,0.182154,0.193552,0
0.001348,0,0,0.00135,0,0.467200,0.498994,0.574552,0
0,0,0,0.025157,0,0.585457,0.619186,0.716873,0
0,0,0,0.02454,0,0.615732,0.649893,0.751429,0
0,0,0,0.020134,0,0.524551,0.551789,0.636724,0
0.015203,0,0,0,0,0.036592,0.048620,0.035687,0
0,0,0,0.037975,0,0.498830,0.523507,0.604222,0
0.01056,0,0,0.003171,0,0.750918,0.804184,0.935545,0
0.005979,0,0,0.022455,0,0.164640,0.170173,0.179502,0
0,0,0,0.007843,0,0.408541,0.430364,0.490054,0
0.007207,0,0,0.005415,0,0.424968,0.448031,0.513415,0
0,0,0,0.030457,0,0.633119,0.670809,0.778723,0
0,0,0,0,0,0.111185,0.113400,0.117325,0
0,0,0,0,0,0.359825,0.378879,0.435407,0
0,0,0,0.003494,0,0.738465,0.789988,0.917163,1
0.003866,0,0,0.009032,0,0.252917,0.264575,0.293437,1
0.004065,0,0.001357,0.020353,0,0.488955,0.515768,0.595052,1
0,0,0,0.008065,0,0.301912,0.322660,0.362976,1
0.02268,0,0,0.004132,0,0.133366,0.143147,0.145705,1
0,0,0,0.00299,0,0.512097,0.544286,0.628217,1
0,0,0,0.018182,0,0.419803,0.437186,0.502237,1
0.040706,0.001359,0,0.006793,0,0.266799,0.283108,0.319124,1
0.000425,0,0,0.003825,0,0.739825,0.791419,0.919215,1
0.007874,0,0,0.007937,0,0.045998,0.045936,0.037928,1
0.007042,0,0,0.002643,0,0.644392,0.690251,0.801737,1
0,0,0,0.028249,0,0.620938,0.658307,0.761372,1
0,0,0,0,0,0.854239,0.915975,1.066118,1
0.035813,0,0,0.001838,0.000919,0.644578,0.690958,0.801527,1
0,0,0,0.022968,0,0.278790,0.286226,0.320972,1
0.005222,0,0,0.005229,0,0.571192,0.607813,0.703240,1
0,0,0,0.014787,0,0.271953,0.279786,0.308082,1
0,0,0,0,0,0.472896,0.502895,0.579573,1
0.004702,0,0,0.012559,0.00157,0.253864,0.267631,0.292516,1
0.029375,0.000625,0,0.001251,0,0.616404,0.661044,0.766123,1
0,0,0,0,0,0.526839,0.559565,0.645264,1
0,0,0,0.003226,0,0.793232,0.849013,0.987194,1
0.08982,0.006024,0,0,0,0.208711,0.220080,0.244201,1
0.040695,0,0,0.001372,0,0.275270,0.298639,0.337944,1
0,0,0,0.013937,0,0.312992,0.326117,0.365723,1
0.02607,0,0,0.002676,0,0.757253,0.811633,0.944003,1
0,0,0,0.02381,0,0.234364,0.234997,0.264395,1
0,0,0,0.004608,0,0.801624,0.857828,0.998044,1
0,0,0,0.006897,0,0.771888,0.825416,0.959575,1
0.00414,0,0,0.001775,0,0.758305,0.812664,0.943286,1
