@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0,0,0.003765,0,0.789697,0.845617,0.983915,2
9,0,0,0,0.009836,0,0.771536,0.823409,0.957562,2
9,0.026144,0,0,0.006579,0,0.058680,0.066532,0.058681,2
9,0.008905,0,0,0.000891,0,0.372701,0.396260,0.456019,2
9,0.001359,0,0,0.00136,0,0.763213,0.816838,0.948785,2
9,0,0,0,0,0,0.489413,0.514506,0.593824,2
9,0.001966,0,0,0.00295,0,0.774709,0.829578,0.964459,2
9,0.016473,0,0,0.002908,0,0.679609,0.728283,0.845452,2
9,0,0,0,0.008403,0,0.453545,0.476549,0.551024,2
9,0,0,0,0.023148,0,0.545487,0.576086,0.669173,2
9,0.030176,0,0,0.006711,0,0.364737,0.383002,0.437354,2
9,0.038647,0,0,0.009709,0,0.499474,0.532925,0.615296,2
9,0,0,0,0,0,0.426494,0.450915,0.514670,2
9,0,0,0,0.007133,0,0.597865,0.635880,0.735745,2
9,0,0,0,0.017685,0,0.297579,0.304392,0.339407,2
9,0,0,0,0.00417,0,0.818196,0.875719,1.018968,2
9,0,0,0,0.008547,0,0.376103,0.393082,0.454953,2
9,0,0,0,0.017986,0,0.309999,0.317544,0.357681,2
9,0.00309,0,0,0.004329,0,0.764949,0.818942,0.952185,2
9,0.012163,0,0,0.004233,0,0.713790,0.764635,0.888670,2
9,0,0,0,0.006065,0,0.667093,0.710989,0.825421,2
9,0,0,0,0.005382,0,0.739922,0.790237,0.918823,2
9,0,0,0,0.002326,0,0.808492,0.865202,1.006506,2
9,0,0,0,0.020183,0,0.283204,0.292523,0.327561,2
9,0.003831,0,0,0.002558,0,0.536403,0.568684,0.658569,2
9,0.00252,0,0,0.001261,0,0.793482,0.849670,0.988380,2
9,0,0,0,0.013769,0,0.276743,0.291476,0.325884,2
9,0,0,0,0.007307,0,0.564479,0.598542,0.693750,0
9,0,0,0,0,0,0.830876,0.890499,1.035801,0
9,0,0,0,0.01848,0,0.228130,0.229348,0.251042,0
9,0.000997,0,0,0.003992,0,0.769827,0.824247,0.956928,0
9,0.028037,0,0,0.037736,0,0.309186,0.315559,0.358599,0
9,0,0,0,0.010545,0,0.468294,0.493713,0.569824,0
9,0,0,0,0.019417,0,0.312785,0.320441,0.362038,0
9,0.027933,0,0,0.033708,0,0.416605,0.435073,0.501872,0
9,0,0,0,0.04908,0,0.518682,0.543128,0.626154,0
9,0.001348,0,0,0.00135,0,0.467317,0.498994,0.574552,0
9,0,0,0,0.001381,0,0.754670,0.807625,0.937602,0
9,0,0,0,0.00225,0,0.836834,0.896429,1.042846,0
9,0.010033,0,0,0.01005,0,0.235003,0.245742,0.270087,0
9,0.003448,0,0,0.001151,0,0.762398,0.816885,0.949071,0
9,0.003883,0,0,0.007782,0,0.387156,0.406214,0.468338,0
9,0.074713,0,0,0.046243,0,0.387088,0.401021,0.459451,0
9,0.119658,0,0,0,0,0.128693,0.132504,0.141527,0
9,0.03166,0,0,0.001546,0,0.602603,0.645929,0.747408,0
