@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.475242,0.493671,0.576972,0
0.00348,0.033643,0,0,0.001161,0,0.552656,0.581334,0.677434,0
0.006989,0.012903,0,0,0.003765,0,0.794666,0.834394,0.983915,2
0,0,0,0,0.009836,0,0.776396,0.812607,0.957562,2
0.004065,0.04878,0,0.001357,0.020353,0,0.491950,0.509664,0.595052,1
0,0.136364,0,0,0,0,0.374153,0.388658,0.445378,0
0.002577,0.056701,0,0,0.002581,0,0.532295,0.556392,0.650197,0
0.013431,0.013431,0,0,0.005498,0,0.685915,0.719662,0.846368,0
0,0.0625,0,0,0.006289,0,0.571975,0.597937,0.698786,0
0,0.082589,0,0,0.008949,0,0.246422,0.249587,0.279746,0
0,0.178947,0,0,0.010638,0,0.390211,0.404834,0.467489,0
0.00313,0.109546,0,0,0.009404,0,0.540212,0.563228,0.656802,0
0,0.020595,0,0,0.00229,0,0.825540,0.867356,1.022094,0
0,0.031847,0,0,0.019231,0,0.621954,0.648599,0.761814,0
0,0.115702,0,0,0.006623,0,0.392540,0.405577,0.465657,0
0,0.146853,0,0,0,0,0.594633,0.623792,0.727790,0
0,0.03443,0,0,0.009188,0,0.620426,0.646705,0.758934,0
0,0.012414,0,0,0.001381,0,0.759407,0.797063,0.937602,0
0,0.013514,0,0,0.0181,0,0.690749,0.719980,0.846671,0
0,0.103321,0,0,0.014787,0,0.273178,0.277715,0.308082,1
0,0.032051,0,0,0.012903,0,0.539989,0.558867,0.656071,1
0,0.043243,0,0,0.006182,0,0.603873,0.630654,0.738860,0
0.00414,0.034891,0,0,0.001775,0,0.763192,0.801991,0.943286,1
0,0,0,0,0.02439,0,0.652363,0.677144,0.796337,0
0,0.15343,0,0,0.012658,0,0.266383,0.268602,0.297906,0
0,0.19,0,0,0.010101,0,0.255338,0.264464,0.298541,0
0,0.014192,0,0,0.003279,0,0.627008,0.656010,0.770111,0
0,0.031432,0,0,0.003494,0,0.743222,0.779687,0.917163,1
0,0.015075,0,0,0.015152,0,0.683076,0.713434,0.838812,0
0,0.12334,0,0,0.013308,0,0.322948,0.330771,0.376131,0
0,0.02521,0,0,0.008475,0,0.488912,0.505715,0.593238,0
0,0.093845,0,0,0.010101,0,0.551650,0.574234,0.670769,0
0.00534,0.017802,0,0,0.003562,0,0.800559,0.840648,0.990842,1
0,0,0,0,0.030303,0,0.675288,0.701574,0.824788,0
0,0.060606,0,0,0.003795,0,0.323326,0.330088,0.371472,0
0.026144,0.03268,0,0,0.006579,0,0.058139,0.067149,0.058681,2
0.008905,0.027605,0,0,0.000891,0,0.374775,0.391680,0.456019,2
0.001359,0.012908,0,0,0.00136,0,0.768012,0.806119,0.948785,2
0,0.034483,0,0,0.011561,0,0.575263,0.596155,0.697809,0
0,0.138889,0,0,0.010435,0,0.275144,0.277665,0.308565,0
0,0.114286,0,0,0,0,0.492271,0.508640,0.593824,2
0,0.047537,0,0,0.002595,0,0.570958,0.595485,0.697924,1
0,0.032125,0,0,0.000824,0,0.742838,0.780152,0.915680,1
0,0,0,0,0.038462,0,0.540955,0.557201,0.653397,0
0,0.08642,0,0,0.021201,0,0.290042,0.291067,0.326866,0
0,0.050761,0,0,0.010204,0,0.412700,0.424436,0.493710,1
0.005525,0.051105,0,0,0.006916,0,0.463147,0.480894,0.560927,0
0.021898,0.017032,0,0,0.002435,0,0.646647,0.678306,0.796647,0
0,0.02924,0,0,0.023529,0,0.470781,0.485976,0.564963,0
0,0.119284,0,0,0.007968,0,0.303393,0.309912,0.350532,0
0,0.020619,0,0,0.005181,0,0.609505,0.637481,0.749991,0
0,0.06867,0,0,0.008596,0,0.570796,0.594991,0.694445,0
0,0.01236,0,0,0.00225,0,0.842118,0.884518,1.042846,0
0,0.061111,0,0,0,0,0.684983,0.718815,0.845448,0
0,0.146199,0,0,0.009766,0,0.283294,0.288084,0.322358,0
0,0.014184,0,0,0.007143,0,0.350384,0.361839,0.417664,0
0.008172,0.102145,0,0,0.00818,0,0.414381,0.429327,0.494715,0
0,0.024533,0,0,0.003509,0,0.813089,0.853587,1.005927,0
0,0.00578,0,0,0.023256,0,0.588337,0.608405,0.714923,0
0.002028,0.121704,0,0,0.020325,0,0.242183,0.242465,0.268890,0
0,0.070175,0,0,0.035398,0,0.335594,0.343879,0.398130,0
0.012563,0.036432,0,0,0.005031,0,0.539183,0.562076,0.659259,0
0,0.029911,0,0,0.001618,0,0.775740,0.814927,0.958214,0
0,0,0,0,0.027933,0,0.660954,0.686075,0.805000,0
0,0.101341,0,0,0.014925,0,0.365009,0.372082,0.426972,0
0,0.110294,0,0,0,0,0.361927,0.374905,0.435407,0
0,0.063717,0,0,0,0,0.537342,0.560556,0.654188,0
0.001966,0.01769,0,0,0.00295,0,0.779579,0.818633,0.964459,2
0,0,0,0,0.022727,0,0.633001,0.657612,0.772802,0
0,0.106426,0,0,0.016097,0,0.305067,0.311887,0.357303,0
0,0.125984,0,0,0.007937,0,0.468932,0.488574,0.564850,0
0,0.042753,0,0,0.007307,0,0.567907,0.591231,0.693750,0
0.040695,0.011888,0,0,0.001372,0,0.276740,0.295030,0.337944,1
0.106742,0,0,0,0,0,0.030579,0.041559,0.030063,0
0.021452,0.006601,0,0,0,0,0.042768,0.058195,0.043164,0
0.175573,0.122137,0,0,0,0,0.093212,0.095921,0.100441,0
0.047927,0.03886,0,0.001297,0.003891,0,0.351186,0.367214,0.424280,1
0.016473,0.022771,0,0,0.002908,0,0.683829,0.718683,0.845452,2
0.030303,0.018182,0,0,0.006098,0,0.469732,0.491024,0.573420,0
0.005979,0.053812,0,0,0.022455,0,0.165015,0.169620,0.179502,0
0.08982,0.095808,0.006024,0,0,0,0.209622,0.217942,0.244201,1
0.057971,0.041868,0,0,0.001613,0,0.288009,0.304836,0.347374,0
0.029375,0.020625,0.000625,0,0.001251,0,0.620320,0.652385,0.766123,1
0,0,0,0,0.01676,0,0.619899,0.648309,0.758311,0
0.02268,0.061856,0,0,0.004132,0,0.133445,0.142948,0.145705,1
0,0.075,0,0,0.033613,0,0.452380,0.466147,0.541016,0
0.003171,0.028535,0,0,0.008883,0,0.671472,0.702792,0.825197,0
0.003448,0.031034,0,0,0.001151,0,0.767170,0.806082,0.949071,0
0.010526,0.005263,0,0,0.010582,0,0.418924,0.433139,0.504753,0
0.003049,0.106707,0,0,0.015267,0,0.290984,0.296084,0.332842,0
0,0.109091,0,0,0.018349,0,0.346434,0.357587,0.409600,0
0,0.071429,0,0,0.00292,0,0.619687,0.648073,0.759277,0
0.03166,0.027799,0,0,0.001546,0,0.606305,0.637516,0.747408,0
0,0,0,0,0.006289,0,0.568331,0.592865,0.695859,0
0,0.099638,0,0,0.009074,0,0.285540,0.289607,0.327158,0
0,0.008333,0,0,0.033613,0,0.363696,0.368025,0.425122,0
0.007207,0.07027,0,0,0.005415,0,0.427413,0.442982,0.513415,0
0.002375,0,0,0,0.001189,0,0.824903,0.867128,1.023004,0
0,0,0,0,0.031847,0,0.580211,0.602306,0.703946,0
0,0.109489,0,0,0.010969,0,0.274889,0.279444,0.314860,0
