@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.006989,0,0,0.003765,0.791787,0.855068,0.983915,2
0,0,0,0.009836,0.773568,0.832548,0.957562,2
0.026144,0,0,0.006579,0.058080,0.064228,0.058681,2
0.008905,0,0,0.000891,0.373607,0.400161,0.456019,2
0.001359,0,0,0.00136,0.765250,0.825764,0.948785,2
0,0,0,0,0.490752,0.519876,0.593824,2
0.001966,0,0,0.00295,0.776778,0.838732,0.964459,2
0.016473,0,0,0.002908,0.681392,0.736337,0.845452,2
0,0,0,0.008403,0.454761,0.481384,0.551024,2
0,0,0,0.023148,0.546929,0.582329,0.669173,2
0.030176,0,0,0.006711,0.365662,0.386332,0.437354,2
0.038647,0,0,0.009709,0.500663,0.538383,0.615296,2
0,0,0,0,0.427706,0.455104,0.514670,2
0,0,0,0.007133,0.599488,0.642558,0.735745,2
0,0,0,0.017685,0.298374,0.306662,0.339407,2
0,0,0,0.00417,0.820355,0.885457,1.018968,2
0,0,0,0.008547,0.377120,0.397195,0.454953,2
0,0,0,0.017986,0.310852,0.320146,0.357681,2
0.00309,0,0,0.004329,0.766962,0.827994,0.952185,2
0.012163,0,0,0.004233,0.715652,0.773161,0.888670,2
0,0,0,0.006065,0.668887,0.718743,0.825421,2
0,0,0,0.005382,0.741905,0.798949,0.918823,2
0,0,0,0.002326,0.810638,0.874839,1.006506,2
0,0,0,0.020183,0.283933,0.294643,0.327561,2
0.003831,0,0,0.002558,0.537839,0.574727,0.658569,2
0.00252,0,0,0.001261,0.795584,0.859109,0.988380,2
0,0,0,0.013769,0.277156,0.292750,0.325884,2
0,0,0,0.010638,0.389140,0.413307,0.467489,0
0,0,0,0.003333,0.751457,0.810594,0.931125,0
0.009569,0,0,0.019231,0.382110,0.404808,0.459570,0
0,0,0,0.008475,0.487367,0.517164,0.593238,0
0,0,0,0.013554,0.285165,0.296787,0.329592,0
0,0,0,0.019417,0.313572,0.323219,0.362038,0
0,0,0,0.027322,0.613333,0.654548,0.751017,0
0,0,0,0.006182,0.601870,0.645161,0.738860,0
0.007154,0,0,0.001591,0.687022,0.742173,0.851270,0
0.00235,0,0,0.005882,0.585058,0.626921,0.718254,0
0,0,0,0.010435,0.274547,0.281539,0.308565,0
0.028037,0,0,0.037736,0.309849,0.318475,0.358599,0
0,0,0,0,0.833099,0.900369,1.035801,0
0,0,0,0.024074,0.217574,0.220715,0.238660,0
0.002913,0,0,0.002915,0.802751,0.866702,0.996819,0
0,0,0,0,0.535589,0.573129,0.654188,0
0,0,0,0.00225,0.839063,0.906395,1.042846,0
0,0,0,0.037037,0.604911,0.644560,0.739037,0
0,0,0,0.023622,0.419794,0.440767,0.500054,0
0.04497,0,0,0.000763,0.479909,0.519396,0.593374,0
0,0,0,0.032967,0.302920,0.303028,0.340117,0
0,0,0,0.021127,0.444764,0.469022,0.532328,0
0,0,0,0.006515,0.456843,0.485758,0.557097,0
0,0,0,0.017606,0.263447,0.272774,0.300787,0
0,0,0,0.028736,0.631157,0.674624,0.774997,0
0,0,0,0.010204,0.411471,0.433416,0.493710,1
0.029375,0.000625,0,0.001251,0.618108,0.668221,0.766123,1
0,0,0,0.003226,0.795526,0.858438,0.987194,1
0.035928,0,0,0.006024,0.327119,0.349039,0.393290,1
0,0,0,0.002595,0.569055,0.609020,0.697924,1
0.00534,0,0,0.003562,0.797660,0.861401,0.990842,1
0.012012,0,0.000751,0.001503,0.643802,0.695220,0.797277,1
0,0,0,0.00299,0.513588,0.549924,0.628217,1
0.0217,0,0,0.012681,0.138569,0.140025,0.146322,1
0.02607,0,0,0.002676,0.759412,0.820724,0.944003,1
0.00414,0,0,0.001775,0.760467,0.821509,0.943286,1
0,0,0,0.012903,0.538180,0.571747,0.656071,1
0,0,0,0.008065,0.302438,0.324432,0.362976,1
0,0,0,0,0.474364,0.508137,0.579573,1
0.000425,0,0,0.003825,0.741935,0.800069,0.919215,1
0,0,0,0,0.856712,0.926224,1.066118,1
0,0,0,0.013582,0.309295,0.318498,0.354063,1
0.004065,0,0.001357,0.020353,0.490332,0.521054,0.595052,1
0.047927,0,0.001297,0.003891,0.350046,0.374302,0.424280,1
0,0,0,0.013937,0.313906,0.328723,0.365723,1
0,0,0,0.012545,0.205213,0.207958,0.222837,1
0,0,0,0.004608,0.803945,0.867402,0.998044,1
0.040706,0.001359,0,0.006793,0.267377,0.285252,0.319124,1
0.005222,0,0,0.005229,0.572801,0.614179,0.703240,1
0.02268,0,0,0.004132,0.133202,0.141338,0.145705,1
0.037893,0,0,0.0037,0.591846,0.638443,0.732049,1
0,0,0,0.007143,0.423099,0.451174,0.509489,1
0,0,0,0.001208,0.429505,0.458229,0.523005,1
0,0,0,0.018182,0.420985,0.441549,0.502237,1
0,0,0,0.003494,0.740580,0.798602,0.917163,1
