@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0,0,0,0,0.472858,0.500755,0.576972,0
9,0.00348,0,0,0.001161,0,0.550007,0.590015,0.677434,0
9,0.006989,0,0,0.003765,0,0.790483,0.848193,0.983915,2
9,0,0,0,0.009836,0,0.772307,0.825763,0.957562,2
9,0.004065,0,0.001357,0.020353,0,0.489554,0.517171,0.595052,1
9,0,0,0,0,0,0.372595,0.393729,0.445378,0
9,0.002577,0,0,0.002581,0,0.529702,0.564869,0.650197,0
9,0.013431,0,0,0.005498,0,0.682352,0.731320,0.846368,0
9,0,0,0,0.006289,0,0.569153,0.607096,0.698786,0
9,0,0,0,0.008949,0,0.245583,0.251720,0.279746,0
9,0,0,0,0.010638,0,0.388475,0.410539,0.467489,0
9,0.00313,0,0,0.009404,0,0.537574,0.571710,0.656802,0
9,0,0,0,0.00229,0,0.821204,0.881635,1.022094,0
9,0,0,0,0.019231,0,0.618744,0.658740,0.761814,0
9,0,0,0,0.006623,0,0.390835,0.410719,0.465657,0
9,0,0,0,0,0,0.591760,0.633521,0.727790,0
9,0,0,0,0.009188,0,0.617312,0.656737,0.758934,0
9,0,0,0,0.001381,0,0.755471,0.809919,0.937602,0
9,0,0,0,0.0181,0,0.687153,0.731308,0.846671,0
9,0,0,0,0.014787,0,0.272282,0.279873,0.308082,1
9,0,0,0,0.012903,0,0.537308,0.567431,0.656071,1
9,0,0,0,0.006182,0,0.600895,0.640398,0.738860,0
9,0.00414,0,0,0.001775,0,0.759232,0.815056,0.943286,1
9,0,0,0,0.02439,0,0.648985,0.687674,0.796337,0
9,0,0,0,0.012658,0,0.265496,0.270864,0.297906,0
9,0,0,0,0.010101,0,0.254483,0.267806,0.298541,0
9,0,0,0,0.003279,0,0.623850,0.666282,0.770111,0
9,0,0,0,0.003494,0,0.739370,0.792295,0.917163,1
9,0,0,0,0.015152,0,0.679535,0.724756,0.838812,0
9,0,0,0,0.013308,0,0.321707,0.334584,0.376131,0
9,0,0,0,0.008475,0,0.486569,0.513438,0.593238,0
9,0,0,0,0.010101,0,0.548985,0.582972,0.670769,0
9,0.00534,0,0,0.003562,0,0.796350,0.854519,0.990842,1
9,0,0,0,0.030303,0,0.671777,0.712509,0.824788,0
9,0,0,0,0.003795,0,0.322073,0.332947,0.371472,0
9,0.026144,0,0,0.006579,0,0.058433,0.066426,0.058681,2
9,0.008905,0,0,0.000891,0,0.373069,0.397600,0.456019,2
9,0.001359,0,0,0.00136,0,0.764002,0.819171,0.948785,2
9,0,0,0,0.011561,0,0.572337,0.604969,0.697809,0
9,0,0,0,0.010435,0,0.274168,0.279846,0.308565,0
9,0,0,0,0,0,0.489949,0.516245,0.593824,2
9,0,0,0,0.002595,0,0.568154,0.604660,0.697924,1
9,0,0,0,0.000824,0,0.739032,0.792553,0.915680,1
9,0,0,0,0.038462,0,0.538193,0.565416,0.653397,0
9,0,0,0,0.021201,0,0.288986,0.293591,0.326866,0
9,0,0,0,0.010204,0,0.410808,0.430368,0.493710,1
9,0.005525,0,0,0.006916,0,0.460932,0.487966,0.560927,0
9,0.021898,0,0,0.002435,0,0.643321,0.689228,0.796647,0
9,0,0,0,0.023529,0,0.468479,0.492841,0.564963,0
9,0,0,0,0.007968,0,0.302212,0.313094,0.350532,0
9,0,0,0,0.005181,0,0.606459,0.647737,0.749991,0
9,0,0,0,0.008596,0,0.568008,0.603927,0.694445,0
9,0,0,0,0.00225,0,0.837677,0.899098,1.042846,0
9,0,0,0,0,0,0.681508,0.730527,0.845448,0
9,0,0,0,0.009766,0,0.282280,0.290677,0.322358,0
9,0,0,0,0.007143,0,0.348780,0.366594,0.417664,0
9,0.008172,0,0,0.00818,0,0.412541,0.435050,0.494715,0
9,0,0,0,0.003509,0,0.808818,0.867611,1.005927,0
9,0,0,0,0.023256,0,0.585315,0.617652,0.714923,0
9,0.002028,0,0,0.020325,0,0.241309,0.244285,0.268890,0
9,0,0,0,0.035398,0,0.334059,0.348502,0.398130,0
9,0.012563,0,0,0.005031,0,0.536514,0.570834,0.659259,0
9,0,0,0,0.001618,0,0.771718,0.828123,0.958214,0
9,0,0,0,0.027933,0,0.657529,0.696571,0.805000,0
9,0,0,0,0.014925,0,0.363494,0.376611,0.426972,0
9,0,0,0,0,0,0.360334,0.380066,0.435407,0
9,0,0,0,0,0,0.534733,0.568919,0.654188,0
9,0.001966,0,0,0.00295,0,0.775501,0.832051,0.964459,2
