@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.888,0.076,0.036,0.237,0.592,0
0.445,0.528,0.028,0.146,0.385,0
0.012,0.33,0.658,0.139,0.289,2
0.742,0.061,0.197,0.295,0.31,2
0.044,0.485,0.471,0.235,0.688,1
0.16,0.772,0.068,0.143,0.423,0
0.809,0.098,0.093,0.15,0.355,0
0.292,0.301,0.407,0.185,0.367,0
0.145,0.425,0.43,0.252,0.388,0
0.764,0.192,0.044,0.27,0.388,0
0.74,0.221,0.038,0.334,0.379,0
0.29,0.287,0.423,0.343,0.412,0
0.866,0.104,0.03,0.147,0.303,0
0.643,0.227,0.131,0.572,0.266,0
0.689,0.207,0.104,0.268,0.428,0
0.067,0.781,0.152,0.104,0.299,0
0.081,0.032,0.887,0.256,0.311,0
0.01,0.92,0.07,0.151,0.34,0
0.72,0.067,0.214,0.528,0.268,0
0.017,0.781,0.203,0.451,0.362,1
0.028,0.725,0.247,0.309,0.283,1
0.065,0.225,0.709,0.162,0.27,0
0.246,0.678,0.076,0.149,0.346,1
0.427,0.374,0.199,0.682,0.2,0
0.355,0.159,0.486,0.372,0.373,0
0.664,0.154,0.182,0.258,0.343,0
0.258,0.4,0.341,0.136,0.287,0
0.016,0.793,0.191,0.189,0.353,1
0.78,0.081,0.138,0.439,0.295,0
0.627,0.196,0.177,0.223,0.23,0
0.024,0.619,0.357,0.119,0.181,0
0.108,0.284,0.608,0.246,0.289,0
0.013,0.336,0.651,0.143,0.292,1
0.953,0.012,0.035,0.775,0.14,0
0.973,0.01,0.017,0.306,0.579,0
0.247,0.267,0.486,0.25,0.634,2
0.135,0.055,0.811,0.112,0.367,2
0.039,0.609,0.352,0.158,0.359,2
0.322,0.592,0.085,0.434,0.391,0
0.374,0.541,0.085,0.4,0.45,0
0.206,0.236,0.558,0.095,0.289,2
0.022,0.51,0.469,0.133,0.306,1
0.206,0.75,0.044,0.166,0.384,1
0.726,0.215,0.059,0.905,0.074,0
0.453,0.256,0.291,0.593,0.269,0
0.045,0.211,0.744,0.226,0.285,1
0.84,0.113,0.048,0.224,0.382,0
0.049,0.451,0.5,0.126,0.383,0
0.374,0.231,0.396,0.7,0.222,0
0.49,0.446,0.064,0.28,0.418,0
0.218,0.605,0.178,0.367,0.514,0
0.128,0.086,0.786,0.289,0.446,0
0.712,0.088,0.2,0.168,0.31,0
0.866,0.015,0.119,0.686,0.218,0
0.773,0.175,0.052,0.658,0.291,0
0.353,0.346,0.301,0.844,0.11,0
0.07,0.601,0.329,0.13,0.299,0
0.481,0.485,0.034,0.159,0.346,0
0.669,0.24,0.092,0.743,0.162,0
