@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.03,0.367,0.603,0.156,0.277,2
0.102,0.126,0.772,0.252,0.285,2
0.079,0.52,0.401,0.334,0.576,1
0.007,0.819,0.174,0.4,0.406,1
0.223,0.571,0.206,0.342,0.343,1
0.14,0.643,0.217,0.135,0.306,1
0.063,0.7,0.237,0.157,0.328,1
0.044,0.332,0.624,0.152,0.281,1
0.153,0.456,0.39,0.281,0.47,2
0.07,0.09,0.84,0.157,0.473,2
0.288,0.308,0.404,0.129,0.317,2
0.428,0.286,0.286,0.134,0.466,2
0.059,0.468,0.472,0.161,0.413,1
0.038,0.883,0.079,0.125,0.337,1
0.04,0.261,0.699,0.296,0.419,1
0.013,0.201,0.786,0.146,0.305,2
0.003,0.649,0.348,0.197,0.362,1
0.011,0.84,0.149,0.134,0.681,1
0.066,0.7,0.233,0.161,0.287,2
0.059,0.696,0.245,0.004,0.985,1
0.06,0.751,0.189,0.129,0.555,1
0.114,0.766,0.121,0.229,0.487,1
0.289,0.503,0.208,0.259,0.42,2
0.001,0.82,0.179,0.161,0.324,1
0.763,0.023,0.214,0.579,0.221,2
0.006,0.083,0.911,0.271,0.336,2
0.04,0.399,0.561,0.317,0.234,2
0.656,0.203,0.141,0.372,0.412,1
0.083,0.78,0.137,0.136,0.498,2
0.161,0.628,0.211,0.179,0.406,1
0.418,0.435,0.147,0.159,0.342,1
0.119,0.515,0.366,0.132,0.446,1
0.749,0.125,0.126,0.226,0.371,2
0.909,0.087,0.004,0.105,0.284,1
0.641,0.205,0.153,0.467,0.356,2
0.284,0.468,0.248,0.202,0.371,1
0.032,0.835,0.133,0.156,0.292,2
0.559,0.058,0.383,0.684,0.151,1
0.337,0.612,0.051,0.351,0.459,1
0.297,0.275,0.429,0.265,0.449,2
0.64,0.261,0.098,0.15,0.488,1
0.148,0.488,0.364,0.474,0.348,2
0.097,0.009,0.894,0.166,0.3,2
0.208,0.56,0.232,0.134,0.473,1
0.03,0.801,0.169,0.258,0.483,1
0.03,0.774,0.196,0.113,0.587,1
0.053,0.737,0.21,0.271,0.538,1
0.246,0.627,0.127,0.473,0.315,1
0.41,0.321,0.27,0.169,0.436,1
0.019,0.721,0.261,0.174,0.285,2
0.474,0.421,0.105,0.592,0.278,1
0.007,0.55,0.443,0.748,0.133,1
0.002,0.82,0.178,0.267,0.331,1
0.107,0.767,0.125,0.201,0.3,1
0.02,0.139,0.841,0.201,0.348,2
0.163,0.693,0.144,0.147,0.305,1
0.21,0.753,0.037,0.613,0.273,1
0.235,0.697,0.067,0.379,0.405,1
0.01,0.844,0.146,0.087,0.738,1
0.044,0.787,0.169,0.284,0.473,1
0.127,0.782,0.091,0.191,0.238,1
0.025,0.928,0.047,0.402,0.384,1
0.523,0.425,0.052,0.164,0.297,1
0.081,0.753,0.166,0.388,0.346,1
0.002,0.083,0.914,0.183,0.32,2
0.318,0.303,0.38,0.135,0.3,2
0.155,0.641,0.203,0.527,0.32,2
0.063,0.685,0.253,0.149,0.223,1
0.015,0.916,0.069,0.16,0.764,1
0.339,0.496,0.165,0.134,0.751,1
0.253,0.64,0.107,0.129,0.556,1
0.008,0.929,0.062,0.238,0.445,1
0.546,0.027,0.427,0.165,0.409,2
0.036,0.694,0.27,0.125,0.299,2
0.051,0.719,0.23,0.376,0.418,2
0.473,0.418,0.11,0.175,0.285,1
0.314,0.605,0.081,0.337,0.467,1
0.184,0.637,0.179,0.137,0.53,0
0.529,0.271,0.2,0.793,0.123,0
0.046,0.643,0.312,0.202,0.389,0
0.059,0.794,0.147,0.166,0.262,0
0.138,0.645,0.217,0.402,0.419,0
0.97,0.019,0.011,0.596,0.186,0
0.046,0.817,0.137,0.152,0.461,0
0.349,0.36,0.29,0.4,0.377,0
0.137,0.843,0.019,0.524,0.302,0
0.624,0.11,0.266,0.36,0.367,0
0.889,0.009,0.102,0.578,0.212,0
0.599,0.145,0.257,0.594,0.232,0
0.856,0.004,0.14,0.665,0.162,0
0.794,0.063,0.142,0.181,0.472,0
0.176,0.748,0.076,0.203,0.524,0
0.884,0.052,0.064,0.14,0.48,0
0.074,0.27,0.656,0.194,0.379,0
0.902,0.003,0.094,0.24,0.202,0
0.004,0.913,0.082,0.146,0.411,0
0.026,0.885,0.089,0.489,0.353,0
0.713,0.116,0.171,0.556,0.307,0
0.131,0.592,0.277,0.187,0.382,0
0.077,0.852,0.071,0.483,0.323,0
0.84,0.09,0.07,0.397,0.369,0
0.439,0.424,0.137,0.939,0.037,0
0.77,0.155,0.075,0.207,0.371,0
0.224,0.485,0.292,0.187,0.521,0
0.045,0.889,0.066,0.131,0.319,0
0.602,0.178,0.22,0.257,0.435,0
0.66,0.304,0.035,0.207,0.304,0
0.105,0.724,0.171,0.508,0.325,0
0.123,0.026,0.851,0.26,0.348,0
0.248,0.244,0.508,0.165,0.396,0
0.011,0.894,0.095,0.205,0.436,0
0.278,0.683,0.039,0.386,0.419,0
0.968,0.007,0.025,0.607,0.194,0
0.235,0.687,0.077,0.137,0.525,0
0.673,0.198,0.129,0.471,0.356,0
0.882,0.028,0.09,0.149,0.298,0
0.834,0.145,0.021,0.527,0.211,0
