@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.046,0.862,0.093,0.05,0.864,0.178,0.447,0
0.017,0.381,0.602,0.003,0.345,0.119,0.264,2
0.06,0.695,0.245,0.026,0.737,0.311,0.651,1
0.538,0.398,0.064,0.911,0.088,0.106,0.664,0
0.224,0.431,0.345,0.058,0.578,0.14,0.498,0
0.374,0.251,0.375,0.012,0.548,0.173,0.284,0
0.793,0.129,0.078,0.981,0.019,0.344,0.322,0
0.793,0.167,0.04,0.971,0.027,0.318,0.518,0
0.532,0.176,0.292,0.972,0.026,0.378,0.281,0
0.606,0.157,0.238,0.003,0.227,0.113,0.291,0
0.034,0.893,0.073,0.242,0.493,0.481,0.35,1
0.086,0.6,0.314,0.013,0.67,0.113,0.321,1
0.307,0.593,0.099,0.484,0.228,0.474,0.378,0
0.249,0.624,0.127,0.988,0.012,0.427,0.421,0
0.221,0.33,0.449,0.007,0.468,0.112,0.457,0
0.065,0.66,0.274,0.112,0.773,0.12,0.349,1
0.285,0.624,0.091,0.887,0.101,0.344,0.454,0
0.025,0.423,0.552,0,0.135,0.114,0.279,1
0.202,0.472,0.326,0.001,0.343,0.438,0.421,2
0.023,0.079,0.898,0.01,0.623,0.202,0.515,2
0.123,0.636,0.241,0.176,0.468,0.105,0.34,2
0.346,0.6,0.055,0.696,0.275,0.466,0.384,0
0.037,0.427,0.535,0.006,0.822,0.18,0.434,1
0.08,0.81,0.11,0.566,0.357,0.114,0.364,1
0.383,0.473,0.144,0.772,0.176,0.624,0.244,0
0.36,0.426,0.214,0.542,0.322,0.219,0.456,0
0.346,0.445,0.209,0.311,0.513,0.121,0.314,0
0.564,0.22,0.217,0.863,0.126,0.577,0.202,0
0.493,0.365,0.142,0.501,0.358,0.352,0.356,0
0.237,0.029,0.734,0.187,0.671,0.307,0.409,0
0.799,0.162,0.039,0.394,0.42,0.772,0.148,0
0.498,0.307,0.195,0.719,0.116,0.809,0.092,0
0.422,0.207,0.371,0.15,0.54,0.188,0.394,0
0.039,0.896,0.065,0.391,0.372,0.124,0.314,0
0.008,0.424,0.568,0,0.281,0.128,0.305,2
0.009,0.426,0.565,0,0.749,0.247,0.41,1
0.741,0.026,0.233,0.914,0.07,0.276,0.259,0
