@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.483,0.401,0.116,0.223,0.533,0
0.196,0.781,0.022,0.134,0.39,0
0.002,0.356,0.642,0.099,0.39,2
0.523,0.079,0.398,0.147,0.441,2
0.003,0.517,0.481,0.175,0.72,1
0.32,0.63,0.05,0.155,0.363,0
0.459,0.329,0.212,0.135,0.365,0
0.022,0.378,0.6,0.178,0.425,0
0.564,0.228,0.208,0.178,0.424,0
0.778,0.184,0.037,0.289,0.326,0
0.863,0.117,0.02,0.286,0.376,0
0.359,0.286,0.355,0.267,0.447,0
0.139,0.654,0.207,0.078,0.401,0
0.76,0.129,0.111,0.344,0.422,0
0.414,0.409,0.177,0.245,0.397,0
0.125,0.69,0.184,0.084,0.325,0
0.003,0.063,0.934,0.164,0.385,0
0.064,0.848,0.088,0.089,0.413,0
0.821,0.027,0.152,0.288,0.439,0
0.03,0.778,0.192,0.421,0.339,1
0.059,0.649,0.293,0.212,0.352,1
0.004,0.311,0.685,0.115,0.326,0
0.175,0.708,0.117,0.101,0.422,1
0.957,0.027,0.015,0.406,0.395,0
0.201,0.333,0.466,0.363,0.334,0
0.757,0.114,0.129,0.268,0.302,0
0.083,0.526,0.391,0.098,0.336,0
0.003,0.808,0.189,0.109,0.431,1
0.846,0.047,0.106,0.242,0.437,0
0.539,0.281,0.18,0.21,0.246,0
0.083,0.509,0.408,0.102,0.226,0
0.019,0.407,0.575,0.173,0.347,0
0.003,0.346,0.652,0.095,0.393,1
0.987,0.003,0.01,0.476,0.352,0
0.965,0.013,0.021,0.339,0.48,0
0.212,0.303,0.485,0.623,0.279,2
0.024,0.101,0.875,0.167,0.327,2
0.01,0.579,0.412,0.096,0.433,2
0.932,0.053,0.014,0.29,0.474,0
0.389,0.53,0.082,0.403,0.39,0
0.196,0.232,0.571,0.09,0.292,2
0.002,0.542,0.456,0.105,0.334,1
0.107,0.847,0.046,0.099,0.445,1
0.983,0.013,0.004,0.706,0.23,0
0.488,0.248,0.264,0.51,0.298,0
0.012,0.242,0.746,0.194,0.303,1
0.261,0.492,0.247,0.222,0.377,0
0.042,0.434,0.524,0.187,0.414,0
0.45,0.194,0.356,0.513,0.348,0
0.585,0.374,0.041,0.283,0.363,0
0.005,0.346,0.649,0.042,0.156,0
0.149,0.61,0.241,0.185,0.397,0
0.843,0.063,0.094,0.076,0.406,0
0.698,0.108,0.194,0.049,0.247,0
0.455,0.388,0.157,0.362,0.382,0
0.242,0.56,0.199,0.361,0.459,0
0.072,0.203,0.725,0.315,0.403,0
0.565,0.154,0.281,0.088,0.412,0
0.878,0.011,0.111,0.443,0.39,0
0.802,0.151,0.047,0.625,0.291,0
0.473,0.263,0.265,0.698,0.205,0
0.023,0.674,0.304,0.163,0.331,0
0.102,0.851,0.047,0.09,0.424,0
0.961,0.025,0.014,0.453,0.368,0
0.304,0.31,0.386,0.256,0.283,0
0.065,0.67,0.265,0.077,0.215,0
0.453,0.502,0.045,0.136,0.421,0
0.001,0.199,0.8,0.095,0.411,2
0.934,0.029,0.037,0.376,0.395,0
0.296,0.462,0.242,0.178,0.189,0
0.07,0.78,0.15,0.166,0.323,0
0.014,0.297,0.688,0.128,0.319,0
0.042,0.606,0.351,0.499,0.347,1
0.224,0.015,0.761,0.843,0.107,0
0.504,0.412,0.084,0.562,0.362,0
0.476,0.32,0.204,0.741,0.039,0
0.22,0.728,0.053,0.207,0.644,1
0.004,0.822,0.174,0.153,0.405,2
0.813,0.101,0.086,0.318,0.347,0
0.322,0.494,0.184,0.67,0.237,0
0.236,0.497,0.267,0.281,0.613,1
0.719,0.275,0.006,0.496,0.273,0
0.006,0.859,0.135,0.182,0.435,1
0.756,0.078,0.166,0.323,0.444,0
0.811,0.165,0.024,0.547,0.341,1
0.299,0.413,0.288,0.678,0.246,0
0.002,0.18,0.818,0.173,0.417,0
0.592,0.386,0.022,0.1,0.438,0
0.753,0.025,0.222,0.427,0.419,0
0.469,0.377,0.154,0.495,0.351,0
0.592,0.381,0.027,0.531,0.358,0
0.218,0.561,0.221,0.12,0.392,0
0.097,0.78,0.123,0.221,0.392,0
0.89,0.021,0.088,0.233,0.5,0
0.603,0.274,0.124,0.346,0.383,0
0.645,0.326,0.029,0.758,0.205,0
0.595,0.191,0.215,0.231,0.38,0
0.604,0.129,0.267,0.081,0.415,0
0.647,0.144,0.209,0.581,0.308,0
0.624,0.268,0.108,0.393,0.378,0
0.234,0.46,0.305,0.226,0.386,2
0.173,0.707,0.12,0.189,0.449,0
0.001,0.814,0.185,0.12,0.453,1
0.071,0.04,0.888,0.392,0.356,2
0,0.088,0.912,0.362,0.315,2
0.681,0.287,0.033,0.754,0.214,0
0.645,0.191,0.163,0.258,0.442,0
0.415,0.565,0.021,0.315,0.367,0
0.994,0.002,0.004,0.949,0.039,0
0.606,0.281,0.113,0.508,0.349,0
0.68,0.297,0.023,0.701,0.233,0
0.083,0.599,0.318,0.137,0.428,0
0.261,0.565,0.174,0.071,0.394,0
0.892,0.072,0.036,0.636,0.269,0
0.601,0.272,0.127,0.443,0.379,0
0.568,0.398,0.035,0.58,0.302,0
0.169,0.411,0.42,0.292,0.419,0
0.526,0.388,0.086,0.133,0.412,0
0.447,0.164,0.39,0.553,0.308,0
0.63,0.173,0.197,0.719,0.216,0
0.053,0.36,0.587,0.346,0.296,2
0.256,0.644,0.1,0.326,0.462,0
0.591,0.394,0.014,0.065,0.388,0
0.762,0.018,0.22,0.558,0.281,0
0.393,0.355,0.252,0.58,0.278,0
0.91,0.08,0.01,0.106,0.19,0
0.584,0.387,0.029,0.172,0.398,0
0.055,0.883,0.062,0.127,0.431,0
0.976,0.004,0.019,0.589,0.295,0
0.716,0.14,0.144,0.539,0.19,0
0.431,0.502,0.067,0.232,0.518,0
0.331,0.417,0.251,0.222,0.446,0
0.532,0.216,0.252,0.071,0.394,0
0.911,0.014,0.074,0.399,0.417,0
0.478,0.32,0.202,0.426,0.374,1
0.276,0.634,0.09,0.142,0.37,2
0.046,0.74,0.213,0.132,0.373,1
0.094,0.688,0.219,0.164,0.466,1
0.985,0.008,0.007,0.802,0.155,0
0.779,0.212,0.009,0.517,0.339,0
0.001,0.94,0.059,0.422,0.143,0
0.129,0.593,0.278,0.196,0.378,0
0.981,0.019,0,0.084,0.411,0
0.975,0.018,0.007,0.762,0.187,0
0.598,0.292,0.11,0.464,0.331,0
0.229,0.483,0.288,0.168,0.481,1
0.292,0.352,0.357,0.153,0.385,2
0.56,0.4,0.039,0.062,0.391,1
0.638,0.124,0.238,0.463,0.374,0
0.45,0.331,0.218,0.456,0.328,2
0.391,0.578,0.031,0.55,0.358,0
0.211,0.494,0.296,0.159,0.38,1
0.008,0.877,0.115,0.089,0.412,2
0.266,0.055,0.679,0.442,0.347,1
0.283,0.634,0.083,0.483,0.357,1
0.253,0.191,0.556,0.17,0.28,2
0.078,0.648,0.274,0.132,0.337,1
0.184,0.79,0.027,0.159,0.417,0
0.839,0.152,0.009,0.227,0.423,0
0.096,0.436,0.468,0.32,0.268,2
0.657,0.311,0.031,0.574,0.092,0
0.351,0.382,0.267,0.158,0.456,0
0.017,0.06,0.922,0.114,0.43,2
0.856,0.042,0.102,0.297,0.431,0
0.491,0.457,0.052,0.525,0.293,0
0.149,0.5,0.351,0.016,0.077,1
0.027,0.147,0.827,0.087,0.359,0
0.005,0.896,0.098,0.069,0.4,0
0.9,0.024,0.076,0.378,0.32,0
0.27,0.284,0.445,0.39,0.252,0
0.039,0.746,0.214,0.401,0.441,1
