@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.047,0.347,0.606,0.276,0.341,0.132,0.332,2
0.1,0.412,0.488,0.227,0.475,0.193,0.712,1
0.262,0.574,0.164,0.174,0.665,0.46,0.344,1
0.179,0.67,0.15,0.121,0.611,0.125,0.341,1
0.132,0.625,0.243,0.569,0.333,0.142,0.354,1
0.078,0.362,0.56,0.039,0.218,0.129,0.333,1
0.141,0.527,0.332,0.057,0.307,0.45,0.349,2
0.075,0.096,0.829,0.116,0.642,0.234,0.403,2
0.471,0.338,0.191,0.397,0.425,0.12,0.344,2
0.102,0.412,0.487,0.183,0.688,0.184,0.388,1
0.224,0.702,0.073,0.772,0.171,0.122,0.351,1
0.072,0.198,0.73,0.083,0.319,0.129,0.342,2
0.055,0.64,0.305,0.059,0.758,0.293,0.358,1
0.237,0.685,0.078,0.075,0.877,0.123,0.751,1
0.071,0.669,0.259,0.014,0.382,0.158,0.34,2
0.167,0.652,0.18,0.302,0.406,0.017,0.967,1
0.214,0.637,0.15,0.072,0.623,0.138,0.434,1
0.479,0.465,0.057,0.506,0.471,0.379,0.376,1
0.012,0.788,0.2,0.109,0.633,0.145,0.354,1
0.095,0.077,0.828,0.043,0.302,0.323,0.35,2
0.054,0.425,0.521,0.22,0.292,0.309,0.318,2
0.164,0.64,0.197,0.437,0.476,0.198,0.387,1
0.625,0.285,0.09,0.144,0.745,0.163,0.362,1
0.475,0.29,0.235,0.353,0.505,0.211,0.376,1
0.161,0.739,0.1,0.127,0.799,0.127,0.337,2
0.289,0.424,0.287,0.317,0.535,0.214,0.411,1
0.103,0.038,0.859,0.255,0.426,0.143,0.344,2
0.28,0.606,0.114,0.444,0.427,0.345,0.392,1
0.223,0.642,0.135,0.063,0.84,0.102,0.62,1
0.265,0.62,0.115,0.266,0.577,0.459,0.365,1
0.563,0.19,0.248,0.155,0.645,0.205,0.396,1
0.094,0.666,0.24,0.048,0.451,0.158,0.341,2
0.267,0.463,0.271,0.48,0.43,0.585,0.252,1
0.161,0.729,0.11,0.296,0.532,0.332,0.345,1
0.361,0.567,0.072,0.441,0.488,0.427,0.354,1
0.098,0.788,0.114,0.031,0.773,0.066,0.787,1
0.214,0.629,0.157,0.178,0.63,0.384,0.378,1
0.112,0.82,0.069,0.198,0.666,0.2,0.323,1
0.258,0.71,0.032,0.138,0.762,0.506,0.315,1
0.5,0.35,0.15,0.201,0.659,0.538,0.302,2
0.264,0.587,0.149,0.161,0.524,0.136,0.309,1
0.246,0.711,0.043,0.214,0.723,0.324,0.579,1
0.412,0.455,0.133,0.163,0.675,0.231,0.579,1
0.266,0.671,0.063,0.325,0.588,0.144,0.567,1
0.281,0.028,0.691,0.201,0.157,0.195,0.387,2
0.112,0.65,0.238,0.169,0.134,0.112,0.334,2
0.435,0.455,0.11,0.291,0.658,0.44,0.352,2
0.301,0.581,0.118,0.221,0.591,0.162,0.341,1
0.66,0.296,0.045,0.314,0.556,0.445,0.36,1
0.155,0.813,0.032,0.188,0.671,0.201,0.328,0
0.549,0.358,0.093,0.194,0.493,0.172,0.332,0
0.402,0.545,0.054,0.429,0.425,0.313,0.438,0
0.248,0.714,0.038,0.066,0.905,0.311,0.379,0
0.414,0.461,0.125,0.306,0.564,0.165,0.347,0
0.144,0.042,0.814,0.579,0.307,0.309,0.377,0
0.677,0.133,0.19,0.253,0.419,0.286,0.384,0
0.225,0.636,0.139,0.466,0.468,0.314,0.397,0
0.76,0.081,0.159,0.603,0.354,0.333,0.344,0
0.8,0.149,0.051,0.148,0.638,0.152,0.342,0
0.406,0.516,0.078,0.828,0.095,0.463,0.308,0
0.403,0.507,0.09,0.529,0.321,0.507,0.32,0
0.371,0.582,0.047,0.439,0.405,0.797,0.14,0
0.764,0.16,0.076,0.804,0.177,0.702,0.198,0
0.41,0.312,0.278,0.197,0.549,0.197,0.39,0
0.568,0.267,0.165,0.113,0.752,0.296,0.386,0
0.593,0.261,0.146,0.421,0.52,0.169,0.34,0
0.445,0.496,0.059,0.601,0.374,0.121,0.343,0
