@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.023,0.376,0.601,0.327,0.167,2
0.313,0.095,0.591,0.35,0.185,2
0.031,0.488,0.481,0.087,0.843,1
0.204,0.604,0.192,0.257,0.552,1
0.064,0.726,0.211,0.333,0.333,1
0.091,0.701,0.208,0.315,0.197,1
0.019,0.775,0.207,0.318,0.218,1
0.013,0.357,0.63,0.325,0.169,1
0.051,0.475,0.474,0.216,0.632,2
0.021,0.093,0.886,0.249,0.472,2
0.215,0.478,0.308,0.31,0.203,2
0.391,0.241,0.368,0.256,0.42,2
0.024,0.509,0.467,0.287,0.344,1
0.131,0.761,0.108,0.305,0.225,1
0.058,0.25,0.693,0.283,0.449,1
0.034,0.177,0.789,0.319,0.191,2
0.001,0.656,0.343,0.293,0.405,1
0.018,0.833,0.149,0.096,0.818,1
0.007,0.795,0.197,0.33,0.202,2
0.108,0.65,0.242,0.254,0.554,1
0.046,0.764,0.19,0.329,0.226,1
0.187,0.7,0.113,0.222,0.599,1
0.34,0.478,0.182,0.287,0.418,2
0.003,0.815,0.182,0.32,0.215,1
0.256,0.068,0.676,0.393,0.289,2
0.015,0.09,0.895,0.319,0.364,2
0.021,0.415,0.564,0.38,0.223,2
0.611,0.212,0.176,0.264,0.526,1
0.569,0.358,0.074,0.24,0.474,2
0.079,0.681,0.241,0.294,0.341,1
0.529,0.358,0.113,0.313,0.257,1
0.203,0.547,0.249,0.266,0.386,1
0.294,0.325,0.381,0.317,0.305,2
0.296,0.674,0.03,0.304,0.159,1
0.645,0.18,0.175,0.28,0.518,2
0.366,0.33,0.304,0.311,0.31,1
0.047,0.83,0.123,0.323,0.171,2
0.751,0.022,0.227,0.435,0.225,1
0.322,0.6,0.078,0.222,0.617,1
0.675,0.095,0.229,0.265,0.484,2
0.135,0.574,0.291,0.246,0.466,1
0.629,0.17,0.201,0.286,0.505,2
0.041,0.041,0.918,0.326,0.19,2
0.203,0.53,0.267,0.253,0.431,1
0.193,0.659,0.148,0.24,0.547,1
0.065,0.737,0.197,0.187,0.555,1
0.141,0.761,0.098,0.173,0.715,1
0.302,0.628,0.07,0.328,0.409,1
0.649,0.132,0.218,0.277,0.387,1
0.015,0.741,0.244,0.334,0.193,2
0.546,0.339,0.115,0.3,0.508,1
0.276,0.414,0.309,0.439,0.263,1
0.131,0.7,0.169,0.319,0.37,1
0.164,0.693,0.143,0.336,0.19,1
0.017,0.105,0.878,0.323,0.258,2
0.199,0.656,0.145,0.319,0.186,1
0.499,0.473,0.028,0.285,0.544,1
0.21,0.686,0.104,0.269,0.518,1
0.009,0.867,0.124,0.099,0.769,1
0.049,0.743,0.208,0.235,0.57,1
0.04,0.894,0.066,0.355,0.188,1
0.075,0.865,0.06,0.255,0.57,1
0.449,0.495,0.056,0.326,0.179,1
0.077,0.797,0.126,0.325,0.382,1
0.001,0.096,0.903,0.327,0.213,2
0.137,0.426,0.436,0.315,0.179,2
0.398,0.419,0.184,0.288,0.517,2
0.107,0.665,0.227,0.339,0.138,1
0.042,0.88,0.078,0.023,0.962,1
0.166,0.736,0.098,0.191,0.555,1
0.171,0.773,0.056,0.272,0.449,1
0.237,0.037,0.726,0.288,0.353,2
0.03,0.724,0.246,0.312,0.182,2
0.148,0.639,0.213,0.256,0.547,2
0.164,0.683,0.153,0.334,0.196,1
0.37,0.55,0.08,0.221,0.618,1
0.931,0.014,0.055,0.346,0.28,0
0.237,0.51,0.253,0.179,0.557,0
0.194,0.026,0.78,0.331,0.285,0
0.9,0.009,0.092,0.401,0.263,0
0.314,0.505,0.18,0.352,0.376,0
0.753,0.076,0.171,0.307,0.422,0
0.636,0.298,0.066,0.334,0.312,0
0.203,0.726,0.071,0.312,0.525,0
0.608,0.245,0.147,0.238,0.563,0
0.791,0.055,0.154,0.439,0.218,0
0.358,0.572,0.07,0.233,0.586,0
0.81,0.043,0.147,0.42,0.235,0
0.331,0.471,0.198,0.331,0.193,0
0.302,0.619,0.08,0.279,0.465,0
0.318,0.608,0.074,0.295,0.48,0
0.92,0.025,0.055,0.329,0.341,0
0.919,0.02,0.061,0.452,0.192,0
0.731,0.2,0.07,0.295,0.496,0
0.569,0.379,0.052,0.313,0.447,0
0.746,0.091,0.164,0.312,0.169,0
0.305,0.474,0.22,0.293,0.329,0
0.049,0.81,0.141,0.32,0.206,0
0.601,0.142,0.257,0.296,0.51,0
0.909,0.036,0.055,0.301,0.511,0
0.091,0.812,0.097,0.221,0.574,0
0.898,0.077,0.025,0.48,0.243,0
0.051,0.915,0.034,0.263,0.568,0
0.048,0.858,0.094,0.259,0.491,0
0.098,0.535,0.367,0.312,0.261,0
0.48,0.377,0.143,0.222,0.53,0
0.015,0.9,0.085,0.265,0.537,0
0.547,0.251,0.202,0.32,0.373,0
0.755,0.083,0.162,0.443,0.22,0
0.768,0.17,0.062,0.537,0.282,0
0.469,0.405,0.126,0.279,0.557,0
0.039,0.887,0.075,0.336,0.157,0
0.837,0.074,0.089,0.272,0.478,0
0.108,0.068,0.824,0.292,0.418,0
0.712,0.175,0.113,0.238,0.593,0
0.617,0.1,0.283,0.274,0.408,0
